"author" "doi" "h" "IF" "h5" "k" "efftype" "effest" "recalc" "model" "subgroup" "pub" "pubmet1" "pubmet2" "pubmet3" "pubmet4" "pubfound" "out" "outsep" "guidelines" "contact" "depreport" "depmeasure" "comments" "z.co" "ci.li.co" "ci.ul.co" "tau.co" "z.cc" "ci.li.cc" "ci.ul.cc" "tau.cc" "disc.c" "disccat.c" "disc.ci.li.c" "disc.ci.ul.c" "disccat.ci.c" "outeff1.c" "outeff2.c" "outeff3.c" "outci1.c" "outci2.c" "outci3.c" "outtau1.c" "outtau2.c" "outtau3.c" "yop" "yopse" "yopsig" "funnel" "funnelse" "funnelsig" "bothyop" "bothyopse" "bothfunnel" "bothfunnelse" "bothyopsig" "bothfunnelsig" "cor" "z.so" "ci.li.so" "ci.ul.so" "tau.so" "krep1" "percent" "krep2" "percent2" "z.sc" "ci.li.sc" "ci.ul.sc" "tau.sc" "disc.s" "disccat.s" "disc.ci.li.s" "disc.ci.ul.s" "disccat.ci.s" "outeff1.s" "outeff2.s" "outeff3.s" "outci1.s" "outci2.s" "outci3.s" "outtau1.s" "outtau2.s" "outtau3.s"
"Adesope" "10.1037/a0026147" 142 54 3.256 57 "g" "0.15" "0.1388 (FE), 0.1298 (RE)" "NA" 1 1 "Funnel plot inspection" "Egger's test" "Fail-safe N" "Separate analyses with published and unpublished effect sizes" "0" 1 1 0 0 1 0 "mentions effect sizes are independent" 0.0629 -0.0182 0.1441 0.0725 0.0673 -0.0162 0.1509 0.0778 -0.0044 0 -0.002 -0.0068 0 0 0 0 0 0 0 0 0 0 -0.0031 0.0051 0 -0.0792 0.7805 0 -0.0032 0.0052 -0.1294 0.7886 0 0 -0.134 0.0772 -0.0841 0.2386 0.1129 20 35.0877192982456 16 0.8 0.0884 -0.0823 0.2591 0.1282 -0.0112 0 -0.0018 -0.0205 1 3 0 0 5 0 0 0 0 0
"Alfieri" "10.1037/a0021017" 142 54 3.256 108 "d" "-0.38" "-0.37669999999999998" "RE" 1 1 "Fail-safe N" "Separate analyses with published and unpublished effect sizes" "NA" "NA" "0" 0 0 0 1 0 0 NA 0.1791 0.1092 0.2491 0.1041 0.1763 0.1049 0.2477 0.11 0.0028 0 0.00430000000000001 0.00139999999999998 0 0 0 0 1 0 0 0 0 0 0.0014 0.0026 0 0.2713 0.6597 0 0.0012 0.0027 0.228 0.6687 0 0 0.122 0.2373 0.0491 0.4256 0.1497 20 18.5185185185185 11 0.55 0.2218 0.0187 0.4249 0.1821 0.0155 0 0.0304 0.000699999999999978 1 4 0 0 10 1 0 0 0 0
"Babbage" "10.1037/a0021908" 100 39 2.879 13 "g" "-1.1100000000000001" "-1.1120000000000001" "RE" 1 1 "Fail-safe N" "NA" "NA" "NA" "0" 0 0 0 0 0 0 "Only published studies included." 0.5391 0.4142 0.6639 0.0274 0.5386 0.4139 0.6634 0.0273 0.000500000000000056 0 0.000300000000000022 0.000500000000000056 0 2 0 0 4 0 0 0 0 0 -0.0016 0.0101 0 0.2807 2.1147 0 -0.0015 0.0105 0.2953 2.1993 0 0 0.007 0.509 0.377 0.641 0.0265 11 84.6153846153846 10 0.909090909090909 0.5085 0.3768 0.6403 0.0264 0.000500000000000056 0 0.000199999999999978 0.000700000000000034 0 2 0 0 4 0 0 0 0 0
"Balliet" "10.1037/a0025354" 223 79 14.839 270 "d" "-0.04" "-3.7900000000000003E-2" "RE" 0 1 "Egger's test" "Trim and fill" "Contacting authors for unpublished data" "NA" "0" 0 0 0 0 1 1 "Didn’t do supgroup analysis because small sample size. This is the finding of all included studies (including null results).  MA states 272 but only reports 270 studies." 0.0193 -0.0012 0.0398 0.0171 0.0197 -7e-04 0.04 0.0169 -0.000399999999999998 0 -5e-04 -0.000199999999999999 0 0 0 0 0 0 0 0 0 0 0.0014 7e-04 1 -0.5677 0.2725 1 0.0011 7e-04 -0.4644 0.2802 0 1 -0.236 0.0399 -0.0689 0.1487 0.05 21 7.77777777777778 18 0.857142857142857 0.0393 -0.0636 0.1423 0.0455 0.000599999999999996 0 -0.0053 0.00639999999999999 0 2 0 0 2 0 0 0 0 0
"Benish" "10.1037/a0023626" 94 41 2.735 21 "d" "0.32" "0.36969999999999997" "RE" 1 1 "Contacting authors for unpublished data" "NA" "NA" "NA" "NA" 0 0 0 1 1 1 NA 0.1849 0.1175 0.2523 5e-04 0.2012 0.1348 0.2676 0.0011 -0.0163 0 -0.0173 -0.0153 0 0 0 0 1 0 0 0 0 0 0.0063 0.0041 0 0.8929 0.6925 0 0.005 0.0048 0.5015 0.7989 0 0 0.343 0.343 0.1366 0.322 0 11 52.3809523809524 2 0.181818181818182 0.2524 0.1656 0.3392 0 0.0906 1 -0.029 -0.0172 1 1 0 0 1 0 0 0 0 0
"Berry 1" "10.1037/a0026739" 195 69 3.81 21 "r" "0.32" "0.3961 (FE), 0.3586 (RE)" "NA" 1 1 "Contacting authors for unpublished data" "NA" "NA" "NA" "NA" 0 0 0 0 1 0 "mentiones independent correlations" 0.3833 0.2895 0.4771 0.0403 0.381 0.2872 0.4749 0.0403 0.00229999999999997 0 0.00229999999999997 0.00220000000000004 0 0 0 0 0 0 0 0 0 0 0.0489 0.0139 1 1.3053 1.8691 0 0.0489 0.0148 0.0168 1.6716 1 0 0.224 0.383 0.29 0.4771 0.0403 11 52.3809523809524 10 0.909090909090909 0.381 0.2872 0.4749 0.0403 0.002 0 0.00279999999999997 0.00220000000000004 0 0 0 0 0 0 0 0 0 0
"Berry 2" "10.1037/a0023222" 195 69 3.81 284 "r" "0.24" "0.2509 (FE), 0.2688 (RE)" "NA" 1 1 "Contacting authors for unpublished data" "NA" "NA" "NA" "NA" 0 0 0 0 1 0 "MA states 392 but only reports 284 studies." 0.2679 0.2497 0.286 0.0133 0.2678 0.2497 0.286 0.0133 0.000100000000000044 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0024 7e-04 1 0.3448 0.1758 1 0.0027 7e-04 0.4453 0.1752 1 1 -0.0057 0.3371 0.2477 0.4265 0.0331 23 8.09859154929578 23 1 0.337 0.2476 0.4265 0.0331 9.9999999999989e-05 0 0.000100000000000017 0 0 0 0 0 1 0 0 0 0 0
"Card" "10.1037/a0024395" 87 38 1.665 11 "r" "0.04" "3.78E-2" "RE" 1 0 "NA" "NA" "NA" "NA" "NA" 1 1 0 0 1 1 "Exclusion or inclusion of outliers yielded generally comparable results." 0.0402 -0.0691 0.1494 0.026 0.0438 -0.0637 0.1514 0.0252 -0.0036 0 -0.00539999999999999 -0.002 0 1 0 0 3 0 0 0 0 0 0.0041 0.006 0 -1.2988 1.7284 0 0.0028 0.0069 -1.0021 2.025 0 0 -0.441622 -0.003 -0.0408 0.0348 0 9 81.8181818181818 7 0.777777777777778 0.005 -0.0319 0.0419 0 -0.008 0 -0.00890000000000001 -0.0071 0 1 0 0 1 0 0 0 0 0
"Crook" "10.1037/a0022147" 195 69 3.81 68 "r" "0.17" "0.1929 (FE), 0.1958 (RE)" "NA" 1 0 "NA" "NA" "NA" "NA" "NA" 0 0 0 0 0 0 NA 0.1943 0.1566 0.2319 0.0161 0.1915 0.1534 0.2296 0.0167 0.0028 0 0.00319999999999998 0.0023 0 0 0 0 0 0 0 0 0 0 -0.001 0.0052 0 0.2551 0.5006 0 -4e-04 0.0053 0.2431 0.5114 0 0 -0.2499555 0.2002 0.1146 0.2828 0.0342 22 32.3529411764706 21 0.954545454545455 0.1928 0.1058 0.2799 0.0356 0.00739999999999999 0 0.00879999999999999 0.00290000000000001 0 0 0 0 0 0 0 0 0 0
"de Wit" "10.1037/a0024844" 195 69 3.81 80 "r" "-0.15" "-0.1716" "RE" 1 1 "Contacting authors for unpublished data" "NA" "NA" "NA" "NA" 1 0 0 0 1 1 "MA excludes outliers from analyses, but does not run with and without." 0.1685 0.1202 0.2168 0.0279 0.1675 0.1194 0.2156 0.0278 0.001 0 0.000799999999999995 0.00119999999999998 0 0 0 0 0 0 0 0 0 0 -0.0103 0.0057 1 0.5996 0.5184 0 -0.0097 0.0057 0.5226 0.514 1 0 -0.07956355 0.231 0.1174 0.3445 0.0497 21 26.25 20 0.952380952380952 0.2264 0.1135 0.3394 0.0493 0.00460000000000002 0 0.0039 0.00509999999999999 0 1 0 0 1 0 0 0 0 0
