"meta" "author" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc" "mt" "sdc" "sdt" "efftypenew" "effestnew" "znew" "disc" "disccat" "info" "ndisc" "macomm" "comm2"
"Adesope" "Barron" "0" "No text and partial text (c) vs Full text (t) on retention" NA NA 101 -0.12 "g" -0.060422411 "Table 1. Retention. Effect calculated for no text as control first (z = -0.03988). Then effect calculated for partial text (z = -0.07546). Mean of both effects is total effect." "62" "39" 101 "18.44 / 18.86" "17.92 / 17.92" "5.81 / 4.89" "6.99 / 6.99" "z" -0.0565180386596112 -0.0565180386596112 0.0039043723403888 0 3 0 NA "Not clear whether \"full text\" and \"partial text\" should be treatment group or if \"partial text\" and \"no text\" should be control group"
"Adesope" "Craig 2002" "2" "Only audio (c)  vs. spoken and printed text (t)" NA NA 48 -0.58 "g" -0.290720775 "Table 2. Retention and transfer questions. Effect calculated for retention first (z = -0.21241) and then for transfer (z = -0.330121332). Mean is total effect." "24" "24" 48 "3.46 / 1.83" "2.63/ 1.13" "1.61 / 1.09" "2.22 / 0.99" "z" -0.271725338820024 -0.271725338820024 0.0189954361799758 0 0 0 NA NA
"Adesope" "Craig 2004" "1" "Only audio (c)  vs. spoken and printed text (t)" NA NA 30 -0.29 "g" -0.148481586 "Table 1. Vicarious session type, talking head condition present." "15" "15" 30 "3.73" "3" "2.72" "2.16" "z" -0.148073153021856 -0.148073153021856 0.000408432978143664 0 0 0 NA NA
"Adesope" "Diao et al" "0" "Listening only (c) vs. listening with text (t)" NA NA 159 0.35 "g" 0.174947553 "Table 1. After." "53" "106" 159 "8.43" "8.8699999999999992" "1.28" "1.1599999999999999" "z" 0.171846728617242 0.171846728617242 -0.00310082438275822 0 3 0 NA "Not clear why the translational scores should be chosen and not e.g recall scores"
"Adesope" "Diao Sweller" "1" "Read only (c) vs. read + listen (t)" NA NA 57 -0.5 "g" -0.250833631 "Table 2. Session 2, free recall." "29" "28" 57 "7.03" "5.75" "2.37" "1.96" "z" -0.289681082824743 -0.289681082824743 -0.0388474518247434 1 1 0 NA "Session 2 chosen because it corresponds to the N reported in the MA"
"Adesope" "Kalyuga" "1" "audio text (c) vs. visual plus audio text (t)" NA NA 23 -1.29 "g" -0.627241357 "Figure 2. Effect first calculated for fault-finding scores (z = ) and then for multiple choice scores (z = ). Mean is overall score." "11" "12" 23 "4.6 / 3.8" "2.8 / 2.2" "1.1 / 1.1" "1.5 / 1.3" "z" -0.627877060622766 -0.627877060622766 -0.000635703622766215 0 0 0 "(should change position in the final codebook between this one and the one below, since that's the order they're in in the MA)" NA
"Adesope" "Kalyuga" "1" "visual text (c) vs. visual plus audio text (t)" NA NA 23 -0.22 "g" -0.113878704 "Figure 2. Effect first calculated for fault-finding scores (z = 0.042798557) and then for multiple choice scores (z = -0.23105). Mean is overall score." "11" "12" 23 "3.5 / 2.1" "2.8 / 2.2" "1.5 / 1.0" "1.5 / 1.3" "z" -0.0950075373429862 -0.0950075373429862 0.0188711666570138 0 0 0 NA NA
"Adesope" "Le Bohec" "1" "No text and partial text (c) vs Full text (t) on retention" NA NA 123 -0.14 "g" -0.070379384 NA "82" "41" 123 NA NA NA NA NA NA -0.070379384 0 0 2 0 "(should change position in the final codebook between this one and the one below, currently not alphabetical)" "Thanks to having done Adosope - Barron, it is clear which effect is indicated. However, there is not enough information to calculate it. Presuming personal correspondence by MA authors. Effect copied from MA."
"Adesope" "Leahy" "2" "words/diagram only (c) vs. words/diagram/audio (t)" NA NA 30 -0.94 "g" -0.466005131 "Table 3. Effect first calculated for low (z = -0.406183788) and then for high (z = -0.52889). Mean is total effect." "15" "15" 30 "47.14 / 37.14" "40.48 / 20.48" "5.26 / 12.13" "9.98 / 17.47" "z" -0.468358886547953 -0.468358886547953 -0.00235375554795314 0 0 0 NA NA
"Adesope" "Markham" "1" "Without captions (c) vs. with captions (t)" NA NA 59 0.71 "g" 0.3524143 "Table 2. Civil rights video." "33" "26" 59 "64.099999999999994" "72.099999999999994" "11.7" "10.199999999999999" "z" 0.351588269775686 0.351588269775686 -0.000826030224313934 0 0 0 NA NA
"Adesope" "Markham" "1" "Without captions (c) vs. with captions (t)" NA NA 59 1.03 "g" 0.500711126 "Table 2. Whale video." "24" "35" 59 "55.5" "66.5" "12.1" "9.41" "z" 0.490874147607733 0.490874147607733 -0.00983697839226727 0 0 0 NA NA
"Adesope" "Mayer et al" "1" "no text/no seductive details (c) vs. text/no seductive details (t)" NA NA 41 -0.69 "g" -0.344928711 "Table 1. Effect calculated for retention first (z = -0.26601) and then for transfer (z = -0.41730). Mean of both is total effect." "22" "19" 41 "5.41 / 4.59" "4.68 / 3.21" "1.53 / 1.56" "1.11 / 1.65" "z" -0.34259270969675 -0.34259270969675 0.00233600130324951 0 0 0 NA NA
"Adesope" "Mayer & Johnson" "2" "nonredundant (c) vs. redundant (t)" NA NA 62 0.3 "g" 0.151328539 "Table 1. Effect calculated for retention first (z = 0.34133) and then for transfer (z = -0.07456). Mean of both is total effect." "31" "31" 62 "3.6 / 4.2" "5.1 / 3.9" "2.3 / 2.2" "2.0 / 1.8" "z" 0.136259721721681 0.136259721721681 -0.0150688172783186 0 0 0 NA NA
"Adesope" "McNeill" "1" "animation and narration (c) vs. animation, narration and text (t)" NA NA 37 0.45 "g" 0.227983143 "Table 4 (post) and table 6 (total). First strategy application effect was calculated (z = 0.07647) and the strategy recall (z = 0.34269). Mean of both is overall effect." "19" "18" 37 "12.00 / 15.95" "17.39 / 16.56" "8.12 / 3.27" "7.25 / 4.62" "z" 0.209576486637976 0.209576486637976 -0.0184066563620244 0 0 0 NA NA
"Adesope" "Moreno a" "2" "Text-desktop (c) vs. both-desktop (t)" NA NA 28 0.54 "g" 0.274634609 "Table 4. Effect calculated for retention first (z = 0.22252) and then for transfer (z = 0.22774). Mean of both is total effect." "14" "14" 28 "6.07 / 25.29" "6.79  / 28.93" "1.77 / 7.46" "1.42 / 8.36" "z" 0.225131414105678 0.225131414105678 -0.0495031948943217 1 1 0 NA NA
"Adesope" "Moreno b" "3" "NS (c) vs. NST (t)" NA NA 36 1.27 "g" 0.610747864 "Table 3. Effect calculated for retention first (z = 0.71689) and then for transfer (z = 0.957155514). Mean of both is total effect." "17" "19" 36 "4.35 / 0.59" "8.84 / 3.00" "2.89 / 0.62" "2.83 / 1.37" "z" 0.843519805997535 0.843519805997535 0.232771941997535 3 1 0 NA NA
"Adesope" "Olson" "0" "Control (c) vs. whole word (t)" NA NA 90 0.75 "g" 0.369749919 "Table 4. Phase 1 and 2, gain." "51" "39" 90 "9.8000000000000007" "17" "9.1999999999999993" "9.8000000000000007" "z" 0.368598574109444 0.368598574109444 -0.00115134489055591 0 0 0 NA "N is practically the only way to know which effect is intended."
"Adesope" "Rehaag" "0" "CBI_text (c) vs. CBI_audio (t)" NA NA 82 -0.01 "g" -0.005047447 "Table 1." "41" "41" 82 "65" "64.83" "17.5" "18.170000000000002" "z" -0.00476505118298294 -0.00476505118298294 0.000282395817017064 0 0 0 NA NA
"Adesope" "Reitsma" "0" "guided-reading (c) vs. reading-along (t)" NA NA 37 0.25 "g" 0.12741234 "Table 2. Reading time, posttest." "19" "18" 37 "56.6" "67.8" "25.6" "48.6" "z" 0.144795459415908 0.144795459415908 0.0173831194159076 0 3 0 NA "Not clear whether dependent variable should be reading time, number of errors or perhaps the standardized reading achievement test. Closest chosen."
"Adesope" "Ritzhaupt" "0" "non-redundant (c) vs. redundant (t)" NA NA 183 1.85 "g" 0.83016079 "In text, p. 2442 is the closes we get, but does not seem sufficient to me." "283" "283" 283 NA NA NA NA NA NA 0.83016079 0 0 2 -100 NA "Each participant participates in both the redundant and non-redundant condition. Effect copied from MA."
"Alfieri" "Anastasiow" "0" "Rule-example (c) vs. guided-discovery (t)" 6 6 12 -0.06 "d" -0.029995502 "Table 2. Posttest, females." "6" "6" 12 "33.380000000000003" "31.14" "3.07" "3.72" "z" -0.322762369351102 -0.322762369351102 -0.292766867351102 3 1 0 NA "Because the MA reports n = 6 for each group, they must refer to females of which there are 18 divided into three groups. There are only two occasions when the results are divided into male/female - postttest and retention test table 2. The MA reports using posttests as DV but says nothing about retention tests. Suspect the effect size is misreported in the MA."
"Alfieri" "Bransford" "1" "Context after (c) vs. No context (1) (t)" 10 10 20 -0.63 "d" -0.310010416 "Table 1. Comprehension. context afer and no context (1)." "10" "10" 20 "3.3" "2.2999999999999998" "1.4230249470757708" "0.94868329805051377" "z" -0.402493366746449 -0.402493366746449 -0.0924829507464493 2 3 0 NA "Not clear which comparison should be made from table 1, this is the closest I came to the reported results."
"Alfieri" "Destrebecqz" "2" "intentional (c) vs. Incidental (t)" 12 12 24 -2.36 "d" -1.003106208 "In text, page 228. F-value following \"a significant effect of condition\". Effect is inversed to be in the same effect as other effects calculated." "12" "12" 24 NA NA NA NA "F" 33.525 -1.00433057797008 -0.00122436997008002 0 0 0 NA NA
"Alfieri" "Elias" "0" "Directed learning (c) vs. Discovery learning (t)" 34.43 37.86 72.29 -0.01 "d" -0.004994348 "Table 2. Primary SPS, post." "24" "29" 53 "24.72" "24.31" "6.81" "7.69" "z" -0.0279293220096358 -0.0279293220096358 -0.0229349740096358 1 3 19.29 NA "Not clear what the MA authors have done here."
"Alfieri" "Hendrix" "0" "Method 1 or 3 (c) vs. Method 2 (t)" 13.5 13 26.5 0.51 "d" 0.252270319 NA "13.5" "13" 26.5 NA NA NA NA NA NA 0.252270319 0 0 3 0 NA "Not clear what the MA authors have done here. N for control is mean of the two possible control groups"
"Alfieri" "Klahr" "0" "Direct instruction (c) vs. Discover (t)" 52 52 104 -1.14 "d" -0.542930505 "In text, p. 665. Chi-square test following the text \"..discovery children (23%) did so,\". Effect size inversed to be in the right direction." "52" "52" 104 NA NA NA NA "chisquare" 28 -0.574798393745476 -0.0318678887454761 1 1 0 NA NA
"Alfieri" "Kuhn" "0" "\"experimental group\" (c) vs. Alternative (practice) control (t)" 12 12 24 -1.18 "d" -0.560231076 NA "12" "12" 24 "1.7" "0.4" NA NA NA NA -0.560231076 0 0 2 0 NA "Lacking SD in the paper to calculate the effect. Effect copied from MA."
"Alfieri" "Leutner" "1" "T-A+ (c) vs. T-A- (t)" 16 16 32 -0.09 "d" -0.044984826 "Table 1. Means (SD). Effect first calculated for functional knowledge (z = 0.476258545702562), then game knowledge (z = -0.202322280390879) and finally domain knowledge (z = -0.414329494638602). Total effect is mean of these." "16" "16" 32 "4.8 / 0.4 / 1.4" "6.8 / - 0.5 / -1.5" "1.7 / 2.4 / 3.3" "2.3 / 2.0 / 3.5" "z" -0.045159149355173 -0.045159149355173 -0.000174323355173048 0 0 0 NA "Comparison group chosen because: \"Feedback conditions took priority over other coding\""
