"meta" "author" "typestudy" "doi" "year" "journal" "h" "IF" "h5" "typepaper" "typecat" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc" "mt" "sdc" "sdt" "efftypenew" "effestnew" "znew" "disc" "disccat" "info" "ndisc" "macomm" "comm2"
"Adesope" "Barron" "Normal" "NA" 1994 "Journal of Educational Multimedia and Hypermedia" "2" "NA" "NA" "article" 0 "0" "Difference effect of audio presentation (c) vs spoken-written presentation (t) on learning retention." "NA" "NA" 101 -0.12 "g" -0.0604224112557891 "Table 1." "32" "39" 71 "18.440000000000001" "17.920000000000002" "5.81" "6.99" "g" "-7.9292368102373334E-2" -0.0398776010409925 0.0205448102147966 1 3 30 "Reported N in MA too large" "MA not clear on which categories (N=101 would imply all three conditions) and which outcome. MA states \"Specifically, Cohen’s d was calculated as the difference between the experimental (spoken–written presentations) and control (spoken-only or written-only presentations) mean scores divided by the pooled standard deviation of the two groups\". Outcomes are defined in abstract as \"on learning retention and transfer\". Comparison in MA is \"audio\". As such, conditions full text vs no text was chosen. Outcome = retention chosen (effects for posttest and pretest do not coincide, posttest effect was positive)."
"Adesope" "Craig 2002" "Outlier" "10.1037//0022-0663.94.2.428" 2002 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "2" "Difference effect of spoken only presentation (c) vs spoken-written presentation (t) on learning retention and transfer." "NA" "NA" 48 -0.58 "g" -0.290720775054475 "Table 2. Mean of retention and transfer effects (g = -0.42101 and g = -0.66128) = g = -0.54115" "24" "24" 48 "3.46 / 1.83" "2.63 / 1.13" "1.61 / 1.09" "2.22 / 0.99" "g" "-0.54115000000000002" -0.271728315338023 0.018992459716452 0 0 0 NA NA
"Adesope" "Craig 2004" "Normal" "NA" 2004 "Journal of Educational Multimedia and Hypermedia" "2" "NA" "NA" "article" 0 "1" "Difference effect of no printed text (c) vs spoken-written presentation (t) on knowledge transfer." "NA" "NA" 30 -0.29 "g" -0.148481585860541 "Table 1. Slowpaced/vicarious talking head condition, with talking head present." "15" "15" 30 "3.73" "3" "2.72" "2.16" "g" "-0.28919645857012682" -0.148073153021856 0.000408432838684664 0 0 0 NA NA
"Adesope" "Diao et al" "Outlier" "10.1016/j.learninstruc.2006.11.007" 2007 "Learning and instruction" "73" "3.6920000000000002" "48" "article" 0 "0" "Listening only (c) vs. listening with text (t) on questions" "NA" "NA" 159 0.35 "g" 0.174947553134659 "Table 1. Session 1 read only vs read + listen, after." "53" "106" 159 "8.43" "8.8699999999999992" "1.28" "1.1599999999999999" "z" "0.17184672861724179" 0.171846728617242 -0.00310082451741722 0 3 0 NA "Multiple outcomes possible- performance, recall, translation"
"Adesope" "Diao Sweller" "Normal" "NA" 2007 "American Journal of Psychology" "35" "0.76100000000000001" "14" "article" 0 "1" "Read only (c) vs read+listen (t) on reading comprehension" "NA" "NA" 57 0.5 "g" -0.250833630617412 "Table 2, session 2 (corresponds to MA N)" "29" "28" 57 "7.03" "5.75" "2.37" "1.96" "z" "-0.28968108282474336" -0.289681082824743 -0.0388474522073314 1 1 0 NA NA
"Adesope" "Kalyuga" "Normal" "10.1002/(SICI)1099-0720(199908)13:4351::" 1999 "Applied Cognitive Psychology" "69" "1.4810000000000001" "31" "article" 0 "1" "Difference effect of audio presentation (c) vs spoken-written presentation (t) on performance." "NA" "NA" 23 -1.29 "g" -0.627241357093964 "Figure 2. Mean of fault-finding and multiple choice scores (g = -1.30971 and g = -1.27568)" "11" "12" 23 "4.6 / 3.8" "2.8 / 2.2" "1.1 / 1.1" "1.5 / 1.3" "g" "-1.2926949999999999" -0.627876115002871 -0.000634757908907102 0 0 0 NA "Since test performance is defined in the primary paper as \"(obtained from the two measures of test performance: fault-finding and multiple-choice responses)\", it is clear that these are the effects that are appropriate: category 0."
"Adesope" "Kalyuga" "Outlier" "10.1002/(SICI)1099-0720(199908)13:4351::" 1999 "Applied Cognitive Psychology" "69" "1.4810000000000001" "31" "article" 0 "1" "Difference effect of written presentation (c) vs spoken-written presentation (t) on performance." "NA" "NA" 23 -0.22 "g" -0.113878703696334 "Figure 2. Mean of fault-finding and multiple choice scores (g= -0.44980 and g = 0.08261)" "11" "12" 23 "3.5 / 2.1" "2.8 / 2.2" "1.5 / 1" "1.5 / 1.3" "g" "-0.18360000000000001" -0.0950094332174825 0.0188692704788515 0 0 0 NA "If you take the mean of the fault-finding scores and the multiple choice scores first, you get M= 2.8/2.5 and SD=1.25/1.4. That Hedges g = -0.22 and coincides perfectly with the MA. However, since the scales are different, I think it is best to first estimate the seperate effects, and take the mean of that result. Since test performance is defined in the primary paper as \"(obtained from the two measures of test performance: fault-finding and multiple-choice responses)\", it is clear that these are the effects that are appropriate: category 0."
"Adesope" "Le Bohec" "Normal" "10.1007/978-0-387-73337-1_5" 2003 "Understanding multimedia documents" "NA" "NA" "NA" "chapter in a book" 1 "1" "Difference effect of no redundancy (c) vs spoken-written presentation (t) on memory and transfer performance. Also difference effect of partial redundancy (c) vs spoken-written presentation (t) on memory and transfer performance" "NA" "NA" 123 -0.14 "g" -0.0703793844035958 "Mean of retention and transfer effects. Only percentage correct from the figure are given. OR calculated for both effects and for both comparisons. No redundancy vs Total redundancy: Retention ABCD = 0.63 / 0.37 / 0.64 / 0.36, OR = 0.95777, z = -0.01189. Transfer ABCD = 0.54 / 0.46 / 0.63 / 0.37, OR = 0.689441, z = -0.10233. Partial redundancy vs Total redundancy:  Retention ABCD = 0.63 / 0.37 / 0.66 / 0.34, OR = 0.87715, z = -0.03613. Transfer ABCD = 0.54 / 0.46 / 0.67 / 0.33, OR = 0.578196, z = -0.15045. Mean of both retention effects (-0.01189 and -0.04849) = -0.03019. Mean of both transfer effects (-0.10233 and -0.15045) = -0.12639. Mean of these two latter effects = -0.07829." "82" "41" 123 "NA" "NA" "NA" "NA" "z" "-7.8289999999999998E-2" -0.07829 -0.0079106155964042 0 0 0 "Data dependency: treatment group compared twice, but no adjustment to N." NA
"Adesope" "Leahy" "Outlier" "10.1002/acp.877" 2003 "Applied Cognitive Psychology" "69" "1.4810000000000001" "31" "article" 0 "2" "Difference effect of works/diagram (c) vs words/diagram/audio (t) on correct test answers" "NA" "NA" 30 -0.94 "g" -0.466005130666772 "Table 3. Mean of low and high element interactivity effects (g = -0.81233 and g = -1.07785)" "15" "15" 30 "47.14 / 37.14" "40.48 / 20.48" "5.26 / 12.13" "9.98 / 17.47" "g" "-0.94508999999999999" -0.467946061589484 -0.00194093092271197 0 3 0 NA "Not clear both low and high interactive effects should be used"
"Adesope" "Markham" "Outlier" "10.1111/j.1944-9720.1999.tb01344.x" 1999 "Foreign Language Annals" "29" "0.90800000000000003" "21" "article" 0 "1" "Difference effect of caption-less (c) vs captioned videotapes (t) on multiple-choice tests.  Civil rights video." "NA" "NA" 59 0.71 "g" 0.352414299752428 "Table 2." "33" "26" 59 "64.099999999999994" "72.099999999999994" "11.7" "10.199999999999999" "z" "0.35158826977568608" 0.351588269775686 -0.000826029976741915 0 0 0 NA NA
