"meta" "author" "typestudy" "doi" "year" "journal" "h" "IF" "h5" "typepaper" "typecat" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc" "mt" "sdc" "sdt" "efftypenew" "effestnew" "znew" "disc" "disccat" "info" "ndisc" "macomm" "comm2"
"Adesope" "Barron" "Regular" NA 1994 "Journal of Educational Multimedia and Hypermedia" 2 NA NA "article" 0 "0" "No text and partial text (c) vs Full text (t) on retention" NA NA 101 -0.12 "g" -0.0604224112557891 "Table 1. Retention. Effect calculated for no text as control first (z = -0.03988). Then effect calculated for partial text (z = -0.07546). Mean of both effects is total effect." "62" "39" 101 "18.44 / 18.86" "17.92 / 17.92" "5.81 / 4.89" "6.99 / 6.99" "z" "-5.6518038659611206E-2" -0.0565180386596112 0.00390437259617789 0 3 0 "Data dependency: treatment group compared twice, but no adjustment to N." "Not clear whether \"full text\" and \"partial text\" should be treatment group or if \"partial text\" and \"no text\" should be control group"
"Adesope" "Craig 2002" "Outlier" "10.1037//0022-0663.94.2.428" 2002 "Journal of Educational Psychology" 142 3.256 54 "article" 0 "2" "Difference effect of spoken only presentation (c) vs spoken-written presentation (t) on learning retention and transfer." NA NA 48 -0.58 "g" -0.290720775054475 "Table 2. Retention and transfer questions. Effect calculated for retention first (z = -0.21241) and then for transfer (z = -0.330121332). Mean is total effect." "24" "24" 48 "3.46 / 1.83" "2.63/ 1.13" "1.61 / 1.09" "2.22 / 0.99" "z" "-0.2717253388200242" -0.271725338820024 0.0189954362344508 0 0 0 NA NA
"Adesope" "Craig 2004" "Regular" NA 2004 "Journal of Educational Multimedia and Hypermedia" 2 NA NA "article" 0 "1" "Difference effect of no printed text (c) vs spoken-written presentation (t) on knowledge transfer." NA NA 30 -0.29 "g" -0.148481585860541 "Table 1. Slowpaced/vicarious talking head condition, with talking head present." "15" "15" 30 "3.73" "3" "2.72" "2.16" "z" "-0.14807315302185634" -0.148073153021856 0.000408432838684664 0 0 0 NA NA
"Adesope" "Diao et al" "Outlier" NA 2007 "American Journal of Psychology" 35 0.761 14 "article" 0 "0" "Listening only (c) vs. listening with text (t) on translation scores" NA NA 159 0.35 "g" 0.174947553134659 "Table 1. After, session 1" "53" "106" 159 "8.43" "8.8699999999999992" "1.28" "1.1599999999999999" "z" "0.17184672861724179" 0.171846728617242 -0.00310082451741722 0 3 0 "Data dependency: treatment group compared twice, but no adjustment to N." "Not clear why the translation scores should be chosen and not e.g recall scores or test performance"
"Adesope" "Diao Sweller" "Regular" "10.1016/j.learninstruc.2006.11.007" 2007 "Learning and instruction" 73 3.692 48 "article" 0 "0" "Read only (c) vs. read + listen (t) on translation scores" NA NA 57 -0.5 "g" -0.250833630617412 "Table 2. Session 2, free recall." "29" "28" 57 "7.03" "5.75" "2.37" "1.96" "z" "-0.28968108282474336" -0.289681082824743 -0.0388474522073314 1 1 0 NA "Session 2 chosen because it corresponds to the N reported in the MA: \"twenty-nine in the read only group and twenty-eight in the read listen group for the second session\""
"Adesope" "Kalyuga" "Regular" "10.1002/(SICI)1099-0720(199908)13:4351::" 1999 "Applied Cognitive Psychology" 69 1.481 31 "article" 0 "1" "Difference effect of audio presentation (c) vs spoken-written presentation (t) on test performance." NA NA 23 -1.29 "g" -0.627241357093964 "Figure 2. Effect first calculated for fault-finding scores (z = -0.63519) and then for multiple choice scores (z = -0.62054). Mean is overall score." "11" "12" 23 "4.6 / 3.8" "2.8 / 2.2" "1.1 / 1.1" "1.5 / 1.3" "z" "-0.62787706062276627" -0.627877060622766 -0.000635703528802267 0 0 0 NA NA
"Adesope" "Kalyuga" "Outlier" "10.1002/(SICI)1099-0720(199908)13:4351::" 1999 "Applied Cognitive Psychology" 69 1.481 31 "article" 0 "1" "Difference effect of written presentation (c) vs spoken-written presentation (t) on test performance." NA NA 23 -0.22 "g" -0.113878703696334 "Figure 2. Effect first calculated for fault-finding scores (z = 0.042798557) and then for multiple choice scores (z = -0.23105). Mean is overall score." "11" "12" 23 "3.5 / 2.1" "2.8 / 2.2" "1.5 / 1.0" "1.5 / 1.3" "z" "-9.5007537342986156E-2" -0.0950075373429862 0.0188711663533478 0 0 0 NA "If you take the mean of the fault-finding scores and the multiple choice scores first, you get M= 2.8/2.5 and SD=1.25/1.4. That Hedges g effect = -0.22 and coincides perfectly with the MA. However, since the scales are different, we first estimated the seperate effects, and took the mean of that result."
"Adesope" "Le Bohec" "Regular" "10.1007/978-0-387-73337-1_5" 2003 "Understanding multimedia documents" NA NA NA "chapter in a book" 1 "1" "Difference effect of no redundancy and partial redundancy (c) vs spoken-written presentation (t) on memory/retention and transfer performance." NA NA 123 -0.14 "g" -0.0703793844035958 "Figure 5.4. Mean of retention and transfer effects. Only percentage correct from the figure are given. OR calculated for both effects and for both comparisons. No redundancy vs Total redundancy: Retention ABCD = 0.63 / 0.37 / 0.64 / 0.36, OR = 0.95777, z = -0.01189. Transfer ABCD = 0.54 / 0.46 / 0.63 / 0.37, OR = 0.689441, z = -0.10233. Partial redundancy vs Total redundancy:  Retention ABCD = 0.63 / 0.37 / 0.66 / 0.34, OR = 0.87715, z = -0.03613. Transfer ABCD = 0.54 / 0.46 / 0.67 / 0.33, OR = 0.578196, z = -0.15045. Mean of both retention effects (-0.01189 and -0.04849) = -0.03019. Mean of both transfer effects (-0.10233 and -0.15045) = -0.12639. Mean of these two latter effects = -0.07829." "82" "41" 123 NA NA NA NA "z" "-7.8289999999999998E-2" -0.07829 -0.0079106155964042 0 0 0 "Data dependency: treatment group compared twice, but no adjustment to N." NA
"Adesope" "Leahy" "Outlier" "10.1002/acp.877" 2003 "Applied Cognitive Psychology" 69 1.481 31 "article" 0 "2" "Difference effect of works/diagram (c) vs words/diagram/audio (t) on correct test answers" NA NA 30 -0.94 "g" -0.466005130666772 "Table 3. Effect first calculated for low element activity (z = -0.406183788) and for high (z = -0.52889). Mean is total effect." "15" "15" 30 "47.14 / 37.14" "40.48 / 20.48" "5.26 / 12.13" "9.98 / 17.47" "z" "-0.46835888654795316" -0.468358886547953 -0.00235375588118114 0 0 0 NA NA
"Adesope" "Markham" "Outlier" "10.1111/j.1944-9720.1999.tb01344.x" 1999 "Foreign Language Annals" 29 0.908 21 "article" 0 "1" "Difference effect of caption-less (c) vs captioned videotapes (t) on multiple-choice tests.  Civil rights video." NA NA 59 0.71 "g" 0.352414299752428 "Table 2. Civil rights video." "33" "26" 59 "64.099999999999994" "72.099999999999994" "11.7" "10.199999999999999" "z" "0.35158826977568608" 0.351588269775686 -0.000826029976741915 0 0 0 NA NA
