ma;study;year;type
adesope;Barton & Dwyer (1987) (1);1987;article
adesope;Koroghlanian & Sullivan (2000);2000;article
adesope;Lai (2000) (1);2000;article
adesope;Lai (2000) (2);2000;article
adesope;Montali & Lewandowski (1996) (3);1996;article
alfieri;Butler et al. (2006);2006;paper presented at conference
alfieri;Messer et al. (1993), exp 1;1993;article
alfieri;Messer et al. (1993), exp 2;1993;article
babbage;Jackson & Moffat (1987);1987;article
babbage;Knox & Douglas (2009);2009;article
balliet;Balliet (2009);2009;unpublished raw data
balliet;Komorita (1965), exp 1;1965;article
balliet;Lindskold et al. (1986), exp 1;1986;article
balliet;Marwell et al. (1971), exp 2;1971;article
balliet;Meux (1973);1973;article
balliet;Rapoport & Chammah (1965);1965;article
balliet;Shomer et al. (1966);1966;article
benish;Banks (1998);1998;unpublished doctoral dissertation
benish;Bass (2000) ;2000;unpublished doctoral dissertation
benish;Flicker (2008) ;2008;unpublished doctoral dissertation
benish;Tom (1989);1989;unpublished doctoral dissertation
berry1;Ferris (2008), exp 1;2008;unpublished raw data
berry1;Jones (2004);2004;unpublished doctoral dissertation
berry1;Kessler et al. (2009);2009;poster
berry1;Lee (2000);2000;unpublished doctoral dissertation
berry1;O’Brien & Allen (2007);2007;article
berry1;O’Brien & Loch (2005);2005;paper presented at conference
berry1;Richards & Schat (2011);2011;unpublished raw data
berry1;Tubre  et al. (2006);2006;book chapter
berry2;Berry & Sackett (2008b);2008;poster
berry2;Berry & Sackett (2008b);2008;poster
berry2;Berry & Sackett (2008b);2008;poster
berry2;Berry & Sackett (2008b);2008;poster
berry2;Berry & Sackett (2008b);2008;poster
berry2;Berry & Sackett (2008b);2008;poster
berry2;McLaughlin et al.;1984;report
berry2;Morgan;1990;book chapter
card;Medway et al. (1995);1995;article
card;Nice (1978);1978;book chapter
crook;Menguc & Barker;2005;article
dewit;Choi & Sy;2010;article
dewit;Conlon & Jehn;2007;unpublished manuscript
dewit;Greer, Jehn, & Thatcher (2011);2007;article
dewit;Jehn & Bezrukova;2007;unpublished manuscript
dewit;Jehn (1994);1994;article
dewit;Martinez-Moreno et al.;2009;article
dewit;Nguyen;2007;unpublished doctoral dissertation
dewit;Papenhausen;2006;article
dewit;Parayitam & Dooley;2007;article
dewit;Raver & Gelfand;2005;article
dewit;Rispens, Greer, Jehn, & Thatcher;2007;article
dewit;Rupert & Jehn (2009b);2009;unpublished manuscript
dewit;Rupert & Meurs;2007;unpublished master thesis
dewit;Thatcher, Jehn, Chadwick;2007;unpublished manuscript
dewit;Vermeul;1996;unpublished master thesis
elsequest;Else-Quest (2010), exp2;2010;article
elsequest;Harmon (2006);2006;article
elsequest;Rowles (2008);2008;article
elsequest;Wong (1998), exp2;1998;article
farber;Bergin & Garfield (1971);1971;book
farber;Chisholm (1998);1998;unpublished doctoral dissertation
