"id";"study";"g";"r";"d";"z";"type"
1;"Atkinson et al. (2007) (2)";-0.25;NA;NA;NA;"r"
1;"Baron (1994)";-0.12;NA;NA;NA;"r"
1;"Barron & Kysilka (1993)";0.16;NA;NA;NA;"r"
1;"Barton & Dwyer (1987) (2)";0.24;NA;NA;NA;"r"
1;"Chu (2006) (1)";-0.15;NA;NA;NA;"r"
1;"Chu (2006) (2)";0.24;NA;NA;NA;"r"
1;"Craig et al. (2002), exp 2 (2)";0.18;NA;NA;NA;"r"
1;"Craig et al. (2004), exp 1 (1)";0.54;NA;NA;NA;"r"
1;"Craig et al. (2004), exp 1 (2)";0.29;NA;NA;NA;"r"
1;"Craig et al. (2004), exp 1 (3)";-0.29;NA;NA;NA;"r"
1;"Craig et al. (2004), exp 1 (4)";0.16;NA;NA;NA;"r"
1;"Diao et al. (2007)";0.35;NA;NA;NA;"r"
1;"Kalyuga et al. (1999), exp 1 (1)";-0.22;NA;NA;NA;"r"
1;"Kalyuga et al. (2000), exp 1";-0.41;NA;NA;NA;"r"
1;"Koroghlanian & Klein (2004)";-0.15;NA;NA;NA;"r"
1;"Koroghlanian & Sullivan (2000)";-0.1;NA;NA;NA;"r"
1;"Lai (2000) (1)";-0.05;NA;NA;NA;"r"
1;"LeBohec & Jamet (2008)";-0.14;NA;NA;NA;"r"
1;"Linebarger (2001)";0.32;NA;NA;NA;"r"
1;"Mayer & Johnson (2008), exp 1";0.25;NA;NA;NA;"r"
1;"Mayer & Johnson (2008), exp 2";0.3;NA;NA;NA;"r"
1;"Mayer et al. (2001), exp 1 (2)";-0.43;NA;NA;NA;"r"
1;"McNeill (2004) (1)";0.45;NA;NA;NA;"r"
1;"McNeill (2004) (2)";0.44;NA;NA;NA;"r"
1;"Montali & Lewandowski (1996) (1)";0.34;NA;NA;NA;"r"
1;"Montali & Lewandowski (1996) (2)";0.74;NA;NA;NA;"r"
1;"Montali & Lewandowski (1996) (3)";0.72;NA;NA;NA;"r"
1;"Montali & Lewandowski (1996) (4)";0.9;NA;NA;NA;"r"
1;"Moreno & Mayer (2002a), exp 2 (1)";0.54;NA;NA;NA;"r"
1;"Moreno & Mayer (2002a), exp 2 (2)";-0.15;NA;NA;NA;"r"
1;"Moreno & Mayer (2002b), exp 1 (2)";0.69;NA;NA;NA;"r"
1;"Moreno & Mayer (2002b), exp 2 (2)";0.35;NA;NA;NA;"r"
1;"Neuman & Koskinen (1992)";0.26;NA;NA;NA;"r"
1;"Rehaag & Szabo (1995)";-0.01;NA;NA;NA;"r"
1;"Reitsma (1988)";0.25;NA;NA;NA;"r"
1;"Severin (1967) (1)";0.41;NA;NA;NA;"r"
1;"Severin (1967) (2)";0.07;NA;NA;NA;"r"
1;"Atkinson et al. (2007) (1)";1.16;NA;NA;NA;"o"
1;"Barton & Dwyer (1987) (1)";-0.84;NA;NA;NA;"o"
1;"Craig et al. (2002), exp 2 (1)";-0.58;NA;NA;NA;"o"
1;"Diao & Sweller (2007)";-0.5;NA;NA;NA;"o"
1;"Jamet & LeBohec (2007)";-0.97;NA;NA;NA;"o"
1;"Kalyuga et al. (1999), exp 1 (2)";-1.29;NA;NA;NA;"o"
1;"Kalyuga et al. (2004), exp 3";-1.09;NA;NA;NA;"o"
1;"Lai (2000) (2)";0.56;NA;NA;NA;"o"
1;"Leahy et al. (2003)";-0.94;NA;NA;NA;"o"
1;"Markham (1999) (1)";0.71;NA;NA;NA;"o"
1;"Markham (1999) (2)";1.03;NA;NA;NA;"o"
1;"Mayer et al. (2001), exp 1 (1)";-0.69;NA;NA;NA;"o"
1;"Mayer et al. (2001), exp 2";-0.89;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 1 (1)";0.8;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 2 (1)";-0.85;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 3 (1)";1.43;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 3 (2)";1.27;NA;NA;NA;"o"
1;"Olson & Wise (1992)";0.75;NA;NA;NA;"o"
1;"Ritzhaupt et al. (2008)";1.85;NA;NA;NA;"o"
1;"Rockwell & Singleton (2007)";-0.19;NA;NA;NA;"o"
2;"Anastasiow et al. (1970)";-0.06;NA;NA;NA;"r"
2;"Belcastro (1966)";-0.26;NA;NA;NA;"r"
2;"Bransford & Johnson (1972), exp 1";-0.63;NA;NA;NA;"r"
2;"Bransford & Johnson (1972), exp 2";-0.6;NA;NA;NA;"r"
2;"Bransford & Johnson (1972), exp 4";-0.5;NA;NA;NA;"r"
2;"Brown et al. (1989), exp 3";-0.17;NA;NA;NA;"r"
2;"Butler et al. (2006)";-0.01;NA;NA;NA;"r"
2;"Cantor et al. (1982)";-0.46;NA;NA;NA;"r"
2;"Carroll (1994), exp 1";-0.89;NA;NA;NA;"r"
2;"Charney et al. (1990)";-0.33;NA;NA;NA;"r"
2;"Craig (1965)";-0.11;NA;NA;NA;"r"
2;"Danner & Day (1977)";-0.86;NA;NA;NA;"r"
2;"Destrebecqz (2004), exp 1";-0.56;NA;NA;NA;"r"
2;"Elias & Allen (1991)";-0.01;NA;NA;NA;"r"
2;"Elshout & Veenman (1992), exp 1";-0.19;NA;NA;NA;"r"
2;"Elshout & Veenman (1992), exp 2";-0.24;NA;NA;NA;"r"
2;"Fender & Crowley (2007), exp 2";-1.04;NA;NA;NA;"r"
2;"Guthrie (1967)";-0.64;NA;NA;NA;"r"
2;"Hendrickson & Schroeder (1941)";-0.32;NA;NA;NA;"r"
2;"Hodges & Lee (1999)";0.39;NA;NA;NA;"r"
2;"Jackson et al. (1992)";-0.23;NA;NA;NA;"r"
2;"Jimenez et al. (1996)";0;NA;NA;NA;"r"
2;"Kalyuyga et al. (2001) (1), exp 1";-0.78;NA;NA;NA;"r"
2;"Kalyuyga et al. (2001) (1), exp 2";-0.28;NA;NA;NA;"r"
2;"Kalyuyga et al. (2001) (2), exp 1";-0.53;NA;NA;NA;"r"
2;"Kamii & Dominick (1997)";0.21;NA;NA;NA;"r"
2;"Kelemen (2003)";-0.82;NA;NA;NA;"r"
2;"Kersh (1958)";-0.18;NA;NA;NA;"r"
2;"Kersh (1962)";0.5;NA;NA;NA;"r"
2;"King (1991)";-0.58;NA;NA;NA;"r"
2;"Lawson & Wollman (1976)";-0.82;NA;NA;NA;"r"
2;"Lazonder & van der Meij (1994)";0.05;NA;NA;NA;"r"
2;"Lazonder & van der Meij (1995)";-0.44;NA;NA;NA;"r"
2;"Leutner (1993), exp 1";-0.09;NA;NA;NA;"r"
2;"Leutner (1993), exp 2";-0.36;NA;NA;NA;"r"
2;"Leutner (1993), exp 3";-0.38;NA;NA;NA;"r"
2;"McDaniel & Schlager (1990), exp 1";0;NA;NA;NA;"r"
2;"Messer et al. (1993), exp 1";0.32;NA;NA;NA;"r"
2;"Messer, Norgate et al. (1996), exp 1";-0.89;NA;NA;NA;"r"
2;"Mwangi & Sweller (1998), exp 1";-0.46;NA;NA;NA;"r"
2;"Nadolski et al. (2005)";0.09;NA;NA;NA;"r"
2;"OBrien & Shapiro (1977)";-0.15;NA;NA;NA;"r"
2;"Paas & Van Merrienboer (1994)";-0.77;NA;NA;NA;"r"
2;"Pillay (1994), exp 2";-0.78;NA;NA;NA;"r"
2;"Pine et al. (1999)";-0.74;NA;NA;NA;"r"
2;"Rappolt-Schlichtmann et al. (2007)";-0.61;NA;NA;NA;"r"
2;"Rieber & Parmley (1995)";-0.65;NA;NA;NA;"r"
