"id";"study";"g";"r";"d";"z";"type"
1;"Atkinson et al. (2007) (1)";1.16;NA;NA;NA;"o"
1;"Barton & Dwyer (1987) (1)";-0.84;NA;NA;NA;"o"
1;"Craig et al. (2002), exp 2 (1)";-0.58;NA;NA;NA;"o"
1;"Diao & Sweller (2007)";-0.5;NA;NA;NA;"o"
1;"Jamet & LeBohec (2007)";-0.97;NA;NA;NA;"o"
1;"Kalyuga et al. (1999), exp 1 (2)";-1.29;NA;NA;NA;"o"
1;"Kalyuga et al. (2004), exp 3";-1.09;NA;NA;NA;"o"
1;"Lai (2000) (2)";0.56;NA;NA;NA;"o"
1;"Leahy et al. (2003)";-0.94;NA;NA;NA;"o"
1;"Markham (1999) (1)";0.71;NA;NA;NA;"o"
1;"Markham (1999) (2)";1.03;NA;NA;NA;"o"
1;"Mayer et al. (2001), exp 1 (1)";-0.69;NA;NA;NA;"o"
1;"Mayer et al. (2001), exp 2";-0.89;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 1 (1)";0.8;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 2 (1)";-0.85;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 3 (1)";1.43;NA;NA;NA;"o"
1;"Moreno & Mayer (2002b), exp 3 (2)";1.27;NA;NA;NA;"o"
1;"Olson & Wise (1992)";0.75;NA;NA;NA;"o"
1;"Ritzhaupt et al. (2008)";1.85;NA;NA;NA;"o"
1;"Rockwell & Singleton (2007)";-0.19;NA;NA;NA;"o"
2;"Alibali (1999)";-0.89;NA;NA;NA;"o"
2;"Bannert (2000)";0.74;NA;NA;NA;"o"
2;"Bobis et al. (1994), exp 1";1.07;NA;NA;NA;"o"
2;"Bobis et al. (1994), exp 2";1.11;NA;NA;NA;"o"
2;"Brant et al. (1991)";0.55;NA;NA;NA;"o"
2;"Carroll (1994), exp 2";-2.05;NA;NA;NA;"o"
2;"Destrebecqz (2004), exp 2";-2.36;NA;NA;NA;"o"
2;"Hendrix (1947)";0.51;NA;NA;NA;"o"
2;"Howe et al. (2005), exp 2";0.43;NA;NA;NA;"o"
2;"Howe et al. (2005), exp 3";0.29;NA;NA;NA;"o"
2;"Kalyuyga et al. (2001) (2), exp 2";0.7;NA;NA;NA;"o"
2;"Kittell (1957)";-0.78;NA;NA;NA;"o"
2;"Klahr & Nigam (2004)";-1.14;NA;NA;NA;"o"
2;"Kuhn & Dean (2005)";-1.18;NA;NA;NA;"o"
2;"Lazonder & van der Meij (1993)";0.67;NA;NA;NA;"o"
2;"Lee & Thompson (1997)";-0.92;NA;NA;NA;"o"
2;"McDaniel & Pressley (1984), exp 1";-1.21;NA;NA;NA;"o"
2;"McDaniel & Pressley (1984), exp 2";-1.06;NA;NA;NA;"o"
2;"McDaniel & Schlager (1990), exp 2";0.42;NA;NA;NA;"o"
2;"Messer et al. (1993), exp 2";-1.14;NA;NA;NA;"o"
2;"Messer, Mohamedali, & Fletcher (1996)";0.34;NA;NA;NA;"o"
2;"Messer, Norgate et al. (1996), exp 2";0.43;NA;NA;NA;"o"
2;"Morton et al. (2003), exp 2";-2.19;NA;NA;NA;"o"
2;"Paas (1992)";-2.25;NA;NA;NA;"o"
2;"Pany & Jenkins";-1.93;NA;NA;NA;"o"
2;"Peters";0.25;NA;NA;NA;"o"
2;"Pillay (1994), exp 1";-1.09;NA;NA;NA;"o"
2;"Quilici & Mayer (1996), exp 1";0.92;NA;NA;NA;"o"
2;"Quilici & Mayer (1996), exp 2";-1.69;NA;NA;NA;"o"
2;"Radziszweska& Rogoff (1991)";-1.25;NA;NA;NA;"o"
2;"Reinking & Rickman (1990)";-1.09;NA;NA;NA;"o"
2;"Salmon et al. (2007)";-1.66;NA;NA;NA;"o"
2;"Strand-Cary & Klahr (2008)";-0.85;NA;NA;NA;"o"
2;"Sweller et al. (1990), exp 3";-1.78;NA;NA;NA;"o"
2;"Trafton & Reiser (1993)";0.39;NA;NA;NA;"o"
2;"Tunteler & Resing (2002)";-2.19;NA;NA;NA;"o"
2;"van der Meij & Lazonder (1993)";1.03;NA;NA;NA;"o"
2;"Ward & Sweller (1990), exp 1";-1.07;NA;NA;NA;"o"
2;"Ward & Sweller (1990), exp 2";-1.52;NA;NA;NA;"o"
2;"Wittrock (1963)";-0.84;NA;NA;NA;"o"
2;"Worthen (1968)";0.08;NA;NA;NA;"o"
2;"Zacharia & Anderson (2003)";4.62;NA;NA;NA;"o"
3;"Knox & Douglas (2009)";-2.09;NA;NA;NA;"o"
3;"McDonald & Saunders (2005)";-0.5;NA;NA;NA;"o"
3;"Milders et al. (2008)";-2.07;NA;NA;NA;"o"
3;"Spell & Frank (2000)";-0.56;NA;NA;NA;"o"
4;"Andersen et al. (2008), exp 2";-0.61;NA;NA;NA;"o"
4;"Anthony & Horne (2003)";-0.43;NA;NA;NA;"o"
4;"Becker & Miles (1978)";-0.87;NA;NA;NA;"o"
4;"Bedell & Sistrunk (1973)";0.7;NA;NA;NA;"o"
4;"Belianin & Novarese (2005)";-1.9;NA;NA;NA;"o"
4;"Belot et al. (2006)";-0.43;NA;NA;NA;"o"
4;"Bixenstine & O?eilly (1966)";0.54;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 2";0.65;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 3";1.53;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 4";-0.94;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 5";-1.53;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 6";1.14;NA;NA;NA;"o"
4;"Brown & Stasser (2004)";-0.72;NA;NA;NA;"o"
4;"Brown & Taylor (2000), exp 1";0.26;NA;NA;NA;"o"
4;"Brown & Taylor (2000), exp 2";0.33;NA;NA;NA;"o"
4;"Brown-Kruse & Hummels (1993)";0.5;NA;NA;NA;"o"
4;"Campbell et al. (2005), exp 1";-0.36;NA;NA;NA;"o"
4;"Clark (1983), exp 1";-0.96;NA;NA;NA;"o"
4;"Clark (1983), exp 2";0.7;NA;NA;NA;"o"
4;"Corfman & Lehmann (1994)";-0.47;NA;NA;NA;"o"
4;"Crowne (1966)";0.8;NA;NA;NA;"o"
4;"Fisher & Smith (1969)";-0.46;NA;NA;NA;"o"
4;"Frank et al. (1993)";-0.52;NA;NA;NA;"o"
4;"Fundenberg et al. (2010)";-0.4;NA;NA;NA;"o"
4;"Gillis & Woods (1971)";-0.46;NA;NA;NA;"o"
4;"Greig & Bohnet (2009)";0.22;NA;NA;NA;"o"
4;"Hardy & van Vugt (2006)";0.49;NA;NA;NA;"o"
4;"Holm (2000), exp 2";-0.76;NA;NA;NA;"o"
4;"Holm (2000), exp 4";-0.98;NA;NA;NA;"o"
4;"Holm (2000), exp 6";-0.76;NA;NA;NA;"o"
4;"Hottes & Kahn (1974)";0.86;NA;NA;NA;"o"
4;"Hu & Liu (2003)";-0.47;NA;NA;NA;"o"
4;"James et al. (2001)";-1.17;NA;NA;NA;"o"
4;"Kamas et al. (2008)";-0.62;NA;NA;NA;"o"
4;"Kennelly & Fantino (2007), exp 1";0.38;NA;NA;NA;"o"
4;"Kennelly & Fantino (2007), exp 2";0.36;NA;NA;NA;"o"
4;"Komorita (1965), exp 1";0.73;NA;NA;NA;"o"
4;"Kortenkamp & Moore (2006)";-0.65;NA;NA;NA;"o"
4;"Kummerli et al. (2007)";-1.04;NA;NA;NA;"o"
4;"Kurzban & Houser (2001)";0.47;NA;NA;NA;"o"
4;"Liebrand & Van Run (1985)";-0.31;NA;NA;NA;"o"
4;"Liebrand (1984), exp 1";-0.36;NA;NA;NA;"o"
4;"Liebrand (1984), exp 2";-0.62;NA;NA;NA;"o"
4;"Mack et al. (1971)";0.78;NA;NA;NA;"o"
4;"Mack et al. (1979)";-1.75;NA;NA;NA;"o"
4;"Marwell et al. (1971), exp 1";0.75;NA;NA;NA;"o"
4;"Marwell et al. (1971), exp 2";1.65;NA;NA;NA;"o"
4;"Meeker (1984)";1.3;NA;NA;NA;"o"
4;"Meier (2005)";0.27;NA;NA;NA;"o"
4;"Miller & Pyke (1973)";-0.6;NA;NA;NA;"o"
4;"Mulder et al. (2006a), exp 2";0.53;NA;NA;NA;"o"
4;"Nowell & Tinkler (1994)";-0.75;NA;NA;NA;"o"
