study;a1;a2;a3;a4;a5;g;n;yop;domain;edu;comparison;pacing;redundancy;d;r;z;vz;znew;zexp;nnew;znewexp
Atkinson et al. (2007) (1);Atkinson;Clark;Harrison;Koenig;Ramirez;1.16;48;2007;biology;7;Audio;LP;h;1.179333333;0.507935857;0.559943966;0.022222222;0.559943966;0.559943966;48;0.559943966
Atkinson et al. (2007) (2);Atkinson;Clark;Harrison;Koenig;Ramirez;-0.25;45;2007;biology;7;Text;LP;h;-0.254464286;-0.126214661;-0.126891347;0.023809524;-0.126891347;-0.126891347;45;-0.126891347
Baron (1994);Barron;;;;;-0.12;101;1994;computer lit;PS;Audio;LP;m;-0.120918367;-0.060348987;-0.060422411;0.010204082;-0.060422411;-0.060422411;101;-0.056518039
Barron & Kysilka (1993);Barron;Kysilka;;;;0.16;60;1993;computer lit;PS;Text;LP;m;0.162105263;0.080787697;0.080964147;0.01754386;0.080964147;0.080964147;60;0.080964147
Barton & Dwyer (1987) (1);Barron;Dwyer;;;;-0.84;18;1987;physiology;PS;Text;SP;h;-0.882;-0.403505043;-0.4278286;0.066666667;-0.4278286;-0.4278286;18;-0.4278286
Barton & Dwyer (1987) (2);Barron;Dwyer;;;;0.24;34;1987;physiology;PS;Text;SP;h;0.245806452;0.121985372;0.122595897;0.032258065;0.122595897;0.122595897;34;0.122595897
Chu (2006) (1);Chu;;;;;-0.15;112;2006;computer lit;PS;Audio;SP;h;-0.15103211;-0.07530165;-0.075444465;0.009174312;-0.075444465;-0.075444465;112;-0.075444465
Chu (2006) (2);Chu;;;;;0.24;112;2006;computer lit;PS;Audio;SP;h;0.241651376;0.119953271;0.120533617;0.009174312;0.120533617;0.120533617;112;0.120533617
Craig et al. (2002), exp 2 (1);Craig;Gholson;Driscoll;;;-0.58;48;2004;meteorology;PS;Audio;LP;h;-0.589666667;-0.282798079;-0.290720775;0.022222222;-0.290720775;-0.290720775;48;-0.271725339
Craig et al. (2002), exp 2 (2);Craig;Gholson;Driscoll;;;0.18;47;2004;meteorology;PS;Text;LP;h;0.183068182;0.091153025;0.091406751;0.022727273;0.091406751;0.091406751;47;0.091406751
Craig et al. (2004), exp 1 (1);Craig;Driscoll;Gholson;;;0.54;30;2004;computer lit;PS;Audio;SP;h;0.555;0.267395365;0.274056502;0.037037037;0.274056502;0.274056502;30;0.274056502
Craig et al. (2004), exp 1 (2);Craig;Driscoll;Gholson;;;0.29;30;2004;computer lit;PS;Audio;SP;h;0.298055556;0.147399943;0.148481586;0.037037037;0.148481586;0.148481586;30;0.148481586
Craig et al. (2004), exp 1 (3);Craig;Driscoll;Gholson;;;-0.29;30;2004;computer lit;PS;Audio;LP;h;-0.298055556;-0.147399943;-0.148481586;0.037037037;-0.148481586;-0.148481586;30;-0.148073153
Craig et al. (2004), exp 1 (4);Craig;Driscoll;Gholson;;;0.16;30;2004;computer lit;PS;Audio;LP;h;0.164444444;0.081945692;0.082129859;0.037037037;0.082129859;0.082129859;30;0.082129859
Diao & Sweller (2007);Diao;Sweller;;;;-0.5;57;2007;reading;PS;Text;SP;h;-0.506944444;-0.245702127;-0.250833631;0.018518519;-0.250833631;-0.250833631;57;-0.289681083
Diao et al. (2007);Diao;Chandler;Sweller;;;0.35;159;2007;reading;PS;Audio;SP;h;0.351682692;0.173184284;0.174947553;0.006410256;0.174947553;0.174947553;159;0.171846729
Jamet & LeBohec (2007);Jamet;Le Bohec;;;;-0.97;90;2007;memory model;PS;Audio;SP;h;-0.978362069;-0.439421925;-0.471514171;0.011494253;-0.471514171;-0.471514171;90;-0.471514171
Kalyuga et al. (1999), exp 1 (1);Kalyuga;Chandler;Sweller;;;-0.22;23;1999;mechanical;PS;Text;LP;h;-0.22825;-0.113388971;-0.113878704;0.05;-0.113878704;-0.113878704;23;-0.095007537
Kalyuga et al. (1999), exp 1 (2);Kalyuga;Chandler;Sweller;;;-1.29;23;1999;mechanical;PS;Audio;LP;h;-1.338375;-0.556149752;-0.627241357;0.05;-0.627241357;-0.627241357;23;-0.627877061
Kalyuga et al. (2000), exp 1;Kalyuga;Chandler;Sweller;;;-0.41;44;2000;mechanical;PS;Text;LP;h;-0.4175;-0.204345146;-0.20726288;0.024390244;-0.20726288;-0.20726288;44;-0.20726288
Kalyuga et al. (2004), exp 3;Kalyuga;Chandler;Sweller;;;-1.09;21;2004;mechanical;PS;Audio;SP;h;-1.135416667;-0.493698105;-0.540938576;0.055555556;-0.540938576;-0.540938576;21;-0.540938576
Koroghlanian & Klein (2004);Koroghlanian;Klein;;;;-0.15;103;2004;biology;8 to 12;Text;LP;l;-0.151125;-0.0753477;-0.075490778;0.01;-0.075490778;-0.075490778;103;-0.075490778
Koroghlanian & Sullivan (2000);Koroghlanian;Sullivan;;;;-0.1;134;2000;computer lit;PS;Text;LP;h;-0.100572519;-0.0502228;-0.05026509;0.007633588;-0.05026509;-0.05026509;134;-0.05026509
Lai (2000) (1);Lai;;;;;-0.05;126;2000;computer lit;PS;Text;SP;h;-0.050304878;-0.025144487;-0.025149788;0.008130081;-0.025149788;-0.025149788;126;-0.025149788
Lai (2000) (2);Lai;;;;;0.56;127;2000;computer lit;PS;Text;SP;h;0.563387097;0.271141191;0.278095158;0.008064516;0.278095158;0.278095158;127;0.278095158
Leahy et al. (2003);Leahy;Chandler;Sweller;;;-0.94;30;2003;meteorology;4 to 7;Text;SP;h;-0.966111111;-0.434965892;-0.466005131;0.037037037;-0.466005131;-0.466005131;30;-0.468358887
LeBohec & Jamet (2008);Le Bohec;Jamet;;;;-0.14;123;2008;accounting;PS;Audio;SP;m;-0.140875;-0.070263412;-0.070379384;0.008333333;-0.070379384;-0.070379384;123;-0.07829
Linebarger (2001);Linebarger;;;;;0.32;76;2001;reading lit;K-3;Audio;SP;h;0.323287671;0.159572564;0.160948061;0.01369863;0.160948061;0.160948061;76;0.160948061
