study;a1;a2;a3;a4;a5;a6;a7;g;n;yop;domain;edu;comparison;pacing;redundancy;d;vd;vg;id;nnew;effest.exp;effestnew.exp
Atkinson et al. (2007) (1);Atkinson;Clark;Harrison;Koenig;Ramirez;NA;NA;1.16;48;2007;biology;7;Audio;LP;h;1.179333333;0.083331237;0.08062146;1;48;1.16;1.16
Atkinson et al. (2007) (2);Atkinson;Clark;Harrison;Koenig;Ramirez;NA;NA;-0.25;45;2007;biology;7;Text;LP;h;-0.254464286;0.088888763;0.085797217;1;45;-0.25;-0.25
Baron (1994);Barron;;;;;NA;NA;-0.12;101;1994;computer lit;PS;Audio;LP;m;-0.120918367;0.039603959;0.039004665;1;101;-0.12;-0.121628173
Barron & Kysilka (1993);Barron;Kysilka;;;;NA;NA;0.16;60;1993;computer lit;PS;Text;LP;m;0.162105263;0.06666665;0.064946293;1;60;0.16;0.16
Barton & Dwyer (1987) (1);Barron;Dwyer;;;;NA;NA;-0.84;18;1987;physiology;PS;Text;SP;h;-0.882;0.222162954;0.201508348;1;18;-0.84;-0.84
Barton & Dwyer (1987) (2);Barron;Dwyer;;;;NA;NA;0.24;34;1987;physiology;PS;Text;SP;h;0.245806452;0.117646697;0.112154232;1;34;0.24;0.24
Chu (2006) (1);Chu;;;;;NA;NA;-0.15;112;2006;computer lit;PS;Audio;SP;h;-0.15103211;0.035714285;0.03522783;1;112;-0.15;-0.15
Chu (2006) (2);Chu;;;;;NA;NA;0.24;112;2006;computer lit;PS;Audio;SP;h;0.241651376;0.035714283;0.035227828;1;112;0.24;0.24
Craig et al. (2002), exp 2 (1);Craig;Gholson;Driscoll;;;NA;NA;-0.58;48;2004;meteorology;PS;Audio;LP;h;-0.589666667;0.083332809;0.080622981;1;48;-0.58;-0.541143927
Craig et al. (2002), exp 2 (2);Craig;Gholson;Driscoll;;;NA;NA;0.18;47;2004;meteorology;PS;Text;LP;h;0.183068182;0.085106328;0.082277507;1;47;0.18;0.18
