study;n1;n2;n;d;type;r;z;vz;zexp;ncnew;ntnew;nnew;znew;znewexp;disc;disccat;info;ndisc;pub
Anastasiow et al. (1970);6;6;12;-0.06;Random;-0.029986509;-0.029995502;0.111111111;-0.029995502;13;13;26;-0.014241365;-0.014241365;0.015754137;0;3;-14;0
Bransford & Johnson (1972), exp 1;10;10;20;-0.63;Random;-0.300446573;-0.310010416;0.058823529;-0.310010416;10;10;20;-0.288259037;-0.288259037;0.021751379;1;3;0;0
Destrebecqz (2004), exp 2;12;12;24;-2.36;Outlier;-0.762895601;-1.003106208;0.047619048;-1.003106208;12;12;24;-1.004330578;-1.004330578;-0.00122437;0;0;0;0
Elias & Allen (1991);37.86;34.43;72.29;-0.01;Random;-0.004994306;-0.004994348;0.014432097;-0.004994348;24;29;53;-0.023913967;-0.023913967;-0.018919619;0;3;19.29;0
Hendrix (1947);13;13.5;26.5;0.51;Outlier;0.247051606;0.252270319;0.042553191;0.252270319;27;13;40;0.25530413;0.25530413;0.003033811;0;0;-13.5;0
Klahr & Nigam (2004);52;52;104;-1.14;Outlier;-0.495203044;-0.542930505;0.00990099;-0.542930505;52;52;104;-0.574798394;-0.574798394;-0.031867889;1;1;0;0
Kuhn & Dean (2005);12;12;24;-1.18;Random;-0.508148862;-0.560231076;0.047619048;-0.560231076;12;12;24;-0.596342935;-0.596342935;-0.036111859;1;3;0;0
Leutner (1993), exp 1;16;16;32;-0.09;Random;-0.044954507;-0.044984826;0.034482759;-0.044984826;16;16;32;-0.045159149;-0.045159149;-0.000174323;0;0;0;0
McDaniel & Schlager (1990), exp 1;31;29.5;60.5;0;Random;0;0;0.017391304;0;29.5;31;60.5;0;0;0;0;0;0;0
McDaniel & Schlager (1990), exp 2;60;60;120;0.42;Outlier;0.205517234;0.20848635;0.008547009;0.20848635;60;60;120;0.210523808;0.210523808;0.002037458;0;0;0;0
McDaniel & Pressley (1984), exp 2;21;21;42;-1.06;Outlier;-0.468293637;-0.507882413;0.025641026;-0.507882413;21;21;42;-0.832857664;-0.832857664;-0.324975251;3;3;0;0
Paas (1992);13;15;28;-2.25;Outlier;-0.746564878;-0.965149174;0.04;-0.965149174;15;13;28;-0.966690398;-0.966690398;-0.001541224;0;0;0;0
Quilici & Mayer (1996), exp 1;27;54;81;0.92;Outlier;0.397884575;0.421133096;0.012820513;0.421133096;54;27;81;-0.133218478;-0.133218478;-0.554351574;3;3;0;0
Sutherland et al. (2003);12;11.5;23.5;-0.1;Random;-0.049926341;-0.049967886;0.048780488;-0.049967886;11.5;12;23.5;-0.120458607;-0.120458607;-0.070490721;2;3;0;0
Swaak et al. (1998);21;21;42;-0.44;Random;-0.214861783;-0.218262907;0.025641026;-0.218262907;21;21;42;-0.232523082;-0.232523082;-0.014260175;0;3;0;0
Tarmizi & Sweller (1988), exp 3;10;10;20;0.2;Random;0.099503719;0.099834079;0.058823529;0.099834079;10;10;20;0.109326597;0.109326597;0.009492518;0;3;0;0
Tarmizi & Sweller (1988), exp 5;10;10;20;-0.71;Random;-0.334544841;-0.347937156;0.058823529;-0.347937156;10;10;20;0.120126823;0.120126823;0.468063979;3;3;0;0
Trafton & Reiser (1993);20;20;40;0.39;Outlier;0.191395051;0.193784867;0.027027027;0.193784867;20;20;40;0.193784867;0.193784867;0;0;2;0;1
Tunteler & Resing (2002);18;18;36;-2.19;Outlier;-0.738412493;-0.946979377;0.03030303;-0.946979377;18;18;36;-0.946792593;-0.946792593;0.000186784;0;0;0;0
Ward & Sweller (1990), exp 1;21;21;42;-1.07;Outlier;-0.471731969;-0.512295703;0.025641026;-0.512295703;21;21;42;-0.512821481;-0.512821481;-0.000525778;0;0;0;0
