"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"g";"rank";"domain";"age";"n";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Alibali (1999)";"Alibali";"";"";"";"";NA;NA;1999;26;29.25;-0.89;1;"math";"children";55.25;2;55.25;-0.89;-0.89;26;29.25;-0.902775119617225;-0.902775119617225;0.0723974903388862;0.0723974903388862;0.0703630023027075;0.0703630023027075
"Anastasiow et al. (1970)";"Anastasiow";"Subley";"Leonhardt";"Borich";"";NA;NA;1970;6;6;-0.06;0;"math";"children";12;2;26;-0.06;-0.027659612;13;13;-0.065;-0.0285615558695652;0.333331703325872;0.153846079881692;0.284022279756956;0.144282905276304
"Bannert (2000)";"Bannert";"";"";"";"";NA;NA;2000;37;35;0.74;0;"computer";"adults";72;2;72;0.74;0.74;37;35;0.74804347826087;0.74804347826087;0.055555388979574;0.055555388979574;0.0543670727625291;0.0543670727625291
"Belcastro (1966)";"Belcastro";"";"";"";"";NA;NA;1966;189;189;-0.26;0;"math";"adolescents";378;2;378;-0.26;-0.26;189;189;-0.26052;-0.26052;0.0105820105554153;0.0105820105554153;0.0105398091595405;0.0105398091595405
"Bobis et al. (1994), exp 1";"Bobis";"Sweller";"Cooper";"";"";NA;NA;1994;15;15;1.07;0;"math";"children";30;2;30;1.07;1.07;15;15;1.09972222222222;1.09972222222222;0.133321389820905;0.133321389820905;0.126212214176693;0.126212214176693
"Bobis et al. (1994), exp 2";"Bobis";"Sweller";"Cooper";"";"";NA;NA;1994;10;10;1.11;0;"math";"children";20;2;20;1.11;1.11;10;10;1.15897058823529;1.15897058823529;0.199932861903968;0.199932861903968;0.18339407923903;0.18339407923903
"Bransford & Johnson (1972), exp 1";"Bransford";"Johnson";"";"";"";NA;NA;1972;10;10;-0.63;1;"verbal";"adolescents";20;2;20;-0.63;-0.569589269;10;10;-0.657794117647059;-0.594718207338235;0.199978367684978;0.199978367684978;0.183435820705284;0.183435820705284
"Bransford & Johnson (1972), exp 2";"Bransford";"Johnson";"";"";"";NA;NA;1972;17;17.5;-0.6;1;"verbal";"adults";34.5;2;34.5;-0.6;-0.6;17;17.5;-0.614285714285714;-0.614285714285714;0.11593989816702;0.11593989816702;0.110610048873241;0.110610048873241
"Bransford & Johnson (1972), exp 4";"Bransford";"Johnson";"";"";"";NA;NA;1972;9;11;-0.5;1;"verbal";"adolescents";20;2;20;-0.5;-0.5;9;11;-0.522058823529412;-0.522058823529412;0.199986373657688;0.199986373657688;0.183443164410464;0.183443164410464
"Brant et al. (1991)";"Brant";"Hooper";"Sugrue";"";"";NA;NA;1991;33;35;0.55;0;"science";"adults";68;2;68;0.55;0.55;33;35;0.556346153846154;0.556346153846154;0.0588234136024048;0.0588234136024048;0.0574890884575831;0.0574890884575831
"Brown et al. (1989), exp 3";"Brown";"Kane";"Long";"";"";NA;NA;1989;21;16;-0.17;0;"problem";"children";37;2;37;-0.17;-0.17;21;16;-0.17375;-0.17375;0.108107979243933;0.108107979243933;0.103491806019139;0.103491806019139
"Butler et al. (2006)";"Butler";"Pine";"Messer";"";"";NA;NA;2006;34;28;-0.01;2;"math";"children";62;2;62;-0.01;-0.01;34;28;-0.0101271186440678;-0.0101271186440678;0.0645161289767322;0.0645161289767322;0.0629066423817524;0.0629066423817524
"Cantor et al. (1982)";"Cantor";"Dunlap";"Rettie";"";"";NA;NA;1982;24;24;-0.46;0;"math";"children";48;2;48;-0.46;-0.46;24;24;-0.467666666666667;-0.467666666666667;0.0833330037265413;0.0833330037265413;0.0806231694210021;0.0806231694210021
"Carroll (1994), exp 1";"Carroll";"";"";"";"";NA;NA;1994;16.8;16.8;-0.89;1;"math";"adolescents";33.6;2;33.6;-0.89;-0.89;16.8;16.8;-0.911813725490196;-0.911813725490196;0.119042400783089;0.119042400783089;0.113414723815596;0.113414723815596
"Carroll (1994), exp 2";"Carroll";"";"";"";"";NA;NA;1994;12;12;-2.05;1;"math";"adolescents";24;2;24;-2.05;-2.05;12;12;-2.12321428571429;-2.12321428571429;0.166558036731886;0.166558036731886;0.155269323184065;0.155269323184065
"Charney et al. (1990)";"Charney";"Reder";"Kusbit";"";"";NA;NA;1990;20;45;-0.33;0;"computer";"adults";65;2;65;-0.33;-0.33;20;45;-0.333991935483871;-0.333991935483871;0.0615384115455801;0.0615384115455801;0.0600761648814997;0.0600761648814997
"Craig (1965)";"Craig";"";"";"";"";NA;NA;1965;30;30;-0.11;0;"math";"adults";60;2;60;-0.11;-0.11;30;30;-0.111447368421053;-0.111447368421053;0.0666666589996824;0.0666666589996824;0.0649463016330183;0.0649463016330183
"Danner & Day (1977)";"Danner";"Day";"";"";"";NA;NA;1977;20;20;-0.86;1;"science";"adolescents";40;2;40;-0.86;-0.86;20;20;-0.877432432432432;-0.877432432432432;0.0999975941589025;0.0999975941589025;0.0960636508248147;0.0960636508248147
"Destrebecqz (2004), exp 1";"Destrebecqz";"";"";"";"";NA;NA;2004;20;20;-0.56;0;"problem";"adults";40;2;40;-0.56;-0.56;20;20;-0.571351351351351;-0.571351351351351;0.0999989798780107;0.0999989798780107;0.0960649820292069;0.0960649820292069
"Destrebecqz (2004), exp 2";"Destrebecqz";"";"";"";"";NA;NA;2004;12;12;-2.36;0;"problem";"adults";24;2;24;-2.36;-2.282279354;12;12;-2.44428571428571;-2.36378933092857;0.166522729241416;0.166522729241416;0.155236408710191;0.155236408710191
"Elias & Allen (1991)";"Elias";"Allen";"";"";"";NA;NA;1991;37.86;34.43;-0.01;0;"problem";"children";72.29;2;53;-0.01;-0.047538391;24;29;-0.0101082407273777;-0.048251466865;0.0553326877553777;0.0754716980096128;0.0541540091731794;0.0732574903633797
"Elshout & Veenman (1992), exp 1";"Elshout";"Veenman";"";"";"";NA;NA;1992;4.5;4.25;-0.19;0;"science";"adults";8.75;2;8.75;-0.19;-0.19;4.5;4.25;-0.214782608695652;-0.214782608695652;0.457079907076416;0.457079907076416;0.357685311898556;0.357685311898556
"Elshout & Veenman (1992), exp 2";"Elshout";"Veenman";"";"";"";NA;NA;1992;4.4;5;-0.24;0;"science";"adults";9.4;2;9.4;-0.24;-0.24;4.4;5;-0.268125;-0.268125;0.425458264000498;0.425458264000498;0.340882595598032;0.340882595598032
"Fender & Crowley (2007), exp 2";"Fender";"Crowley";"";"";"";NA;NA;2007;12;12;-1.04;0;"science";"children";24;2;24;-1.04;-1.04;12;12;-1.07714285714286;-1.07714285714286;0.166638694974634;0.166638694974634;0.155344514696924;0.155344514696924
"Guthrie (1967)";"Guthrie";"";"";"";"";NA;NA;1967;18;18;-0.64;1;"problem";"adults";36;2;36;-0.64;-0.64;18;18;-0.654545454545455;-0.654545454545455;0.111109070540486;0.111109070540486;0.106225758304386;0.106225758304386
"Hendrickson & Schroeder (1941)";"Hendrickson";"Schroeder";"";"";"";NA;NA;1941;30;30;-0.32;1;"physical";"adolescents";60;2;60;-0.32;-0.32;30;30;-0.32421052631579;-0.32421052631579;0.0666666017824919;0.0666666017824919;0.0649462458923382;0.0649462458923382
"Hendrix (1947)";"Hendrix";"";"";"";"";NA;NA;1947;13;13.5;0.51;0;"math";"adults";26.5;2;40;0.51;0.612193486;27;13;0.526276595744681;0.624602813418919;0.150938903378914;0.0999991344854436;0.141746854103102;0.0960651305543247
"Hodges & Lee (1999)";"Hodges";"Lee";"";"";"";NA;NA;1999;8;8.5;0.39;0;"physical";"adults";16.5;2;16.5;0.39;0.39;8;8.5;0.411666666666667;0.411666666666667;0.24240595246032;0.24240595246032;0.217561021044719;0.217561021044719
"Howe et al. (2005), exp 2";"Howe";"McWilliam";"Cross";"";"";NA;NA;2005;36;36;0.43;0;"science";"children";72;2;72;0.43;0.43;36;36;0.434673913043478;0.434673913043478;0.0555554993101937;0.0555554993101937;0.0543671807332038;0.0543671807332038
"Howe et al. (2005), exp 3";"Howe";"McWilliam";"Cross";"";"";NA;NA;2005;36;36;0.29;0;"science";"children";72;2;72;0.29;0.29;36;36;0.293152173913043;0.293152173913043;0.0555555299728755;0.0555555299728755;0.0543672107400183;0.0543672107400183
"Jackson et al. (1992)";"Jackson";"Fletcher";"Messer";"";"";NA;NA;1992;36;24;-0.23;0;"math";"children";60;2;60;-0.23;-0.23;36;24;-0.233026315789474;-0.233026315789474;0.0666666331473848;0.0666666331473848;0.0649462764478487;0.0649462764478487
"Jimenez et al. (1996)";"Jimenez";"Mendez";"Cleeremans";"";"";NA;NA;1996;6;6;0;1;"verbal";"adults";12;2;12;0;0;6;6;0;0;0.333333333333333;0.333333333333333;0.284023668639053;0.284023668639053
"Kalyuyga et al. (2001) (1), exp 1";"Kalyuga";"Chandler";"Sweller";"";"";NA;NA;2001;9;8;-0.78;0;"math";"adults";17;2;17;-0.78;-0.78;9;8;-0.821785714285714;-0.821785714285714;0.23522944924974;0.23522944924974;0.211915987603328;0.211915987603328
