"study";"n1";"n2";"g";"type";"pub";"n";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Anastasiow et al. (1970)";6;6;-0.06;"r";0;12;13;13;26;-0.06;-0.027659612;0;3;-0.065;-0.0285615558695652;0.333331703325872;0.153846079881692;0.284022279756956;0.144282905276304
"Bransford & Johnson (1972), exp 1";10;10;-0.63;"r";0;20;10;10;20;-0.63;-0.569589269;1;3;-0.657794117647059;-0.594718207338235;0.199978367684978;0.199978367684978;0.183435820705284;0.183435820705284
"Destrebecqz (2004), exp 2";12;12;-2.36;"o";0;24;12;12;24;-2.36;-2.282279354;1;1;-2.44428571428571;-2.36378933092857;0.166522729241416;0.166522729241416;0.155236408710191;0.155236408710191
"Elias & Allen (1991)";37.86;34.43;-0.01;"r";0;72.29;24;29;53;-0.01;-0.047538391;0;3;-0.0101082407273777;-0.048251466865;0.0553326877553777;0.0754716980096128;0.0541540091731794;0.0732574903633797
"Hendrix (1947)";13;13.5;0.51;"o";0;26.5;27;13;40;0.51;0.612193486;1;1;0.526276595744681;0.624602813418919;0.150938903378914;0.0999991344854436;0.141746854103102;0.0960651305543247
"Klahr & Nigam (2004)";52;52;-1.14;"o";0;104;52;52;104;-1.14;-1.205005894;1;1;-1.14846534653465;-1.21395395756931;0.0384614482646819;0.0384614482646819;0.0378965387051435;0.0378965387051435
"Kuhn & Dean (2005)";12;12;-1.18;"o";0;24;12;12;24;-1.18;-1.221036565;0;3;-1.22214285714286;-1.26464501375;0.166630658987517;0.166630658987517;0.155337023360539;0.155337023360539
"Leutner (1993), exp 1";16;16;-0.09;"r";0;32;16;16;32;-0.09;-0.088071294;0;0;-0.0923275862068965;-0.0903489998793103;0.124999934964151;0.124999934964151;0.118776860735656;0.118776860735656
"McDaniel & Schlager (1990), exp 1";31;29.5;0;"r";0;60.5;29.5;31;60.5;0;0;0;0;0;0;0.0661157024793388;0.0661157024793388;0.064424112825011;0.064424112825011
"McDaniel & Schlager (1990), exp 2";60;60;0.42;"o";0;120;60;60;120;0.42;0.421462987;0;0;0.422692307692308;0.424164672814103;0.0333333264402488;0.0333333264402488;0.0329100503975778;0.0329100503975778
"McDaniel & Pressley (1984), exp 2";21;21;-1.06;"o";0;42;21;21;42;-1.06;-1.842677496;3;3;-1.08038461538462;-1.87811360169231;0.095235094445885;0.095235094445885;0.0916752208549922;0.0916752208549922
"Paas (1992)";13;15;-2.25;"o";0;28;15;13;28;-2.25;-2.188978273;1;1;-2.3175;-2.25464762119;0.142787273798967;0.142787273798967;0.134590700159267;0.134590700159267
"Quilici & Mayer (1996), exp 1";27;54;0.92;"o";0;81;54;27;81;0.92;-0.430311554;3;3;0.928846153846154;-0.434449165096154;0.0493825557115254;0.0493825557115254;0.0484464147461096;0.0484464147461096
"Sutherland et al. (2003)";12;11.5;-0.1;"r";0;23.5;11.5;12;23.5;-0.1;-0.233378539;1;3;-0.103658536585366;-0.241916778231707;0.170212484101005;0.170212484101005;0.158409514615247;0.158409514615247
"Swaak et al. (1998)";21;21;-0.44;"r";0;42;21;21;42;-0.44;-0.460394377;0;3;-0.448461538461538;-0.469248115019231;0.0952375781781779;0.0952375781781779;0.0916776117457433;0.0916776117457433
"Tarmizi & Sweller (1988), exp 3";10;10;0.2;"r";0;20;10;10;20;0.2;0.20983174;0;3;0.208823529411765;0.219089022647059;0.199997819660448;0.199997819660448;0.183453663580621;0.183453663580621
"Tarmizi & Sweller (1988), exp 5";10;10;-0.71;"r";0;20;10;10;20;-0.71;0.230655896;3;3;-0.741323529411765;0.240831891411765;0.199972525745929;0.199972525745929;0.183430462021261;0.183430462021261
"Trafton & Reiser (1993)";20;20;0.39;"o";1;40;20;20;40;0.39;0.39;0;2;0.397905405405405;0.397905405405405;0.0999995052252241;0.0999995052252241;0.0960654867090614;0.0960654867090614
"Tunteler & Resing (2002)";18;18;-2.19;"o";0;36;18;18;36;-2.19;-2.140791715;0;0;-2.23977272727273;-2.18944607215909;0.111087222301725;0.111087222301725;0.106204870309204;0.106204870309204
"Ward & Sweller (1990), exp 1";21;21;-1.07;"o";0;42;21;21;42;-1.07;-1.054321247;0;0;-1.09057692307692;-1.07459665559615;0.095235037561921;0.095235037561921;0.0916751660973422;0.0916751660973422
