"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Ahmed (2008)";"Ahmed";"";"";"";"";"";"";2008;180;-0.21;4;180;-0.21;-0.21;-0.210889830508475;-0.210889830508475;0.0222222218832913;0.0222222218832913;0.0220350882161297;0.0220350882161297
"Alcock & Mansell (1977)";"Alcock";"Mansell";"";"";"";"";"";1977;60;-0.11;4;60;-0.11;-0.11;-0.111447368421053;-0.111447368421053;0.0666666589996824;0.0666666589996824;0.0649463016330183;0.0649463016330183
"Andersen et al. (2008), exp 1";"Andersen";"Bulte";"Gneezy";"List";"";"";"";2008;80;-0.2;4;80;-0.2;-0.2;-0.201948051948052;-0.201948051948052;0.0499999920345685;0.0499999920345685;0.0490400145197766;0.0490400145197766
"Andersen et al. (2008), exp 2";"Andersen";"Bulte";"Gneezy";"List";"";"";"";2008;51;-0.61;4;51;-0.61;-0.61;-0.61953125;-0.61953125;0.0784309186772146;0.0784309186772146;0.0760362231720405;0.0760362231720405
"Andersen et al. (2008), exp 3";"Andersen";"Bulte";"Gneezy";"List";"";"";"";2008;61;-0.21;4;61;-0.21;-0.21;-0.212715517241379;-0.212715517241379;0.0655737443479969;0.0655737443479969;0.0639102076194945;0.0639102076194945
"Ando (1999) ";"Ando";"";"";"";"";"";"";1999;36;0;4;36;0;0;0;0;0.111111111111111;0.111111111111111;0.106227709190672;0.106227709190672
"Andreoni & Petrie (2008)";"Andreoni";"Petrie";"";"";"";"";"";2008;80;0.29;4;80;0.29;0.29;0.292824675324675;0.292824675324675;0.0499999832526832;0.0499999832526832;0.0490400059064996;0.0490400059064996
"Anthony & Horne (2003)";"Anthony";"Horne";"";"";"";"";"";2003;298;-0.43;4;238;-0.43;-0.428212381;-0.431093220338983;-0.429579016258511;0.013422818603422;0.0168067222289586;0.0133548263854913;0.0166999566617538
"Aranoff & Tedeschi (1968) ";"Aranoff";"Tedeschi";"";"";"";"";"";1968;216;0;4;216;0;0;0;0;0.0185185185185185;0.0185185185185185;0.0183887919929779;0.0183887919929779
"Baker & Rachlin (2001), exp 1 ";"Baker";"Rachlin";"";"";"";"";"";2001;48;0;4;48;0;0;0;0;0.0833333333333333;0.0833333333333333;0.0806234883095942;0.0806234883095942
"Baker & Rachlin (2001), exp 2";"Baker";"Rachlin";"";"";"";"";"";2001;48;0;4;48;0;0;0;0;0.0833333333333333;0.0833333333333333;0.0806234883095942;0.0806234883095942
"Baker & Rachlin (2001), exp 3 ";"Baker";"Rachlin";"";"";"";"";"";2001;48;0;4;48;0;0;0;0;0.0833333333333333;0.0833333333333333;0.0806234883095942;0.0806234883095942
"Balliet (2009)";"Balliet";"";"";"";"";"";"";2009;55;-0.09;4;55;-0.09;-0.09;-0.0912980769230769;-0.0912980769230769;0.0727272654400433;0.0727272654400433;0.0706738934884219;0.0706738934884219
"Batson et al. (1995), exp 1";"Batson";"Batson";"Todd";"Brummett";"Shaw";"Aldeguer";"";1995;120;0;4;120;0;0;0;0;0.0333333333333333;0.0333333333333333;0.032910057203132;0.032910057203132
"Batson et al. (1995), exp 2";"Batson";"Batson";"Todd";"Brummett";"Shaw";"Aldeguer";"";1995;45;0;4;45;0;0;0;0;0.0888888888888889;0.0888888888888889;0.0857973393522793;0.0857973393522793
"Becker & Miles (1978)";"Becker";"Miles";"";"";"";"";"";1978;297;-0.87;4;297;-0.87;-0.87;-0.872219387755102;-0.872219387755102;0.0134680126858174;0.0134680126858174;0.0133995603814427;0.0133995603814427
"Bedell & Sistrunk (1973)";"Bedell";"Sistrunk";"";"";"";"";"";1973;60;0.7;4;60;0.7;0.7;0.709210526315789;0.709210526315789;0.0666663561868962;0.0666663561868962;0.0649460066344261;0.0649460066344261
"Belianin & Novarese (2005)";"Belianin";"Novarese";"";"";"";"";"";2005;24;-1.9;4;24;-1.9;-1.832894049;-1.96785714285714;-1.89835455075;0.166573343619909;0.166579815970506;0.155283592625456;0.155289626303064
