"study";"nc";"nt";"n";"g";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Anthony & Horne (2003)";NA;NA;298;-0.43;0;"o";149.94;88.06;238;-0.43;-0.428212381;0;0;-0.431093220338983;-0.429579016258511;0.013422818603422;0.0168067222289586;0.0133548263854913;0.0166999566617538
"Belianin & Novarese (2005)";NA;NA;24;-1.9;1;"o";12;12;24;-1.9;-1.832894049;1;1;-1.96785714285714;-1.89835455075;0.166573343619909;0.166579815970506;0.155283592625456;0.155289626303064
"Bonacich (1972)";NA;NA;120;-0.3;0;"r";53;67;120;-0.3;-0.295634348;0;0;-0.301923076923077;-0.297529439974359;0.0333333298164531;0.0333333299180649;0.0329100537309101;0.0329100538312316
"Boone et al. (2010)";NA;NA;112;-0.13;0;"r";161;161;322;-0.13;-0.069878623;1;3;-0.130894495412844;-0.0700429144333856;0.0357142848432005;0.0124223602447963;0.0352278303431024;0.0123641532483484
"Corfman & Lehmann (1994)";NA;NA;227;-0.47;0;"o";113.5;113.5;227;-0.47;0.471094714;3;1;-0.471573660714286;0.472672040051339;0.0176211447044326;0.0176211447013078;0.0175037359605269;0.0175037359574229
"Hardy & van Vugt (2006)";NA;NA;62;0.49;0;"o";32;34;66;0.49;0.466284429;0;0;0.496228813559322;0.471835434107143;0.0645159957150262;0.0606059667430073;0.0629065124445318;0.0591883323652124
"Hemesath & Pomponio (1998)";NA;NA;30;-0.59;0;"r";15;15;30;-0.59;-0.582658375;0;0;-0.606388888888889;-0.598843329861111;0.133329701753389;0.133329791567331;0.126220082887065;0.126220167911805
"Hottes & Kahn (1974)";NA;NA;60;0.86;0;"o";30;30;60;0.86;0.79941959;1;1;0.871315789473684;0.809938268815789;0.0666661980334147;0.0666662617308551;0.0649458525621526;0.0649459146158575
"Kurzban & Houser (2001)";NA;NA;72;0.47;0;"o";15;42;57;0.47;0.466197081;0;0;0.475108695652174;0.472672040458333;0.0555554883592441;0.0701752692760687;0.0543671700164923;0.0682658277213623
"Kuwabara (2005)";NA;NA;122;0.11;0;"r";66;56;122;0.11;0.099090936;0;3;0.110693277310924;0.0997154587058823;0.0327868848034221;0.0327868848868345;0.0323774792265557;0.0323774793089266
"Lindskold et al. (1977), exp 1";NA;NA;54;-0.31;0;"r";32;32;64;-0.31;-0.536542194;2;1;-0.314558823529412;-0.543139024254098;0.0740739809808341;0.0624998593333551;0.0719424675604656;0.0609908640572805
"Lindskold et al. (1977), exp 3";NA;NA;168;0;0;"r";83;85;168;0;0;0;0;0;0;0.0238095238095238;0.0238095238095238;0.0235945404963238;0.0235945404963238
"Mason et al. (1991)";NA;NA;82;-0.23;0;"r";54;28;82;-0.23;-0.229140648;0;0;-0.232183544303797;-0.231316033898734;0.0487804782659985;0.0487804783371458;0.0478672913761612;0.0478672914459766
"McCallum et al. (1985), exp 2";NA;NA;124;0;0;"r";64;60;124;0;0;0;0;0;0;0.032258064516129;0.032258064516129;0.0318618586800565;0.0318618586800565
"Miller & Pyke (1973)";NA;NA;82;-0.6;0;"o";43;38;81;-0.6;-0.596237397;0;0;-0.605696202531646;-0.601970448894231;0.0487804228900814;0.0493826487052657;0.0478672370368998;0.0484465059769754
"Oskamp & Perlaman (1965)";NA;NA;32;1.18;0;"o";16;16;32;1.18;1.152871963;0;0;1.21051724137931;1.18268761721552;0.124988821251333;0.124989329295389;0.118766300314804;0.11876678306608
"Sell (1997), exp 2";NA;NA;83;-0.45;0;"r";42;41;83;-0.45;-0.44170647;0;0;-0.45421875;-0.44584746815625;0.0481927363061118;0.0481927375762279;0.0473016725718242;0.0473016738184564
"Sell (1997), exp 3";NA;NA;79;0.47;0;"o";40;39;79;0.47;0.466242698;0;0;0.474638157894737;0.470843777256579;0.0506328651216566;0.0506328658584996;0.0496481327449948;0.0496481334675073
"Sell et al. (1993), exp 3";NA;NA;25;0.52;0;"r";13;12;25;0.52;0.500185426;0;0;0.537727272727273;0.517237201886364;0.159994078414471;0.159994521084687;0.149618903905527;0.1496193178698
"Shinada & Yamagishi (2007), exp 2";NA;NA;144;0;0;"r";72;72;144;0;0;0;0;0;0;0.0277777777777778;0.0277777777777778;0.0274846106709716;0.0274846106709716
"Smith et al. (1975)";NA;NA;96;-0.5;0;"o";48;48;96;-0.5;-0.5;0;2;-0.504032258064516;-0.504032258064516;0.0416666427378364;0.0416666427378364;0.0410026431191662;0.0410026431191662
