study;a1;a2;a3;a4;a5;a6;a7;n1;n2;yop;n;d;r;z;vz;zexp;nnew;znew;znewexp;newvz
Banks (1998);Banks;;;;;;;15;13;1998;28;0.04;0.019996001;0.019998667;0.04;0.019998667;28;0.019998667;0.019998667;
Banks, Hogue, Timberlake & Liddle (1996);Banks;Hogue;Timberlake;Liddle;;;;33;31;1996;64;0.06;0.029986509;0.029995502;0.016393443;0.029995502;64;-0.022076464;-0.022076464;
Bass (2000) ;Bass;;;;;;;6;7;2000;13;0.67;0.317649723;0.329030893;0.1;0.329030893;13;0.329030893;0.329030893;
Bradley et al. (2006) ;Bradley;Couchman;Perlesz;Nguyen;Singh;Riess;;25;25;2006;50;0.32;0.157990501;0.15932508;0.021276596;0.15932508;50;-0.004738509;-0.004738509;
Costantino & Malgady (1994) ;Costantino;Malgady;;;;;;45;45;1994;90;0.23;0.114247023;0.114748018;0.011494253;0.114748018;90;0.114748018;0.114748018;
Costantino, Malgady, & Rogler (1986), exp 1;Costantino;Malgady;Rogler;;;;;54;54;1986;108;0.68;0.321902733;0.333768352;0.00952381;0.333768352;108;-0.023757936;-0.023757936;
Costantino, Malgady, & Rogler (1986), exp 2;Costantino;Malgady;Rogler;;;;;54;54;1986;108;0.08;0.039968038;0.039989341;0.00952381;0.039989341;108;0.039989341;0.039989341;
Feske (2008);Feske;;;;;;;12;9;2008;21;0.91;0.414145802;0.440605003;0.055555556;0.440605003;21;0.015516814;0.015516814;
Flicker (2008) ;Flicker;;;;;;;24;23;2008;47;0.48;0.233372952;0.237753749;0.022727273;0.237753749;47;0.237753749;0.237753749;
Grodnitzky (1993) ;Grodnitzsky;;;;;;;13;15;1993;28;0.17;0.084694591;0.084897977;0.04;0.084897977;28;0.084897977;0.084897977;
Huey & Pan (2006) ;Huey;Pan;;;;;;10;10;2006;20;0.93;0.421644063;0.449689893;0.058823529;0.449689893;9;-0.051969057;-0.051969057;
Kohn, Oden, Munoz, Robinson, & Leavitt (2002) ;Kohn;Oden;Munoz;Robinson;Leavitt;;;10;8;2002;18;0.21;0.10442593;0.104808013;0.066666667;0.104808013;18;0;0;
Mausbach (2008) ;Mausbach;;;;;;;15;21;2008;36;0.58;0.27852445;0.286081715;0.03030303;0.286081715;36;0.286081715;0.286081715;
McCabe & Yeh (2009), exp 1;McCabe;Yeh;;;;;;19;21;2009;40;0.26;0.12891523;0.12963659;0.027027027;0.12963659;40;-0.002637728;-0.002637728;
McCabe & Yeh (2009), exp 2;McCabe;Yeh;;;;;;18;21;2009;39;0.41;0.20082362;0.203590639;0.027777778;0.203590639;39;0.186280165;0.186280165;
Patterson et al. (2005) ;Patterson;Bucardo;McKibbin;Mausbach;Moore;Barrio;Jeste;8;18;2005;26;1.04;0.461352737;0.499028444;0.043478261;0.499028444;26;0.499028444;0.499028444;
Rossello, Bernal & Rivera-Medina  (1999);Rossello;Bernal;Rivera-Medina;;;;;22;19;1999;41;0.53;0.256158238;0.2619925;0.026315789;0.2619925;41;0;0;
Schwarz (1989) ;Schwarz;;;;;;;27;26;1989;53;0.07;0.034978582;0.034992858;0.02;0.034992858;53;0.034992858;0.034992858;
Shin (2004) ;Shin;;;;;;;24;24;2004;48;0.66;0.313377454;0.324286295;0.022222222;0.324286295;48;0.561787324;0.561787324;
Szapocznik et al. (1986) ;Szapocznik;Rio;Perez-Vidal;Kurtines;Hervis;Santisteban;;15;16;1996;31;0.31;0.153170954;0.15438597;0.035714286;0.15438597;31;0.250120085;0.250120085;
Tom (1989);Tom;;;;;;;12;12;1989;24;0.46;0.224147693;0.228018972;0.047619048;0.228018972;24;0.228018972;0.228018972;
