"study";"n1";"n2";"n";"g";"type";"pub";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Banks, Hogue, Timberlake & Liddle (1996)";33;31;64;0.06;"r";0;33;31;64;0.06;0.015653519;0;3;0.0607377049180328;0.0158459802991803;0.062499998240915;0.0624999998802685;0.0609909996110592;0.0609910012108323
"Bradley et al. (2006) ";25;25;50;0.32;"r";0;25;25;50;0.32;0.308843197;0;3;0.325106382978723;0.313771545888298;0.0799998647117037;0.0799998739808923;0.0775065162240743;0.0775065252043709
"Costantino, Malgady, & Rogler (1986), exp 1";54;54;108;0.68;"r";0;54;54;108;0.68;0.63;1;3;0.684857142857143;0.6345;0.0370370094570142;0.037037013363784;0.0365135247400774;0.0365135285916285
"Feske (2008)";12;9;21;0.91;"r";0;12;9;21;0.91;0.922708604;0;3;0.947916666666667;0.961154795833333;0.190439235846035;0.190438196666213;0.175508799755706;0.175507842047582
"Huey & Pan (2006) ";10;10;20;0.93;"r";0;4;5;9;0.93;0.677468273;3;3;0.971029411764706;0.762151807125;0.199952866204666;0.443737294736858;0.183412428750323;0.350607245224184
"Kohn, Oden, Munoz, Robinson, & Leavitt (2002) ";10;8;18;0.21;"r";0;10;8;18;0.21;0.21;0;2;0.2205;0.2205;0.222218517037087;0.222218517037087;0.201558745611871;0.201558745611871
"McCabe & Yeh (2009), exp 1";19;21;40;0.26;"r";0;19;21;40;0.26;0.254134433;0;3;0.26527027027027;0.259285806641892;0.0999997800994952;0.0999997899094116;0.0960657507696742;0.0960657601936648
"McCabe & Yeh (2009), exp 2";18;21;39;0.41;"r";0;18;21;39;0.41;0.720705584;3;3;0.418541666666667;0.735720283666667;0.102563496796012;0.102562230808713;0.0984199486122499;0.0984187337706266
"Rossello, Bernal & Rivera-Medina  (1999)";22;19;41;0.53;"r";0;22;19;41;0.53;0.53;0;3;0.54046052631579;0.54046052631579;0.0975601486605424;0.0975601486605424;0.0938201737628792;0.0938201737628792
"Shin (2004) ";24;24;48;0.66;"r";0;24;24;48;0.66;1.752064728;3;3;0.671;1.7812658068;0.0833326548072585;0.0833285519057706;0.0806228318479255;0.0806188623651637
"Szapocznik et al. (1996) ";15;16;31;0.31;"r";0;15;16;31;0.31;0.781667317;3;3;0.318303571428571;0.802604834419643;0.129031380410629;0.129026678144507;0.122387118024267;0.122382657893739
