study;n;r;type;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz;pub
Bruk-Lee & Spector (2006);121;0.3;Random;0.309519604;0.309519604;121;0.298566264;0.298566264;-0.010953341;0;0;0;0.008474576;;0
de Jonge & Peeters (2009);54;0.46;Random;0.497311288;0.497311288;54;0.497311288;0.497311288;0;0;0;0;0.019607843;;0
Fox et al. (2007);132;0.3;Random;0.309519604;0.309519604;132;0.309519604;0.309519604;0;0;0;0;0.007751938;;0
Goh (2007);146;0.42;Random;0.447692024;0.447692024;147;0.447692024;0.447692024;0;0;0;-1;0.006993007;;1
Hung et al. (2009);184;0.24;Random;0.244774113;0.244774113;184;0.234189467;0.234189467;-0.010584646;0;0;0;0.005524862;;0
Judge et al. (2006a);131;0.2;Random;0.202732554;0.202732554;131;0.202732554;0.202732554;0;0;0;0;0.0078125;;0
Kidwell & Bennett (2001);556;0.15;Outlier;0.151140436;0.151140436;556;0.155235044;0.155235044;0.004094608;0;0;0;0.001808318;;0
Mount et al. (2006);141;0.38;Random;0.40005965;0.40005965;141;0.359757028;0.359757028;-0.040302622;1;1;0;0.007246377;;0
Penney & Spector (2005);155;0.24;Random;0.244774113;0.244774113;155;0.244774113;0.244774113;0;0;0;0;0.006578947;;0
Spector et al. (2010), exp 1;119;0.48;Outlier;0.522984278;0.522984278;140;0.522984278;0.522984278;0;0;0;-21;0.00862069;;0
Spector et al. (2010), exp 2;140;0.42;Random;0.447692024;0.447692024;119;0.447692024;0.447692024;0;0;0;21;0.00729927;;0
