study;a1;a2;a3;a4;a5;yop;n;r;domain;criterion;z;zexp;nnew;znew;znewexp;vz;newvz
AACTE (1992);AACTE;;;;;1992;52;0.03;Educ;Grades;0.030009005;0.030009005;52;0.030009005;0.030009005;0.020408163;
Baggaley (1974);Baggaley;;;;;1974;65;0.1;Educ;Grades;0.100335348;0.100335348;65;0.100335348;0.100335348;0.016129032;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;4;0.8;Educ;Grades;1.098612289;1.098612289;4;1.098612289;1.098612289;1;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;12;0.48;Educ;Grades;0.522984278;0.522984278;12;0.522984278;0.522984278;0.111111111;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;18;0.56;Educ;Grades;0.632833187;0.632833187;18;0.632833187;0.632833187;0.066666667;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;19;0.59;Educ;Grades;0.677666068;0.677666068;19;0.677666068;0.677666068;0.0625;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;21;0.09;Educ;Grades;0.090244188;0.090244188;21;0.090244188;0.090244188;0.055555556;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;26;0.08;Educ;Grades;0.080171325;0.080171325;26;0.080171325;0.080171325;0.043478261;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;26;0.56;Educ;Grades;0.632833187;0.632833187;26;0.632833187;0.632833187;0.043478261;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;34;0.35;Educ;Grades;0.365443754;0.365443754;34;0.365443754;0.365443754;0.032258065;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;44;0.55;Educ;Grades;0.618381314;0.618381314;44;0.618381314;0.618381314;0.024390244;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;51;0.53;Educ;Grades;0.59014516;0.59014516;51;0.59014516;0.59014516;0.020833333;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;57;0.36;Educ;Grades;0.376885901;0.376885901;57;0.376885901;0.376885901;0.018518519;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;60;0.5;Educ;Grades;0.549306144;0.549306144;60;0.549306144;0.549306144;0.01754386;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;89;0.34;Educ;Grades;0.354092529;0.354092529;89;0.354092529;0.354092529;0.011627907;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;96;0.41;Educ;Grades;0.435611223;0.435611223;96;0.435611223;0.435611223;0.010752688;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;99;0.19;Educ;Grades;0.192337169;0.192337169;99;0.192337169;0.192337169;0.010416667;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;100;0.39;Educ;Grades;0.411800;0.411800;100;0.411800034;0.411800034;0.010309278;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;108;0.34;Educ;Grades;0.354092529;0.354092529;108;0.354092529;0.354092529;0.00952381;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;113;0.33;Educ;Grades;0.342828254;0.342828254;113;0.342828254;0.342828254;0.009090909;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;113;0.53;Educ;Grades;0.59014516;0.59014516;113;0.59014516;0.59014516;0.009090909;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;129;0.21;Educ;Grades;0.213171347;0.213171347;129;0.213171347;0.213171347;0.007936508;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;131;0.36;Educ;Grades;0.376885901;0.376885901;131;0.376885901;0.376885901;0.0078125;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;134;0.04;Educ;Grades;0.040021354;0.040021354;134;0.040021354;0.040021354;0.007633588;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;138;0.18;Educ;Grades;0.181982689;0.181982689;138;0.181982689;0.181982689;0.007407407;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;139;0.26;Educ;Grades;0.266108407;0.266108407;139;0.266108407;0.266108407;0.007352941;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;148;0.28;Educ;Grades;0.287682072;0.287682072;148;0.287682072;0.287682072;0.006896552;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;196;0.1;Educ;Grades;0.100335348;0.100335348;196;0.100335348;0.100335348;0.005181347;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;218;0.27;Educ;Grades;0.276863823;0.276863823;218;0.276863823;0.276863823;0.004651163;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;227;0.39;Educ;Grades;0.411800;0.411800;227;0.411800034;0.411800034;0.004464286;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;246;0.3;Educ;Grades;0.309520;0.309520;246;0.309519604;0.309519604;0.004115226;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;261;0.33;Educ;Grades;0.342828254;0.342828254;261;0.342828254;0.342828254;0.003875969;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;325;0.21;Educ;Grades;0.213171347;0.213171347;325;0.213171347;0.213171347;0.00310559;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;366;0.24;Educ;Grades;0.244774113;0.244774113;366;0.244774113;0.244774113;0.002754821;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;402;0.03;Educ;Grades;0.030009005;0.030009005;402;0.030009005;0.030009005;0.002506266;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;405;0.41;Educ;Grades;0.435611223;0.435611223;405;0.435611223;0.435611223;0.002487562;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;437;0.36;Educ;Grades;0.376885901;0.376885901;437;0.376885901;0.376885901;0.002304147;
Berry & Sackett (2008b);Berry;Sackett;;;;2008;439;0.26;Educ;Grades;0.266108407;0.266108407;439;0.266108407;0.266108407;0.002293578;
