"study";"nc";"nt";"n";"r";"type";"pub";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"vz.o";"vz.c";"z.o";"z.c"
"Bruk-Lee & Spector (2006)";NA;NA;121;0.3;"r";0;NA;NA;121;0.3;0.338681842;1;1;0.00690083333333333;0.00653122121930904;0.00847457627118644;0.00847457627118644;0.309519604203112;0.352602828226864
"de Jonge & Peeters (2009)";NA;NA;54;0.46;"r";0;NA;NA;54;0.46;0.549530464;2;1;0.0117278218867925;0.00919295682978233;0.0196078431372549;0.0196078431372549;0.497311287572031;0.617708392724912
"Fox et al. (2007)";NA;NA;132;0.3;"r";0;NA;NA;132;0.3;0.349416906;1;1;0.00632137404580153;0.00588337519544518;0.00775193798449612;0.00775193798449612;0.309519604203112;0.364779414094402
"Goh (2007)";NA;NA;146;0.42;"r";1;NA;NA;147;0.42;0.501745206;2;1;0.004678048;0.00383479916964511;0.00699300699300699;0.00694444444444444;0.447692023527421;0.551635800363508
"Hung et al. (2009)";NA;NA;184;0.24;"o";0;NA;NA;184;0.24;0.268223535;1;1;0.0048531025136612;0.00470649284271144;0.00552486187845304;0.00552486187845304;0.244774112659353;0.274948658625294
"Judge et al. (2006a)";NA;NA;131;0.2;"o";0;NA;NA;131;0.2;0.238926289;1;1;0.00708923076923077;0.00683913263204404;0.0078125;0.0078125;0.202732554054082;0.243635086823147
"Kidwell & Bennett (2001)";NA;NA;556;0.15;"o";0;NA;NA;556;0.15;0.183973242;1;1;0.00172163288288288;0.00168189775600212;0.00180831826401447;0.00180831826401447;0.151140435936467;0.186092034716637
"Mount et al. (2006)";NA;NA;141;0.38;"r";0;NA;NA;141;0.38;0.402055306;0;0;0.00522893828571429;0.00502023778136636;0.0072463768115942;0.0072463768115942;0.400059650056057;0.426098125012105
"Penney & Spector (2005)";NA;NA;155;0.24;"o";0;NA;NA;155;0.24;0.286711546;1;1;0.00576699844155844;0.00546980776582559;0.00657894736842105;0.00657894736842105;0.244774112659353;0.294979575539028
"Spector et al. (2010), exp 1";NA;NA;119;0.48;"r";0;NA;NA;140;0.48;0.573423093;2;1;0.00501935728813559;0.00324093948264602;0.00862068965517241;0.0072992700729927;0.522984277591344;0.652608083512358
"Spector et al. (2010), exp 2";NA;NA;140;0.42;"r";0;NA;NA;119;0.42;0.501745206;2;1;0.0048799781294964;0.00474475151498463;0.0072992700729927;0.00862068965517241;0.447692023527421;0.551635800363508
