"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"vz.o";"vz.c";"z.o";"z.c"
"Breland & Griswold";NA;NA;583;0.42;1;"o";NA;NA;583;0.42;0.462540916;1;1;0.00116549305841924;0.00106165615040826;0.00172413793103448;0.00172413793103448;0.447692023527421;0.500538960576586
"Bridgeman et al.";NA;NA;2835;0.37;1;"o";1074;1761;2835;0.37;0.365;0;0;0.000262858719124912;0.000265101940940367;0.000353107344632768;0.000353107344632768;0.388423099718296;0.382642354363184
"Cleary (1968)";NA;NA;125;0.54;0;"o";NA;NA;125;0.54;0.540909217;0;0;0.00404702064516129;0.00403579936844671;0.00819672131147541;0.00819672131147541;0.604155602962267;0.6054399735108
"Davis & Kerner";NA;NA;552;0.32;1;"r";210;342;552;0.32;0.321257073;0;0;0.00146222460980036;0.00145959943122911;0.00182149362477231;0.00182149362477231;0.331647108705132;0.333048219933187
"Davis & Kerner";NA;NA;38;0.64;1;"o";5;33;38;0.64;0.639042252;0;0;0.00942086918918919;0.00946000380575305;0.0285714285714286;0.0285714285714286;0.758173744684044;0.756553223806717
"Farr et al.";NA;NA;51;-0.23;1;"o";NA;NA;51;-0.23;-0.23;0;0;0.0179399682;0.0179399682;0.0208333333333333;0.0208333333333333;-0.234189466759367;-0.234189466759367
"OLeary et al.";NA;NA;17;0.13;1;"r";NA;NA;17;0.13;0.106666667;0;3;0.060405350625;0.0610858686331876;0.0714285714285714;0.0714285714285714;0.130739850028878;0.107073994539986
"Valentine";NA;NA;1073;0.14;1;"o";NA;NA;1073;0.14;0.14;0;0;0.000896627014925373;0.000896627014925373;0.000934579439252336;0.000934579439252336;0.140925576070494;0.140925576070494
"Valentine";NA;NA;136;0.02;1;"o";NA;NA;136;0.02;0.02;0;0;0.00740148266666667;0.00740148266666667;0.0075187969924812;0.0075187969924812;0.0200026673068496;0.0200026673068496
"Valentine";NA;NA;181;0.3;1;"r";NA;NA;181;0.3;0.3;0;0;0.00460055555555556;0.00460055555555556;0.00561797752808989;0.00561797752808989;0.309519604203112;0.309519604203112
"Wightman";NA;NA;231;0.22;1;"r";NA;NA;231;0.22;0.22;0;0;0.00393714156521739;0.00393714156521739;0.0043859649122807;0.0043859649122807;0.223656109021832;0.223656109021832
"Wightman";NA;NA;400;0.19;1;"r";NA;NA;400;0.19;0.19;0;0;0.00232857947368421;0.00232857947368421;0.00251889168765743;0.00251889168765743;0.192337169219545;0.192337169219545
"Wightman & Muller";NA;NA;41;0.51;1;"o";NA;NA;41;0.51;0.51;0;0;0.01368630025;0.01368630025;0.0263157894736842;0.0263157894736842;0.562729769352149;0.562729769352149
"Wightman & Muller";NA;NA;43;0.25;1;"r";NA;NA;43;0.25;0.25;0;0;0.0209263392857143;0.0209263392857143;0.025;0.025;0.255412811882995;0.255412811882995
"Wightman & Muller";NA;NA;39;0.18;1;"r";NA;NA;39;0.18;0.18;0;0;0.0246381515789474;0.0246381515789474;0.0277777777777778;0.0277777777777778;0.181982688600706;0.181982688600706
"Wightman & Muller";NA;NA;41;0.46;1;"r";NA;NA;41;0.46;0.46;0;0;0.015539364;0.015539364;0.0263157894736842;0.0263157894736842;0.497311287572031;0.497311287572031
"Wightman & Muller";NA;NA;130;0.42;1;"o";NA;NA;130;0.42;0.42;0;0;0.00525827100775194;0.00525827100775194;0.0078740157480315;0.0078740157480315;0.447692023527421;0.447692023527421
"Wightman & Muller";NA;NA;55;0.61;1;"o";NA;NA;55;0.61;0.61;0;0;0.00730108166666667;0.00730108166666667;0.0192307692307692;0.0192307692307692;0.708921359427408;0.708921359427408
"Wightman & Muller";NA;NA;38;0.32;1;"r";NA;NA;38;0.32;0.32;0;0;0.0217752908108108;0.0217752908108108;0.0285714285714286;0.0285714285714286;0.331647108705132;0.331647108705132
"Wilbourn et al.";NA;NA;27;0.06;1;"r";NA;NA;27;0.06;0.06;0;0;0.0381851138461538;0.0381851138461538;0.0416666666666667;0.0416666666666667;0.0600721559210317;0.0600721559210317
"Wilbourn et al.";NA;NA;31;0.47;1;"o";NA;NA;31;0.47;0.47;0;0;0.020233227;0.020233227;0.0357142857142857;0.0357142857142857;0.510070336613307;0.510070336613307
"Wilbourn et al.";NA;NA;27;0.5;1;"o";NA;NA;27;0.5;0.5;0;0;0.0216346153846154;0.0216346153846154;0.0416666666666667;0.0416666666666667;0.549306144334055;0.549306144334055
"Wilbourn et al.";NA;NA;85;0.41;1;"o";NA;NA;85;0.41;0.41;0;0;0.00823878107142857;0.00823878107142857;0.0121951219512195;0.0121951219512195;0.435611223236224;0.435611223236224
