"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"age";"design";"informant";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"Chandra et al. (2010)";"Chandra";"Lara-Cinisomo";"Jaycox";"Tanielian";"Burns";"Ruder";"Han";2010;1495;-0.03;"13";"Nondeployed service members";"child";8;1495;-0.03;-0.03;0.000668139765729585;0.000668139765729585;-0.0300090048631265;0.000670241286863271;-0.0300090048631265;0.000670241286863271
"Chartrand et al. (2008)";"Chartrand";"Frank";"White";"Shope";"";"";"";2008;169;0.04;"3.1";"Nondeployed service members";"several";8;169;0.04;0.042143324;0.00593334857142857;0.0059312561599567;0.0400213538367683;0.00602409638554217;0.0421683003083287;0.00602409638554217
"Flake et al. (2009)";"Flake";"Davis";"Johnson";"Middleton";"";"";"";2009;101;0.03;"8.5";"Civilian (standardized norm)";"nondeployed parent";8;20266;0.03;0.004404296;0.0099820081;0.0000493442489380589;0.0300090048631265;0.0102040816326531;0.00440432447824992;0.0000493510339041603
"Jensen et al. (1988)";"Jensen";"Grogan";"Xenakis";"Bain";"";"";"";1988;180;-0.01;"8.8";"Nondeployed service members";"several";8;180;-0.01;-0.015909043;0.00558547491620112;0.00558376462994452;-0.0100003333533348;0.00564971751412429;-0.0159103853843197;0.00564971751412429
"Jensen et al. (1996)";"Jensen";"Martin";"Watanabe";"";"";"";"";1996;382;0.05;"4 to 17";"Nondeployed service members";"nondeployed parent";8;382;0.05;0.045697369;0.00261156496062992;0.00261372142183483;0.0500417292784913;0.00263852242744063;0.045729218084668;0.00263852242744063
"Kelley (1994)";"Kelley";"";"";"";"";"";"";1994;61;-0.05;"8.5";"During vs prior";"nondeployed parent";8;61;-0.05;-0.05;0.0165834375;0.0165834375;-0.0500417292784913;0.0172413793103448;-0.0500417292784913;0.0172413793103448
"Kelley et al. (2001)";"Kelley";"Hock";"Smith";"Jarvis";"Bonney";"Gaffney";"";2001;127;0.04;"3.1";"Several";"several";8;127;0.04;0.095937944;0.00791113142857143;0.00779108362744641;0.0400213538367683;0.00806451612903226;0.0962339207065809;0.00806451612903226
"Lester et al. (2010)";"Lester";"Peterson";"Reeves";"Knauss";"Glover";"Mogil";"Beardslee";2010;138;0.03;"8.5";"Nondeployed service members";"several";8;272;0.03;0.050302033;0.00728613729927007;0.00367138676510152;0.0300090048631265;0.00740740740740741;0.0503445238468403;0.00371747211895911
"Medway et al. (1995)";"Medwey";"Davis";"Cafferty";"Chappell";"Ohern";"";"";1995;154;0.47;"11";"other";"nondeployed parent";8;154;0.47;0.47;0.00396729941176471;0.00396729941176471;0.510070336613307;0.00662251655629139;0.510070336613307;0.00662251655629139
"Morris & Age (2009)";"Morris";"Age";"";"";"";"";"";2009;65;0.06;"11.8";"civilian (control group)";"child";8;65;0.06;0.062797806;0.0155127025;0.0155020066066196;0.0600721559210317;0.0161290322580645;0.0628805509392684;0.0161290322580645
"Nice (1978)";"Nice";"";"";"";"";"";"";1978;53;-0.33;"9";"During vs prior";"child";8;53;-0.33;-0.33;0.0152703694230769;0.0152703694230769;-0.342828254415394;0.02;-0.342828254415394;0.02
