"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"performance";"id";"nnew";"effest.exp";"effestnew.exp";"vi.o";"vi.c"
"Bae & Lawyer";"Bae";"Lawler";"";"";"";"";"";2000;138;0.31;"G";9;138;0.31;0.31;0.00596376065693431;0.00596376065693431
"Batjargal";"Batjargal";"";"";"";"";"";"";2005;56;0.16;"G";9;56;0.16;0.16;0.0172628247272727;0.0172628247272727
"Bergh";"Bergh";"";"";"";"";"";"";2001;104;0.09;"G";9;104;0.09;0.09;0.00955209330097087;0.00955209330097087
"Berman et al";"Berman";"Down";"Hill";"";"";"";"";2002;23;0.19;"G";9;23;0.19;0.19;0.0422319640909091;0.0422319640909091
"Brown et al.";"Brown";"Adams";"Amjad";"";"";"";"";2007;28;0.28;"G";9;28;0.28;0.28;0.03145728;0.03145728
"Brush & Chaganti";"Brush";"Chaganti";"";"";"";"";"";1999;195;0.01;"G";9;195;0.01;0.01;0.00515360829896907;0.00515360829896907
"Carmeli";"Carmeli";"";"";"";"";"";"";2004;98;0.4;"G";9;98;0.4;0.4;0.00727422680412371;0.00727422680412371
"Carmeli & Tishler";"Carmeli";"Tishler";"";"";"";"";"";2004;99;0.22;"G";9;99;0.22;0.22;0.00924023020408163;0.00924023020408163
"Carpenter et al.";"Carpenter";"Sanders";"Gregersen";"";"";"";"";2001;245;0.11;"G";9;245;0.11;0.105;0.00399978036885246;0.00400848996157787
"Chandler & Lyon";"Chandler";"Lyon";"";"";"";"";"";2009;124;0.19;"G";9;124;0.19;0.19;0.00755368463414634;0.00755368463414634
"Combs & Ketchen";"Combs";"Ketchen";"";"";"";"";"";1999;94;0.06;"G";9;94;0.06;0.06;0.010675408172043;0.010675408172043
"De Carolis";"De Carolis";"";"";"";"";"";"";2003;14;0.01;"G";9;14;0.01;0.01;0.0769076930769231;0.0769076930769231
"De Carolis & Deeds";"De Carolis";"Deeds";"";"";"";"";"";1999;98;0.14;"G";9;98;0.14;0.14;0.00990911505154639;0.00990911505154639
"De Carolis et al.";"De Carolis";"Litzky";"Eddleston";"";"";"";"";2009;269;0.22;"G";9;269;0.22;0.205;0.00337889014925373;0.00342431380830224
"Dimov & Shepherd";"Dimov";"Shepherd";"";"";"";"";"";2005;112;-0.13;"G";9;112;-0.13;-0.13;0.00870707756756757;0.00870707756756757
"Edelman et al.";"Edelman";"Brush";"Manolova";"";"";"";"";2005;192;0.01;"G";9;192;0.01;0.0125;0.00523455502617801;0.0052339660964087
"Fasci & Valdez";"Fasci";"Valdez";"";"";"";"";"";1998;604;0.13;"G";9;604;0.13;0.13;0.00160279537313433;0.00160279537313433
"Frese et al., exp 1";"Frese";"Krauss";"Keith";"Escher";"Grabarkiewicz";"Luneng";"Friedrich";2007;117;0.38;"G";9;117;0.38;0.38;0.0063107875862069;0.0063107875862069
"Frese et al., exp 2";"Frese";"Krauss";"Keith";"Escher";"Grabarkiewicz";"Luneng";"Friedrich";2007;215;0.23;"G";9;215;0.23;0.23;0.00419158135514019;0.00419158135514019
"Frese et al., exp 3";"Frese";"Krauss";"Keith";"Escher";"Grabarkiewicz";"Luneng";"Friedrich";2007;73;0.29;"G";9;73;0.29;0.29;0.01165101125;0.01165101125
"Garg et al.";"Garg";"Walters";"Priem";"";"";"";"";2003;105;0.09;"G";9;105;0.09;0.093333333;0.00946024625;0.00944859289767239
"Gong";"Gong";"";"";"";"";"";"";2003;695;0.42;"O";9;695;0.42;0.42;0.000977401959654179;0.000977401959654179
"Harber & Reichel";"Haber";"Reichel";"";"";"";"";"";2007;305;0.1;"Both";9;305;0.1;0.1;0.00322401315789474;0.00322401315789474
"Hatch & Deyer";"Hatch";"Dyer";"";"";"";"";"";2004;25;0.25;"O";9;25;0.25;0.25;0.03662109375;0.03662109375
"Hitt et al.";"Hitt";"Bierman";"Uhlenbruck";"Shimizu";"";"";"";2006;72;0.13;"G";9;72;0.13;0.13;0.0136124733802817;0.0136124733802817
"Hitt et al.";"Hitt";"Bierman";"Shimizu";"Kochhar";"";"";"";2001;93;0.16;"G";9;93;0.16;0.16;0.0103201669565217;0.0103201669565217
"Hmieleski ";"Hmieleski";"Baron";"";"";"";"";"";2009;201;0.05;"G";9;201;0.05;0.0525;0.00497503125;0.00497247548457031
"Hult & Ketchen";"Hult";"Ketchen";"";"";"";"";"";2001;181;0.21;"G";9;181;0.21;0.21;0.00507636005555556;0.00507636005555556
"Huselid et al.";"Huselid";"Jackson";"Schuler";"";"";"";"";1997;293;0.06;"G";9;293;0.06;0.06;0.00340004438356164;0.00340004438356164
"Keller";"Keller";"";"";"";"";"";"";2004;94;0.3;"Both";9;94;0.3;0.3;0.00890430107526882;0.00890430107526882
"Kor";"Kor";"";"";"";"";"";"";2006;77;0.26;"G";9;77;0.26;0.26;0.0114390757894737;0.0114390757894737
"Kor & Leblbici";"Kor";"Leblebici";"";"";"";"";"";2005;105;0.56;"G";9;105;0.56;0.56;0.00453024;0.00453024
"Kor & Mahoney";"Kor";"Mahoney";"";"";"";"";"";2005;60;-0.07;"G";9;60;-0.07;-0.07;0.0167834577966102;0.0167834577966102
"Lee & Miller";"Lee";"Miller";"";"";"";"";"";1999;129;0.23;"G";9;129;0.23;0.23;0.007007800078125;0.007007800078125
"Lee et al.";"Lee";"Lee";"Pennings";"";"";"";"";2001;137;0.47;"G";9;137;0.47;0.56;0.00446321183823529;0.00346430117647059
"Lopez";"Lopez";"";"";"";"";"";"";2003;72;0.57;"G";9;72;0.57;0.57;0.00641915507042254;0.00641915507042254
"Luneborg & Nielsen";"Luneborg";"Nielsen";"";"";"";"";"";2003;259;0.15;"G";9;259;0.15;0.15;0.00370351259689923;0.00370351259689923
"Macher & Boerner";"Macher";"Boerner";"";"";"";"";"";2006;26;-0.06;"O";9;26;-0.06;-0.06;0.0397125184;0.0397125184
"Manev et al.";"Manev";"Gyoshev";"Manolova";"";"";"";"";2005;160;0.03;"G";9;160;0.03;0.03;0.00627799251572327;0.00627799251572327
"Menguc & Barker";"Menguc";"Barker";"";"";"";"";"";2005;102;0.22;"O";9;102;0.22;0.22;0.00896576792079208;0.00896576792079208
