study;a1;a2;a3;a4;a5;a6;a7;yop;n;r;performance
Bae & Lawyer;Bae;Lawler;;;;;;2000;138;0.31;G
Batjargal;Batjargal;;;;;;;2005;56;0.16;G
Bergh;Bergh;;;;;;;2001;104;0.09;G
Berman et al;Berman;Down;Hill;;;;;2002;23;0.19;G
Brown et al.;Brown;Adams;Amjad;;;;;2007;28;0.28;G
Brush & Chaganti;Brush;Chaganti;;;;;;1999;195;0.01;G
Carmeli;Carmeli;;;;;;;2004;98;0.4;G
Carmeli & Tishler;Carmeli;Tishler;;;;;;2004;99;0.22;G
Carpenter et al.;Carpenter;Sanders;Gregersen;;;;;2001;245;0.11;G
Chandler & Lyon;Chandler;Lyon;;;;;;2009;124;0.19;G
Combs & Ketchen;Combs;Ketchen;;;;;;1999;94;0.06;G
De Carolis;De Carolis;;;;;;;2003;14;0.01;G
De Carolis & Deeds;De Carolis;Deeds;;;;;;1999;98;0.14;G
De Carolis et al.;De Carolis;Litzky;Eddleston;;;;;2009;269;0.22;G
Dimov & Shepherd;Dimov;Shepherd;;;;;;2005;112;-0.13;G
Edelman et al.;Edelman;Brush;Manolova;;;;;2005;192;0.01;G
Fasci & Valdez;Fasci;Valdez;;;;;;1998;604;0.13;G
Frese et al., exp 1;Frese;Krauss;Keith;Escher;Grabarkiewicz;Luneng;Friedrich;2007;117;0.38;G
Frese et al., exp 2;Frese;Krauss;Keith;Escher;Grabarkiewicz;Luneng;Friedrich;2007;215;0.23;G
Frese et al., exp 3;Frese;Krauss;Keith;Escher;Grabarkiewicz;Luneng;Friedrich;2007;73;0.29;G
Garg et al.;Garg;Walters;Priem;;;;;2003;105;0.09;G
Gong;Gong;;;;;;;2003;695;0.42;O
Harber & Reichel;Haber;Reichel;;;;;;2007;305;0.1;Both
Hatch & Deyer;Hatch;Dyer;;;;;;2004;25;0.25;O
Hitt et al.;Hitt;Bierman;Uhlenbruck;Shimizu;;;;2006;72;0.13;G
Hitt et al.;Hitt;Bierman;Shimizu;Kochhar;;;;2001;93;0.16;G
Hmieleski ;Hmieleski;Baron;;;;;;2009;201;0.05;G
Hult & Ketchen;Hult;Ketchen;;;;;;2001;181;0.21;G
Huselid et al.;Huselid;Jackson;Schuler;;;;;1997;293;0.06;G
Keller;Keller;;;;;;;2004;94;0.3;Both
Kor;Kor;;;;;;;2006;77;0.26;G
Kor & Leblbici;Kor;Leblebici;;;;;;2005;105;0.56;G
Kor & Mahoney;Kor;Mahoney;;;;;;2005;60;-0.07;G
Lee & Miller;Lee;Miller;;;;;;1999;129;0.23;G
Lee et al.;Lee;Lee;Pennings;;;;;2001;137;0.47;G
Lopez;Lopez;;;;;;;2003;72;0.57;G
Luneborg & Nielsen;Luneborg;Nielsen;;;;;;2003;259;0.15;G
Macher & Boerner;Macher;Boerner;;;;;;2006;26;-0.06;O
Manev et al.;Manev;Gyoshev;Manolova;;;;;2005;160;0.03;G
Menguc & Barker;Menguc;Barker;;;;;;2005;102;0.22;O
Miller & Shamsie;Miller;Shamsie;;;;;;1996;7;0.12;G
Nixon et al.;Nixon;Hitt;Lee;Jeong;;;;2004;364;0.18;G
Park & Luo;Park;Luo;;;;;;2001;128;0.33;G
Park et al.;Park;Mitsuhashi;Fey;Bjorkman;;;;2003;52;0.09;G
Ployhart et al.;Ployhart;Weekley;Ramsey;;;;;2009;1255;0.02;G
Ployhart et al. - in press-;Ployhart;Van Iddekinge;MacKenzie;;;;;2011;238;0.16;G
Powell & Dent-Micallef;Powell;Dent-Micallef;;;;;;1997;65;0.38;Both
Roth;Roth;;;;;;;1995;74;0.01;G
Schlemmer & Web;Schlemmer;Webb;;;;;;2006;106;0.38;G
Shrader & Siegel;Shrader;Siegel;;;;;;2007;198;0.05;G
Simonin;Simonin;;;;;;;1997;151;0.23;G
Skaggs & Youndt;Skaggs;Youndt;;;;;;2004;234;0.27;G
Smith et al.;Smith;Collins;Clark;;;;;2005;72;0.19;O
Takeuchi et al.;Takeuchi;Lepak;Wang;Takeuchi;;;;2007;76;0.56;G
Tanriverdi & Venkatraman;Tanriverdi;Venkatraman;;;;;;2005;303;0.12;G
Thompson & Heron;Thompson;Heron;;;;;;2005;78;0.01;G
Tippens & Sohi;Tippins;Sohi;;;;;;2003;271;0.18;G
Van Iddekinge et al.;Van Iddekinge;Ferris;Perrewe;Perryman;Blass;Heetderks;;2009;861;0.14;Both
Wang et al.;Wang;Heron;Mahoney;;;;;2009;211;0.15;G
West & Noel;West;Noel;;;;;;2009;177;0.19;G
Wright et al.;Wright;Liu;Buck;Filatotchev;;;;1999;38;-0.02;G
Wright et al.;Wright;Liu;Buck;Filatotchev;;;;2008;349;0.04;G
Wright et al.;Wright;Liu;Buck;Filatotchev;;;;1995;134;0.2;G
Yeoh;Yeoh;;;;;;;2004;258;0.3;G
Yip et al.;Yip;Biscarri;Monti;;;;;2000;68;0.2;O
Youndt & Snell;Youndt;Snell;;;;;;2004;208;0.35;G
Zahra & Nielsen;Zahra;Nielsen;;;;;;2002;97;0.29;O
