"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"vi.o";"vi.c"
"Batjargal";NA;NA;56;0.16;0;"r";NA;NA;56;0.16;0.16;0;0;0.0172628247272727;0.0172628247272727;0.0172628247272727;0.0172628247272727
"Brush & Chaganti";NA;NA;195;0.01;0;"o";NA;NA;195;0.01;0.01;0;0;0.00515360829896907;0.00515360829896907;0.00515360829896907;0.00515360829896907
"Carmeli";NA;NA;98;0.4;0;"o";NA;NA;98;0.4;0.4;0;0;0.00727422680412371;0.00727422680412371;0.00727422680412371;0.00727422680412371
"Carpenter et al.";NA;NA;245;0.11;0;"r";NA;NA;245;0.11;0.105;0;0;0.00399978036885246;0.00400848996157787;0.00399978036885246;0.00400848996157787
"De Carolis et al.";NA;NA;269;0.22;0;"r";NA;NA;269;0.22;0.205;0;0;0.00337889014925373;0.00342431380830224;0.00337889014925373;0.00342431380830224
"Edelman et al.";NA;NA;192;0.01;0;"o";NA;NA;192;0.01;0.0125;0;0;0.00523455502617801;0.0052339660964087;0.00523455502617801;0.0052339660964087
"Frese et al., exp 1";NA;NA;117;0.38;0;"o";NA;NA;117;0.38;0.38;0;0;0.0063107875862069;0.0063107875862069;0.0063107875862069;0.0063107875862069
"Garg et al.";NA;NA;105;0.09;0;"r";NA;NA;105;0.09;0.093333333;0;0;0.00946024625;0.00944859289767239;0.00946024625;0.00944859289767239
"Hmieleski ";NA;NA;201;0.05;0;"o";NA;NA;201;0.05;0.0525;0;0;0.00497503125;0.00497247548457031;0.00497503125;0.00497247548457031
"Kor & Leblbici";NA;NA;105;0.56;0;"o";NA;NA;105;0.56;0.56;0;0;0.00453024;0.00453024;0.00453024;0.00453024
"Kor & Mahoney";NA;NA;60;-0.07;0;"o";NA;NA;60;-0.07;-0.07;0;0;0.0167834577966102;0.0167834577966102;0.0167834577966102;0.0167834577966102
"Lee et al.";NA;NA;137;0.47;0;"o";NA;NA;137;0.47;0.56;2;1;0.00446321183823529;0.00346430117647059;0.00446321183823529;0.00346430117647059
"Nixon et al.";NA;NA;364;0.18;0;"r";NA;NA;364;0.18;0.023333333;3;1;0.00257920044077135;0.00275182205939933;0.00257920044077135;0.00275182205939933
"Ployhart et al.";NA;NA;1255;0.02;0;"o";NA;NA;1255;0.02;0.020740741;0;3;0.00079681033492823;0.000796762223587674;0.00079681033492823;0.000796762223587674
"Powell & Dent-Micallef";NA;NA;65;0.38;0;"r";NA;NA;65;0.38;0.38;0;0;0.0114383025;0.0114383025;0.0114383025;0.0114383025
"Roth";NA;NA;74;0.01;0;"r";NA;NA;74;0.01;0.0125;0;0;0.0136958905479452;0.0136943496495077;0.0136958905479452;0.0136943496495077
"Schlemmer & Web";NA;NA;106;0.38;0;"o";NA;NA;106;0.38;0.381;0;0;0.00697191771428571;0.00695952110400952;0.00697191771428571;0.00695952110400952
"Takeuchi et al.";NA;NA;76;0.56;0;"o";NA;NA;76;0.56;0.56;0;0;0.0062819328;0.0062819328;0.0062819328;0.0062819328
"Thompson & Heron";NA;NA;78;0.01;0;"r";NA;NA;78;0.01;0.01;0;0;0.0129844157142857;0.0129844157142857;0.0129844157142857;0.0129844157142857
"Van Iddekinge et al.";NA;NA;861;0.14;0;"r";NA;NA;861;0.14;0.160833333;0;3;0.001117656;0.0011034120911134;0.001117656;0.0011034120911134
"Wang et al.";NA;NA;211;0.15;0;"r";NA;NA;211;0.15;0.15;0;0;0.00455002976190476;0.00455002976190476;0.00455002976190476;0.00455002976190476
"Wright et al.";NA;NA;349;0.04;0;"o";NA;NA;349;0.04;0.0482;0;3;0.00286437517241379;0.00286022677426465;0.00286437517241379;0.00286022677426465
