study;n;r;pub;type;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Ensley & Hmieleski;256;-0.21;0;Random;-0.213171347;0.213171347;102;-0.213171347;0.213171347;2.50E-16;0;0;154;0.003952569;
Farh et al.;71;-0.08;0;Random;-0.080171325;0.080171325;71;-0.080171325;0.080171325;0.00E+00;0;0;0;0.014705882;
Hinds & Mortensen;35;-0.12;0;Random;-0.120581028;0.120581028;35;-0.120581028;0.120581028;0.00E+00;0;0;0;0.03125;
Janssen et al.;102;-0.51;0;Outlier;-0.562729769;0.562729769;102;-0.562729769;0.562729769;0.00E+00;0;0;0;0.01010101;
Jehn et al. (2008);53;0.22;0;Outlier;0.223656109;-0.223656109;53;0.223656109;-0.223656109;3.89E-16;0;0;0;0.02;
Jordan;108;-0.13;0;Random;-0.13073985;0.13073985;108;-0.13073985;0.13073985;-3.89E-16;0;0;0;0.00952381;
Konradt et al.;40;-0.25;0;Random;-0.255412812;0.255412812;40;-0.255412812;0.255412812;0.00E+00;0;0;0;0.027027027;
Langfred;31;-0.4;0;Random;-0.42364893;0.42364893;31;-0.42364893;0.42364893;0.00E+00;0;0;0;0.035714286;
Li & Hambrick;71;-0.42;0;Outlier;-0.447692024;0.447692024;71;-0.447692024;0.447692024;0.00E+00;0;0;0;0.014705882;
Mannes, exp 1;73;0.11;1;Outlier;0.110446916;-0.110446916;73;0.110446916;-0.110446916;1.94E-16;0;0;0;0.014285714;
Mohammed & Angell;45;0.16;0;Outlier;0.161386696;-0.161386696;45;0.161386696;-0.161386696;-5.00E-16;0;0;0;0.023809524;
Mortensen (2004);43;-0.52;1;Outlier;-0.576339755;0.576339755;43;-0.576339755;0.576339755;0.00E+00;0;0;0;0.025;
Nibler;50;-0.2;0;Outlier;-0.202732554;0.202732554;50;-0.20273;0.20273;2.55E-06;0;0;0;0.021276596;
Stalmeijer et al.;21;-0.3;0;Random;-0.309519604;0.309519604;21;-0.247049233;0.247049233;0.062470371;2;3;0;0.055555556;
Thatcher, Jehn, Zanutto;79;-0.64;0;Outlier;-0.758173745;0.758173745;79;-0.758173745;0.758173745;0.00E+00;0;0;0;0.013157895;
Tjosvold et al.;186;-0.06;0;Random;-0.060072156;0.060072156;186;-0.060072156;0.060072156;0.00E+00;0;0;0;0.005464481;
Van Woerkom & Van Engen;84;-0.32;0;Random;-0.331647109;0.331647109;84;-0.331647109;0.331647109;0.00E+00;0;0;0;0.012345679;
Vosdosek;76;-0.42;0;Outlier;-0.447692024;0.447692024;76;-0.447692024;0.447692024;0.00E+00;0;0;0;0.01369863;
Wakefield et al.;23;-0.22;0;Random;-0.223656109;0.223656109;23;-0.223656109;0.223656109;-3.89E-16;0;0;0;0.05;
Wilkens & London;8;0;0;Random;0;0;8;0;0;0;0;0;0;0.2;
Zhu et al.;103;-0.06;0;Random;-0.060072156;0.060072156;127;-0.060072156;0.060072156;0.00E+00;0;0;-24;0.01;
