study;a1;a2;a3;a4;a5;a6;yop;n;r;country;field;publication;z;zexp;nnew;znew;znewexp;vz;newvz
Acuna et al.;Acuna;Gomez;Juristo;;;;2009;35;-0.14;Spain;NF;1;-0.140925576;0.140925576;35;-0.140925576;0.140925576;0.03125;
Amason;Amason;;;;;;1996;48;-0.38;USA;F;1;-0.40005965;0.40005965;48;-0.40005965;0.40005965;0.022222222;
Amason & Mooney;Amason;Mooney;;;;;1999;44;-0.37;USA;F;1;-0.3884231;0.3884231;44;-0.3884231;0.3884231;0.024390244;
Barsade et al.;Barsade;Ward;Turner;Sonnenfeld;;;2000;62;0.07;USA;F;1;0.070114671;-0.070114671;62;0.070114671;-0.070114671;0.016949153;
Bayazit & Mannix;Bayazit;Mannix;;;;;2003;28;0.04;USA;NF;1;0.040021354;-0.040021354;28;0.040021354;-0.040021354;0.04;
Beersma et al;Beersma;Hollenbeck;Conlon;Humphrey;Moon;Ilgen;2009;75;-0.29;USA;NF;1;-0.298566264;0.298566264;75;-0.298566264;0.298566264;0.013888889;
Bendersky & Hays;Bendersky;Hays;;;;;2011;44;-0.08;USA;NF;1;-0.080171325;0.080171325;44;-0.080171325;0.080171325;0.024390244;
Brauckmann;Brauckmann;;;;;;2007;33;-0.02;Netherlands;F;0;-0.020002667;0.020002667;33;-0.020002667;0.020002667;0.033333333;
Choi & Sy;Choi;Sy;;;;;2010;62;-0.4;USA;F;1;-0.42364893;0.42364893;62;-0.42364893;0.42364893;0.016949153;
Conlon & Jehn;Conlon;Jehn;;;;;2007;84;0.08;USA;F;0;0.080171325;-0.080171325;84;0.080171325;-0.080171325;0.012345679;
Cursue & Schruijer;Cursue;Schruijer;;;;;2010;174;-0.2;Netherlands;NF;1;-0.202732554;0.202732554;174;-0.202732554;0.202732554;0.005847953;
De Dreu;De Dreu;;;;;;2006;29;0.15;Netherlands;F;1;0.151140436;-0.151140436;29;0.151140436;-0.151140436;0.038461538;
De Dreu & Van Vianen;De Dreu;Van Vianen;;;;;2001;27;0.06;Netherlands;F;1;0.060072156;-0.060072156;27;0.060072156;-0.060072156;0.041666667;
De Vries;De Vries;;;;;;1998;32;-0.35;Netherlands;F;1;-0.365443754;0.365443754;32;-0.365443754;0.365443754;0.034482759;
Ensley & Hmieleski;Ensley;Hmieleski;;;;;2005;256;-0.21;USA;F;1;-0.213171347;0.213171347;102;-0.213171347;0.213171347;0.003952569;
Ensley &et al.;Ensley;Pearson;Amason;;;;2002;70;-0.1;USA;F;1;-0.100335348;0.100335348;70;-0.100335348;0.100335348;0.014925373;
Ensley et al.;Ensley;Pearson;Sardeshmukh;;;;2007;200;-0.12;USA;F;1;-0.120581028;0.120581028;200;-0.120581028;0.120581028;0.005076142;
Farh et al.;Farh;Lee;Farh;;;;2010;71;-0.08;China;F;1;-0.080171325;0.080171325;71;-0.080171325;0.080171325;0.014705882;
Goncalo et al.;Goncalo;;;;;;2010;72;-0.07;USA;NF;1;-0.070114671;0.070114671;72;-0.070114671;0.070114671;0.014492754;
Greer et al. (2009);Greer;Jehn;Lytle;;;;2009;36;0.01;Australia;NF;0;0.010000333;-0.010000333;36;0.010000333;-0.010000333;0.03030303;
