"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"country";"field";"publication";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c"
"Acuna et al.";"Acuna";"Gomez";"Juristo";"";"";"";NA;2009;35;-0.14;"Spain";"NF";1;10;35;0.14;0.14;0.0282701223529412;0.0282701223529412
"Amason";"Amason";"";"";"";"";"";NA;1996;48;-0.38;"USA";"F";1;10;48;0.38;0.38;0.0155755608510638;0.0155755608510638
"Amason & Mooney";"Amason";"Mooney";"";"";"";"";NA;1999;44;-0.37;"USA";"F";1;10;44;0.37;0.37;0.0173242234883721;0.0173242234883721
"Barsade et al.";"Barsade";"Ward";"Turner";"Sonnenfeld";"";"";NA;2000;62;0.07;"USA";"F";1;10;62;-0.07;-0.07;0.0162331804918033;0.0162331804918033
"Bayazit & Mannix";"Bayazit";"Mannix";"";"";"";"";NA;2003;28;0.04;"USA";"NF";1;10;28;-0.04;-0.04;0.0369186133333333;0.0369186133333333
"Beersma et al";"Beersma";"Hollenbeck";"Conlon";"Humphrey";"Moon";"Ilgen";NA;2009;75;-0.29;"USA";"NF";1;10;75;0.29;0.29;0.0113361190540541;0.0113361190540541
"Bendersky & Hays";"Bendersky";"Hays";"";"";"";"";NA;2011;44;-0.08;"USA";"NF";1;10;44;0.08;0.08;0.0229590920930233;0.0229590920930233
"Brauckmann";"Brauckmann";"";"";"";"";"";NA;2007;33;-0.02;"Netherlands";"F";0;10;33;0.02;0.02;0.031225005;0.031225005
"Choi & Sy";"Choi";"Sy";"";"";"";"";NA;2010;62;-0.4;"USA";"F";1;10;62;0.4;0.4;0.0115672131147541;0.0115672131147541
"Conlon & Jehn";"Conlon";"Jehn";"";"";"";"";NA;2007;84;0.08;"USA";"F";0;10;84;-0.08;-0.08;0.0118944693975904;0.0118944693975904
"Cursue & Schruijer";"Cursue";"Schruijer";"";"";"";"";NA;2010;174;-0.2;"Netherlands";"NF";1;10;174;0.2;0.2;0.0053271676300578;0.0053271676300578
"De Dreu";"De Dreu";"";"";"";"";"";NA;2006;29;0.15;"Netherlands";"F";1;10;29;-0.15;-0.15;0.0341252232142857;0.0341252232142857
"De Dreu & Van Vianen";"De Dreu";"Van Vianen";"";"";"";"";NA;2001;27;0.06;"Netherlands";"F";1;10;27;-0.06;-0.06;0.0381851138461538;0.0381851138461538
"De Vries";"De Vries";"";"";"";"";"";NA;1998;32;-0.35;"Netherlands";"F";1;10;32;0.35;0.35;0.0248389112903226;0.0248389112903226
"Ensley & Hmieleski";"Ensley";"Hmieleski";"";"";"";"";NA;2005;256;-0.21;"USA";"F";1;10;102;0.21;0.21;0.00358331298039216;0.00904697831683168
