"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"vz.o";"vz.c";"z.o";"z.c"
"Ensley & Hmieleski";NA;NA;256;-0.21;0;"r";NA;NA;102;0.21;0.21;0;0;0.00358331298039216;0.00904697831683168;0.00395256916996047;0.0101010101010101;0.21317134656486;0.21317134656486
"Farh et al.";NA;NA;71;-0.08;0;"r";NA;NA;71;0.08;0.095823846;0;0;0.0141034422857143;0.0140245699149449;0.0147058823529412;0.0147058823529412;0.0801713250375897;0.0961187640545332
"Hinds & Mortensen";NA;NA;35;-0.12;0;"r";NA;NA;35;0.12;0.12;0;0;0.0285708047058824;0.0285708047058824;0.03125;0.03125;0.120581028408444;0.120581028408444
"Janssen et al.";NA;NA;102;-0.51;0;"o";NA;NA;102;0.51;0.51;0;0;0.00542031693069307;0.00542031693069307;0.0101010101010101;0.0101010101010101;0.562729769352149;0.562729769352149
"Jehn et al. (2008)";NA;NA;53;0.22;0;"o";NA;NA;53;-0.22;-0.22;0;0;0.01741428;0.01741428;0.02;0.02;-0.223656109021832;-0.223656109021832
"Jordan";NA;NA;108;-0.13;0;"r";NA;NA;108;0.13;0.141004798;0;0;0.00903257579439252;0.00897785609201049;0.00952380952380952;0.00952380952380952;0.130739850028878;0.141950609266224
"Konradt et al.";NA;NA;40;-0.25;0;"r";NA;NA;40;0.25;0.25;0;0;0.0225360576923077;0.0225360576923077;0.027027027027027;0.027027027027027;0.255412811882995;0.255412811882995
"Langfred";NA;NA;31;-0.4;0;"r";NA;NA;31;0.4;0.425195203;1;1;0.02352;0.0223701150048617;0.0357142857142857;0.0357142857142857;0.423648930193602;0.454016784100549
"Li & Hambrick";NA;NA;71;-0.42;0;"o";NA;NA;71;0.42;0.42;0;0;0.00969024228571429;0.00969024228571429;0.0147058823529412;0.0147058823529412;0.447692023527421;0.447692023527421
"Mannes, exp 1";NA;NA;73;0.11;1;"o";NA;NA;73;-0.11;-0.11;0;0;0.01355481125;0.01355481125;0.0142857142857143;0.0142857142857143;-0.110446915790097;-0.110446915790097
"Mohammed & Angell";NA;NA;45;0.16;0;"o";NA;NA;45;-0.16;-0.176154202;0;0;0.0215785309090909;0.0213386880439193;0.0238095238095238;0.0238095238095238;-0.161386696131526;-0.17801093498241
"Mortensen (2004)";NA;NA;43;-0.52;1;"o";NA;NA;43;0.52;0.52;0;0;0.0126741942857143;0.0126741942857143;0.025;0.025;0.576339754969193;0.576339754969193
"Nibler";NA;NA;50;-0.2;0;"r";NA;NA;50;0.2;0.2;0;0;0.0188081632653061;0.0188081632653061;0.0212765957446809;0.0212765957446809;0.202732554054082;0.202732554054082
"Stalmeijer et al.";NA;NA;21;-0.3;0;"r";NA;NA;21;0.3;0.242142857;1;3;0.041405;0.0443085760717069;0.0555555555555556;0.0555555555555556;0.309519604203112;0.247049187718395
"Thatcher, Jehn, Zanutto";NA;NA;79;-0.64;0;"o";NA;NA;79;0.64;0.64;0;0;0.00446887384615385;0.00446887384615385;0.0131578947368421;0.0131578947368421;0.758173744684044;0.758173744684044
"Tjosvold et al.";NA;NA;186;-0.06;0;"r";NA;NA;186;0.06;0.07407972;0;0;0.00536655654054054;0.00534624057390395;0.00546448087431694;0.00546448087431694;0.0600721559210317;0.0742156796373861
"Van Woerkom & Van Engen";NA;NA;84;-0.32;0;"r";NA;NA;84;0.32;0.433860916;2;1;0.00970705734939759;0.00793930044825685;0.0123456790123457;0.0123456790123457;0.331647108705132;0.464643123376845
"Vosdosek";NA;NA;76;-0.42;0;"o";NA;NA;76;0.42;0.42;0;0;0.00904422613333333;0.00904422613333333;0.0136986301369863;0.0136986301369863;0.447692023527421;0.447692023527421
"Wakefield et al.";NA;NA;23;-0.22;0;"r";NA;NA;23;0.22;0.250404518;1;1;0.0411610254545455;0.0399330340243023;0.05;0.05;0.223656109021832;0.255844344326484
"Wilkens & London";NA;NA;8;0;0;"r";NA;NA;8;0;0;0;0;0.142857142857143;0.142857142857143;0.2;0.2;0;0
"Zhu et al.";NA;NA;103;-0.06;0;"r";NA;NA;127;0.06;0.06;0;0;0.00973346039215686;0.00787946793650793;0.01;0.00806451612903226;0.0600721559210317;0.0600721559210317
