study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;d;n;scale;item;domain;age;ethnicity;r;z;zexp;nnew;znew;znewexp;vz;newvz
Blair (1999);Blair;;;;;;;1999;482;376;-1.64;858;State;3;10;1;2;-0.631161593;-0.743344524;-0.743344524;858;-0.743344524;-0.743344524;0.001169591;
Boezeman & Ellemers (2008a);Boezeman;Ellemers;;;;;;2008;14;75;0.08;89;State;3;10;4;3;0.029114577;0.029122808;0.029122808;89;0.029122808;0.029122808;0.011627907;
Byrd & Chavous (2009);Byrd;Chavous;;;;;;2009;316;248;-0.01;564;State;3;6;1;1;-0.004963465;-0.004963505;-0.004963505;564;-0.004963505;-0.004963505;0.001782531;
Carter (1999);Carter;;;;;;;1999;14;42;0.61;56;State;4;1;1;2;0.255379197;0.261158928;0.261158928;56;0.261158928;0.261158928;0.018867925;
Castro, Stein, & Bentler (2009);Castro ;Stein;Bentler;;;;;2009;585;360;0.08;945;State;3;6;1;1;0.038820388;0.038839906;0.038839906;945;0.038839906;0.038839906;0.001061571;
Chow et al. (2006);Chow;Lo;Sha;Hong;;;;2006;100;113;-0.31;213;State;3;10;4;2;-0.152892088;-0.154100416;-0.154100416;213;-0.151140436;-0.151140436;0.004761905;
Denham (2010);Denham ;;;;;;;2010;1114;1414;0.09;2528;State;2;10;4;2;0.044637477;0.044667159;0.044667159;2528;0.047201575;0.047201575;0.00039604;
Else-Quest (2010), exp1;Else-Quest;;;;;;;2010;33;50;0;83;State;3;6;2;1;0;0;0;83;0;0;0.0125;
Else-Quest (2010), exp2;Else-Quest;;;;;;;2010;39;44;-0.34;83;State;3;6;2;1;-0.167299644;-0.168887252;-0.168887252;83;-0.168887252;-0.168887252;0.0125;
Else-Quest (2010), exp3;Else-Quest;;;;;;;2010;54;39;-0.33;93;State;3;6;2;1;-0.160722676;-0.162128447;-0.162128447;93;-0.162128447;-0.162128447;0.011111111;
Else-Quest (2010), exp4;Else-Quest;;;;;;;2010;52;45;-0.26;97;State;3;6;2;3;-0.128584676;-0.129300464;-0.129300464;97;-0.129300464;-0.129300464;0.010638298;
