study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;d;n;scale;item;domain;age;ethnicity;id;vd;nnew;effest.exp;effestnew.exp;ncnew;ntnew
Blair (1999);Blair;;;;;;;1999;482;376;-1.64;858;State;3;10;1;2;11;0.004662005;858;-1.64;-1.64;482;376
Boezeman & Ellemers (2008a);Boezeman;Ellemers;;;;;;2008;14;75;0.08;89;State;3;10;4;3;11;0.044943819;89;0.08;0.08;14;75
Byrd & Chavous (2009);Byrd;Chavous;;;;;;2009;316;248;-0.01;564;State;3;6;1;1;11;0.007092199;564;-0.01;-0.01;316;248
Carter (1999);Carter;;;;;;;1999;14;42;0.61;56;State;4;1;1;2;11;0.071428269;56;0.61;0.61;14;42
Castro, Stein, & Bentler (2009);Castro ;Stein;Bentler;;;;;2009;585;360;0.08;945;State;3;6;1;1;11;0.004232804;945;0.08;0.08;585;360
Chow et al. (2006);Chow;Lo;Sha;Hong;;;;2006;100;113;-0.31;213;State;3;10;4;2;11;0.018779342;213;-0.31;-0.303999772;100;113
Denham (2010);Denham ;;;;;;;2010;1114;1414;0.09;2528;State;2;10;4;2;11;0.001582278;2528;0.09;0.094438208;1114;1414
Else-Quest (2010), exp1;Else-Quest;;;;;;;2010;33;50;0;83;State;3;6;2;1;11;0.048192771;83;0;0;33;50
Else-Quest (2010), exp2;Else-Quest;;;;;;;2010;39;44;-0.34;83;State;3;6;2;1;11;0.048192752;83;-0.34;-0.34;39;44
Else-Quest (2010), exp3;Else-Quest;;;;;;;2010;54;39;-0.33;93;State;3;6;2;1;11;0.043010741;93;-0.33;-0.33;54;39
Else-Quest (2010), exp4;Else-Quest;;;;;;;2010;52;45;-0.26;97;State;3;6;2;3;11;0.041237107;97;-0.26;-0.26;52;45
Frenzel, Pekrun, & Goetz (2007);Frenzel;Pekrun;Goetz;;;;;2007;1036;1017;0.3;2053;State;3;8;1;3;11;0.001948368;2053;0.3;0.3;1036;1017
Frenzel, Thrash, et al. (2007), exp1;Frenzel;Trash;Pekrun;Goetz;;;;2007;272;249;-0.14;521;State;3;8;1;1;11;0.007677543;521;-0.14;-0.14;272;249
Frenzel, Thrash, et al. (2007), exp2;Frenzel;Trash;Pekrun;Goetz;;;;2007;140;156;-0.41;296;State;3;8;1;3;11;0.013513513;296;-0.41;-0.41;140;156
Ghorpade et al. (2006);Ghorpade;Lackritz;Singh;;;;;2006;346;391;-0.32;737;State;3;10;3;2;11;0.005427408;737;-0.32;-0.32;346;391
Goetz et al. (2006);Goetz;Pekrun;Hall;Haag;;;;2006;79;121;0.01;200;State;3;2;1;3;11;0.02;200;0.01;0.01;79;121
Goetz et al. (2007);Goetz;Frenzel;Pekrun;Hall;Ludtke;;;2007;238;304;0.22;542;State;3;2;2;3;11;0.007380074;542;0.22;0.22;238;304
Goetz et al. (2010);Goetz;Frenzel;Ludtke;Hall;;;;2010;945;742;0.17;1687;State;3;2;2;3;11;0.002371073;1687;0.17;0.17;945;742
Guimo?n et al. (2007);Guimon;Las Hayas;Guillen;Boyra;Gonzalez-Pinto;;;2007;35;44;-0.25;79;State;2;1;1;1;11;0.050632899;79;-0.25;-0.25;35;44
Harmon (2006);Harmon;;;;;;;2006;129;134;-0.52;263;State;2;1;2;2;11;0.015209125;263;-0.52;-0.52;129;134
Jonathan Cohen (2008);Cohen;;;;;;;2008;188;220;-0.21;408;State;3;6;4;3;11;0.009803922;408;-0.21;-0.21;188;220
Juang & Nguyen (2010);Juang;Nguyen;;;;;;2010;42;85;-0.31;127;State;3;6;3;1;11;0.03149606;127;-0.31;-0.31;42;85
L. A. Williams & Desteno (2008), exp1;Williams;Desteno;;;;;;2008;7;24;-0.45;31;State;3;1;3;2;11;0.129030504;31;-0.45;-0.45;7;24
L. A. Williams & Desteno (2008), exp2;Williams;Desteno;;;;;;2008;10;19;0.36;29;State;3;1;3;2;11;0.137929569;29;0.36;0.36;10;19
L. A. Williams & Desteno (2008), exp3;Williams;Desteno;;;;;;2008;14;15;0.21;29;State;3;1;3;2;11;0.137930536;29;0.21;0.21;14;15
Lam & Smith (2009);Lam;Smith;;;;;;2009;91;46;-0.13;137;State;3;6;2;1;11;0.02919708;137;-0.13;-0.126495792;91;46
Lee (2005);Lee;;;;;;;2005;43;39;-0.26;82;State;3;6;3;1;11;0.048780476;84;-0.26;-0.26;43;39
Leong (2008), exp1;Leong ;;;;;;;2008;96;136;0.02;232;State;3;6;4;2;11;0.017241379;232;0.02;0.02;96;136
Leong (2008), exp2;Leong ;;;;;;;2008;112;125;0.23;237;State;3;6;4;2;11;0.016877637;237;0.23;0.23;112;125
Leong (2008), exp3;Leong ;;;;;;;2008;143;170;0.04;313;State;3;6;4;2;11;0.012779553;313;0.04;0.04;143;170
M. Kim et al. (2010);Kim;Kim;Odio;;;;;2010;49;48;0.2;97;State;3;10;4;1;11;0.04123711;97;0.2;0.2;49;48
Morrison & Miller (2008);Morrison;Miller;;;;;;2008;13;17;0.22;30;State;4;10;3;2;11;0.133332855;30;0.22;0.22;13;17
O?onnor et al. (1994);Oconnor;;;;;;;1994;73;37;0.15;110;State;2;1;4;2;11;0.036363635;110;0.15;0.148298291;73;37
Orth et al. (2010);Orth;Robins;Soto;;;;;2010;809;1802;0.04;2611;State;4;1;4;2;11;0.00153198;2611;0.04;0.04;809;1802
Pekrun et al. (2004), exp1;Pekrun;Goetz;Perry;Kramer;Hochstadt;Molfenter;;2004;71;151;0.25;222;State;4;2;4;3;11;0.018018018;222;0.25;0.25;71;151
Pekrun et al. (2004), exp2;Pekrun;Goetz;Perry;Kramer;Hochstadt;Molfenter;;2004;84;168;0.27;252;State;4;2;4;3;11;0.015873016;252;0.27;0.27;84;168
Pekrun et al. (2004), exp3;Pekrun;Goetz;Perry;Kramer;Hochstadt;Molfenter;;2004;155;234;0.13;389;State;4;2;4;3;11;0.010282776;389;0.13;0.13;155;234
Pekrun et al. (2006), exp1;Pekrun;Elliot;Maier;;;;;2006;72;115;0.47;187;State;3;2;3;3;11;0.021390373;187;0.47;0.493378617;72;115
Pekrun et al. (2006), exp2;Pekrun;Elliot;Maier;;;;;2006;77;148;0.1;225;State;3;2;3;3;11;0.017777778;225;0.1;0.1;77;148
Pekrun et al. (2009);Pekrun;Elliot;Maier;;;;;2009;71;147;-0.04;218;State;3;2;3;2;11;0.018348624;218;-0.04;-0.04;71;147
P?lmann (2008), exp1;Pollmann;;;;;;;2008;45;113;0.35;158;State;3;6;4;3;11;0.025316454;158;0.35;0.35;45;113
P?lmann (2008), exp2;Pollmann;;;;;;;2008;62;60;0.13;122;State;3;6;4;3;11;0.032786885;122;0.13;0.13;62;60
Proyer et al. (2010);Proyer;Platt;Ruch;;;;;2010;99;285;0.04;384;State;2;1;4;2;11;0.010416667;384;0.04;0.04;99;285
Reiling (2001);Reiling;;;;;;;2001;155;174;0.06;329;State;3;6;1;1;11;0.012158055;329;0.06;0.06;155;174
Rowles (2008);Rowles;;;;;;;2008;71;130;0.02;201;State;3;6;4;2;11;0.019900498;201;0.02;0.02;71;130
Sawrikar & Hunt (2005);Sawrikar;Hunt;;;;;;2005;120;141;-0.26;261;State;3;6;2;3;11;0.01532567;261;-0.26;-0.26;120;141
Share-Pour (1999);Share-Pour;;;;;;;1999;70;60;0.51;130;State;3;6;1;3;11;0.030769223;131;0.51;0.517620811;70;60
Sorek & Ceobanu (2009), exp1;Sorek;Ceobanu;;;;;;2009;79;71;-0.03;150;State;3;6;4;1;11;0.026666667;150;-0.03;-0.03;79;71
Sorek & Ceobanu (2009), exp10;Sorek;Ceobanu;;;;;;2009;369;497;0;866;State;3;6;4;2;11;0.004618938;866;0;0;369;497
Sorek & Ceobanu (2009), exp11;Sorek;Ceobanu;;;;;;2009;401;348;-0.27;749;State;3;6;4;2;11;0.005340454;749;-0.27;-0.27;401;348
Sorek & Ceobanu (2009), exp12;Sorek;Ceobanu;;;;;;2009;426;456;-0.11;882;State;3;6;4;2;11;0.004535147;882;-0.11;-0.11;426;456
Sorek & Ceobanu (2009), exp13;Sorek;Ceobanu;;;;;;2009;436;653;0.14;1089;State;3;6;4;2;11;0.003673095;1089;0.14;0.14;436;653
Sorek & Ceobanu (2009), exp14;Sorek;Ceobanu;;;;;;2009;437;529;0.03;966;State;3;6;4;2;11;0.004140787;966;0.03;0.03;437;529
Sorek & Ceobanu (2009), exp15;Sorek;Ceobanu;;;;;;2009;444;583;0.09;1027;State;3;6;4;2;11;0.003894839;1027;0.09;0.09;444;583
Sorek & Ceobanu (2009), exp16;Sorek;Ceobanu;;;;;;2009;458;500;-0.15;958;State;3;6;4;2;11;0.004175365;958;-0.15;-0.15;458;500
Sorek & Ceobanu (2009), exp17;Sorek;Ceobanu;;;;;;2009;479;552;-0.11;1031;State;3;6;4;2;11;0.003879728;1031;-0.11;-0.11;479;552
Sorek & Ceobanu (2009), exp18;Sorek;Ceobanu;;;;;;2009;486;486;0.03;972;State;3;6;4;2;11;0.004115226;972;0.03;0.03;486;486
Sorek & Ceobanu (2009), exp19;Sorek;Ceobanu;;;;;;2009;527;670;0.21;1197;State;3;6;4;2;11;0.003341688;1197;0.21;0.21;527;670
Sorek & Ceobanu (2009), exp2;Sorek;Ceobanu;;;;;;2009;484;461;0.04;945;State;3;6;4;1;11;0.004232804;945;0.04;0.04;484;461
Sorek & Ceobanu (2009), exp20;Sorek;Ceobanu;;;;;;2009;528;656;-0.07;1184;State;3;6;4;2;11;0.003378378;1184;-0.07;-0.07;528;656
Sorek & Ceobanu (2009), exp21;Sorek;Ceobanu;;;;;;2009;534;513;0.01;1047;State;3;6;4;2;11;0.003820439;1047;0.01;0.01;534;513
Sorek & Ceobanu (2009), exp22;Sorek;Ceobanu;;;;;;2009;557;598;0;1155;State;3;6;4;2;11;0.003463203;1155;0;0;557;598
Sorek & Ceobanu (2009), exp23;Sorek;Ceobanu;;;;;;2009;577;651;0.07;1228;State;3;6;4;2;11;0.003257329;1228;0.07;0.07;577;651
Sorek & Ceobanu (2009), exp24;Sorek;Ceobanu;;;;;;2009;584;606;-0.07;1190;State;3;6;4;2;11;0.003361345;1190;-0.07;-0.07;584;606
Sorek & Ceobanu (2009), exp25;Sorek;Ceobanu;;;;;;2009;589;880;-0.12;1469;State;3;6;4;2;11;0.002722941;1469;-0.12;-0.12;589;880
Sorek & Ceobanu (2009), exp26;Sorek;Ceobanu;;;;;;2009;599;587;0.11;1186;State;3;6;4;2;11;0.003372681;1186;0.11;0.11;599;587
Sorek & Ceobanu (2009), exp27;Sorek;Ceobanu;;;;;;2009;632;513;0.2;1145;State;3;6;4;2;11;0.00349345;1145;0.2;0.2;632;513
Sorek & Ceobanu (2009), exp28;Sorek;Ceobanu;;;;;;2009;654;697;0.04;1351;State;3;6;4;2;11;0.00296077;1351;0.04;0.04;654;697
Sorek & Ceobanu (2009), exp29;Sorek;Ceobanu;;;;;;2009;762;665;-0.1;1427;State;3;6;4;2;11;0.002803083;1427;-0.1;-0.1;762;665
Sorek & Ceobanu (2009), exp3;Sorek;Ceobanu;;;;;;2009;512;520;0.04;1032;State;3;6;4;1;11;0.003875969;1032;0.04;0.04;512;520
Sorek & Ceobanu (2009), exp30;Sorek;Ceobanu;;;;;;2009;790;1386;-0.05;2176;State;3;6;4;2;11;0.001838235;2176;-0.05;-0.05;790;1386
Sorek & Ceobanu (2009), exp31;Sorek;Ceobanu;;;;;;2009;933;729;-0.13;1662;State;3;6;4;2;11;0.002406739;1662;-0.13;-0.13;933;729
Sorek & Ceobanu (2009), exp32;Sorek;Ceobanu;;;;;;2009;430;506;0.13;936;State;3;6;4;3;11;0.004273504;936;0.13;0.13;430;506
Sorek & Ceobanu (2009), exp33;Sorek;Ceobanu;;;;;;2009;954;1065;-0.04;2019;State;3;6;4;3;11;0.001981179;2019;-0.04;-0.04;954;1065
Sorek & Ceobanu (2009), exp4;Sorek;Ceobanu;;;;;;2009;567;874;-0.1;1441;State;3;6;4;1;11;0.00277585;1441;-0.1;-0.1;567;874
Sorek & Ceobanu (2009), exp5;Sorek;Ceobanu;;;;;;2009;588;583;0;1171;State;3;6;4;1;11;0.003415884;1171;0;0;588;583
Sorek & Ceobanu (2009), exp6;Sorek;Ceobanu;;;;;;2009;593;587;-0.2;1180;State;3;6;4;1;11;0.003389831;1180;-0.2;-0.2;593;587
Sorek & Ceobanu (2009), exp7;Sorek;Ceobanu;;;;;;2009;911;1339;0.05;2250;State;3;6;4;1;11;0.001777778;2250;0.05;0.05;911;1339
Sorek & Ceobanu (2009), exp8;Sorek;Ceobanu;;;;;;2009;193;204;0.04;397;State;3;6;4;2;11;0.010075567;397;0.04;0.04;193;204
Sorek & Ceobanu (2009), exp9;Sorek;Ceobanu;;;;;;2009;340;472;0.03;812;State;3;6;4;2;11;0.004926108;812;0.03;0.03;340;472
Stipek & Gralinski (1991), exp1;Stipek;Gralinski;;;;;;1991;100;94;0.43;194;State;3;8;1;2;11;0.020618556;194;0.43;0.43;100;94
Stipek & Gralinski (1991), exp2;Stipek;Gralinski;;;;;;1991;136;143;0.14;279;State;3;8;1;2;11;0.014336918;279;0.14;0.14;136;143
Stoeber et al. (2007);Stoeber;Harris;Moon;;;;;2007;46;75;0.18;121;State;3;1;3;3;11;0.03305785;121;0.18;0.18;46;75
Tangney (1990), exp1;Tangney;;;;;;;1990;35;65;0;100;State;2;1;3;2;11;0.04;100;0;0;35;65
Tangney (1990), exp2;Tangney;;;;;;;1990;44;35;-0.05;79;State;2;1;3;3;11;0.050632911;79;-0.05;-0.05;44;35
Tracy & Robins (2007b), exp1;Tracy;Robins;;;;;;2007;67;149;-0.15;216;State;4;1;3;2;11;0.018518518;216;-0.15;-0.15;67;149
Tracy & Robins (2007b), exp2;Tracy;Robins;;;;;;2007;127;235;0.15;362;State;4;1;3;2;11;0.011049724;362;0.15;0.15;127;235
Tracy et al. (2009);Tracy;Cheng;Robins;Trzesniewski;;;;2009;814;1513;0;2327;State;3;1;3;2;11;0.001718951;2327;0;0;814;1513
Tymon et al. (2010);Tymon;Stumpf;Doh;;;;;2010;3993;818;0.03;4811;State;3;10;4;1;11;0.000831428;4811;0.03;0.03;3993;818
