"study";"n1";"n2";"d";"n";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vd.o";"vd.c"
"Chow et al. (2006)";100;113;-0.31;213;0;"o";113;100;213;-0.31;-0.303999772;0;0;0.018779342349501;0.0187793423638198
"Denham (2010)";1114;1414;0.09;2528;0;"o";1414;1114;2528;0.09;0.094438208;0;0;0.00158227848101107;0.00158227848101091
"Goetz et al. (2010)";945;742;0.17;1687;0;"o";742;945;1687;0.17;0.17;0;2;0.00237107291046345;0.00237107291046345
"Guimo?n et al. (2007)";35;44;-0.25;79;0;"r";44;35;79;-0.25;-0.25;0;2;0.0506328985554645;0.0506328985554645
"Lam & Smith (2009)";91;46;-0.13;137;0;"r";46;91;137;-0.13;-0.126495792;0;0;0.0291970799081801;0.0291970799285918
"Lee (2005)";43;39;-0.26;82;0;"r";NA;NA;84;-0.26;-0.26;0;2;0.0487804758435014;0.0476190367568065
"O?onnor et al. (1994)";73;37;0.15;110;0;"r";37;73;110;0.15;0.148298291;0;0;0.0363636351342122;0.0363636351619489
"Pekrun et al. (2006), exp1";72;115;0.47;187;0;"o";115;72;187;0.47;0.493378617;0;0;0.0213903728863798;0.0213903727390334
"P?lmann (2008), exp1";45;113;0.35;158;0;"o";113;45;158;0.35;0.35;0;2;0.025316454123677;0.025316454123677
"Share-Pour (1999)";70;60;0.51;130;0;"o";61;70;131;0.51;0.517620811;0;3;0.0307692234837733;0.0305343438667682
"Sorek & Ceobanu (2009), exp16";458;500;-0.15;958;0;"o";NA;NA;958;-0.15;-0.15;0;3;0.00417536534425394;0.00417536534425394
"Sorek & Ceobanu (2009), exp23";577;651;0.07;1228;0;"r";NA;NA;1228;0.07;0.07;0;3;0.00325732899021077;0.00325732899021077
"Sorek & Ceobanu (2009), exp25";589;880;-0.12;1469;0;"o";NA;NA;1469;-0.12;-0.12;0;3;0.00272294077601338;0.00272294077601338
"Sorek & Ceobanu (2009), exp27";632;513;0.2;1145;0;"o";NA;NA;1145;0.2;0.2;0;3;0.00349344978147321;0.00349344978147321
"Sorek & Ceobanu (2009), exp4";567;874;-0.1;1441;0;"r";NA;NA;1441;-0.1;-0.1;0;3;0.00277585010407583;0.00277585010407583
"Sorek & Ceobanu (2009), exp6";593;587;-0.2;1180;0;"o";NA;NA;1180;-0.2;-0.2;0;3;0.00338983050830952;0.00338983050830952
"Stoeber et al. (2007)";46;75;0.18;121;0;"r";75;46;121;0.18;0.18;0;2;0.0330578500304823;0.0330578500304823
"Tracy & Robins (2007b), exp2";127;235;0.15;362;0;"r";235;127;362;0.15;0.15;0;2;0.0110497237464242;0.0110497237464242
"Williams & Desteno (2008), exp2";10;19;0.36;29;0;"r";19;10;29;0.36;0.36;0;2;0.137929568602887;0.137929568602887
"Wills et al. (2007)";312;351;-0.06;663;0;"r";351;312;663;-0.06;-0.06;0;2;0.00603318250362169;0.00603318250362169
