study;a1;a2;a3;a4;a5;a6;yop;n;r;z;zexp;nnew;znew;znewexp;vz;newvz
Bachelor (1991);Bachelor;;;;;NA;1991;47;0.49;0.536060337;0.536060337;47;0.53592605;0.53592605;0.022727273;
Bergin & Garfield (1971);Bergin;Garfield;;;;NA;1971;38;-0.15;-0.151140436;-0.151140436;38;-0.151140436;-0.151140436;0.028571429;
Chisholm (1998);Chisholm;;;;;NA;1998;173;-0.04;-0.040021354;-0.040021354;173;-0.040021354;-0.040021354;0.005882353;
Coady (1991);Coady ;;;;;NA;1991;9;0.71;0.887183863;0.887183863;9;0.887183863;0.887183863;0.166666667;
Conte, Ratto, Clutz, & Karasu (1995);Conte ;Ratto;Clutz;Karasu;;NA;1995;138;0.29;0.298566264;0.298566264;138;0.231894668;0.231894668;0.007407407;
Cramer & Takens (1992);Cramer;Takens;;;;NA;1992;37;0.37;0.3884231;0.3884231;37;0.433130033;0.433130033;0.029411765;
Eckert, Abeles, & Graham, Jr. (1988);Eckert;Abeles;Graham;;;NA;1988;77;0.35;0.365443754;0.365443754;77;0.367934476;0.367934476;0.013513514;
Green & Herget (1991);Green;Herget;;;;NA;1991;11;0.83;1.188136404;1.188136404;11;1.188136404;1.188136404;0.125;
Hayes & Strauss (1998);Hayes;Strauss;;;;NA;1998;32;0.31;0.320545409;0.320545409;30;0.298566264;0.298566264;0.034482759;
Henry, Schacht, & Strupp (1990);Henry;Schacht;Strupp;;;NA;1990;14;0;0;0;14;0;0;0.090909091;
Keijsers, Hoogduin, & Schaap (1994);Keijsers;Hoogduin;Schaap;;;NA;1994;40;0.12;0.120581028;0.120581028;40;0.120581028;0.120581028;0.027027027;
Litter (2004);Litter;;;;;NA;2004;8;0.53;0.59014516;0.59014516;8;0.59014516;0.59014516;0.2;
Najavits & Strupp (1994);Najavits & Strupp;Strupp;;;;NA;1994;12;0.75;0.972955075;0.972955075;12;1.16129255;1.16129255;0.111111111;
Quintana & Meara (1990);Quintana;Meara;;;;NA;1990;48;0.02;0.020002667;0.020002667;48;0.046724584;0.046724584;0.022222222;
Rabavilas, Boulougouris, & Perissaki (1979);Rabavilas;Boulougouris;Perissaki;;;NA;1979;36;0.09;0.090244188;0.090244188;36;0.089994921;0.089994921;0.03030303;
Sells, Davidson, Jewell, Falzer, & Rowe (2006);Sells;Davidson;Jewell;Falzer;Rowe;NA;2006;83;0.33;0.342828254;0.342828254;68;0.309519604;0.309519604;0.0125;
Williams & Chambless (1990);Williams;Chambless;;;;NA;1990;33;0.2;0.202732554;0.202732554;33;0.202732554;0.202732554;0.033333333;
Zuroff & Blatt (2006);Zuroff;Blatt;;;;NA;2006;191;0.2;0.202732554;0.202732554;31;0.204892448;0.204892448;0.005319149;
