"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"type";"design";"setting";"perpetrator";"dv";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Barryon & Yechiam";"Barron";"Yechiam";"";"";"";NA;NA;2002;35;74;109;-0.176;"field";"exp";"non emerg";"no";"helping rate";13;109;0.176;0.176202069;35;74;0.177245283018868;0.177448781752358;0.0366972459259574;0.0366972459259574;0.0361834051828558;0.0361834051828558
"Barryon & Yechiam";"Barron";"Yechiam";"";"";"";NA;NA;2002;35;81;116;-0.264;"field";"exp";"non emerg";"no";"helping rate";13;116;0.264;0.264;35;81;0.265752212389381;0.265752212389381;0.0344827555002789;0.0344827555002789;0.0340295369145223;0.0340295369145223
"Becker-Haven & Lindskold, exp 1";"Becker-Haven";"Lindskold";"";"";"";NA;NA;1978;30;30;60;0.298;"lab";"exp";"emerg";"no";"combined";13;60;-0.298;-0.298;30;30;-0.301921052631579;-0.301921052631579;0.0666666103973796;0.0666666103973796;0.0649462542849156;0.0649462542849156
"Becker-Haven & Lindskold, exp 2";"Becker-Haven";"Lindskold";"";"";"";NA;NA;1978;30;30;60;-1.198;"lab";"exp";"emerg";"no";"combined";13;60;1.198;1.198;30;30;1.21376315789474;1.21376315789474;0.0666657572833904;0.0666657572833904;0.0649454231858429;0.0649454231858429
"Bickman";"Bickman";"";"";"";"";NA;NA;1971;7;15;22;-0.945;"lab";"exp";"emerg";"no";"helping rate";13;22;0.945;0.945;7;15;0.982302631578947;0.982302631578947;0.181785235174835;0.181785235174835;0.168240909849359;0.168240909849359
"Bickman";"Bickman";"";"";"";"";NA;NA;1971;8;15;23;-0.311;"lab";"exp";"emerg";"no";"helping rate";13;23;0.311;0.311;8;15;0.3226625;0.3226625;0.173910067236546;0.173910067236546;0.161565456570459;0.161565456570459
"Blair et al.";"Blair";"Thompson";"Wuensch";"";"";NA;NA;2005;200;200;400;-0.601;"field";"exp";"non emerg";"no";"combined";13;400;0.601;0.670339012;200;200;0.602135390428212;0.67160539552393;0.0099999998866978;0.0099999998866978;0.00996232331150942;0.00996232331150942
"Borges & Penta";"Borges";"Penta";"";"";"";NA;NA;1977;36;36;72;0.309;"field";"qexp";"emerg";"no";"helping rate";13;72;-0.309;-0.309;36;36;-0.312358695652174;-0.312358695652174;0.0555555265108502;0.0555555265108502;0.0543672073520449;0.0543672073520449
"Campbell, exp 1";"Campbell";"";"";"";"";NA;NA;1974;12;12;24;-1.798;"field";"qexp";"non emerg";"no";"interv score";13;24;1.798;1.798;12;12;1.86221428571429;1.86221428571429;0.166583089721835;0.166583089721835;0.155292678171128;0.155292678171128
"Campbell, exp 2";"Campbell";"";"";"";"";NA;NA;1974;12;12;24;-0.673;"field";"qexp";"non emerg";"no";"interv score";13;24;0.673;0.6726477;12;12;0.697035714285714;0.696670832142857;0.166654952145125;0.166654952145125;0.155359670014005;0.155359670014005
"Campbell, exp 3";"Campbell";"";"";"";"";NA;NA;1974;12;12;24;-0.908;"field";"qexp";"non emerg";"no";"interv score";13;24;0.908;0.908;12;12;0.940428571428571;0.940428571428571;0.16664534402125;0.16664534402125;0.155350713094721;0.155350713094721
"Campbell, exp 4";"Campbell";"";"";"";"";NA;NA;1974;12;12;24;-0.671;"field";"qexp";"non emerg";"no";"interv score";13;24;0.671;0.671;12;12;0.694964285714286;0.694964285714286;0.166655021662497;0.166655021662497;0.155359734819736;0.155359734819736
"Chekroun & Brauer";"Chekroun";"Brauer";"";"";"";NA;NA;2002;18;22;40;0.842;"field";"qexp";"villain act";"yes";"interv rate";13;20;-0.842;-0.823056664;9;11;-0.859067567567568;-0.859367987411765;0.0999976938122936;0.199963106952458;0.0960637465578036;0.18342182236623
"Chekroun & Brauer";"Chekroun";"Brauer";"";"";"";NA;NA;2002;18;42;60;0.361;"field";"qexp";"villain act";"yes";"interv rate";13;60;-0.361;-0.361;18;42;-0.36575;-0.36575;0.0666665840908044;0.0666665840908044;0.0649462286571912;0.0649462286571912
"Chekroun & Brauer";"Chekroun";"Brauer";"";"";"";NA;NA;2002;33;34;67;0.746;"field";"qexp";"villain act";"yes";"interv rate";13;67;-0.746;-0.746;33;34;-0.7547421875;-0.7547421875;0.0597012663926292;0.0597012663926292;0.0583262353618364;0.0583262353618364
"Chekroun & Brauer";"Chekroun";"Brauer";"";"";"";NA;NA;2002;33;44;77;0.217;"field";"qexp";"villain act";"yes";"interv rate";13;77;-0.217;-0.217;33;44;-0.219199324324324;-0.219199324324324;0.0519480410133886;0.0519480410133886;0.0509108350178304;0.0509108350178304
"Chekroun & Brauer 2";"Chekroun";"Brauer";"";"";"";NA;NA;2002;20;21;41;1.036;"field";"qexp";"villain act";"yes";"interv rate";13;41;-1.036;-1.036;20;21;-1.05644736842105;-1.05644736842105;0.0975578159797757;0.0975578159797757;0.0938179305055875;0.0938179305055875
"Chekroun & Brauer 2";"Chekroun";"Brauer";"";"";"";NA;NA;2002;19;46;65;0.764;"field";"qexp";"villain act";"yes";"interv rate";13;65;-0.764;-0.764;19;46;-0.773241935483871;-0.773241935483871;0.0615381935812388;0.0615381935812388;0.0600759520963241;0.0600759520963241
"Clark & World (1972) (1) exp 1";"Clark";"World";"";"";"";NA;NA;1972;5;20;25;-0.246;"lab";"qexp";"emerg";"no";"latency";13;25;0.246;0.246;5;20;0.254386363636364;0.254386363636364;0.159998674700575;0.159998674700575;0.149623202135159;0.149623202135159
"Clark & World (1972) (1) exp 2";"Clark";"World";"";"";"";NA;NA;1972;5;20;25;0.621;"lab";"qexp";"emerg";"no";"latency";13;25;-0.621;-0.621;5;20;-0.642170454545455;-0.642170454545455;0.159991554844135;0.159991554844135;0.149616543981764;0.149616543981764
