"study";"n1";"n2";"g";"n";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Barryon & Yechiam";35;74;-0.176;109;0;"r";35;74;109;0.176;0.176202069;0;0;0.177245283018868;0.177448781752358;0.0366972459259574;0.0366972459259574;0.0361834051828558;0.0361834051828558
"Blair et al.";200;200;-0.601;400;0;"o";200;200;400;0.601;0.670339012;1;3;0.602135390428212;0.67160539552393;0.0099999998866978;0.0099999998866978;0.00996232331150942;0.00996232331150942
"Campbell, exp 2";12;12;-0.673;24;0;"r";12;12;24;0.673;0.6726477;0;0;0.697035714285714;0.696670832142857;0.166654952145125;0.166654952145125;0.155359670014005;0.155359670014005
"Chekroun & Brauer";18;22;0.842;40;0;"o";9;11;20;-0.842;-0.823056664;0;0;-0.859067567567568;-0.859367987411765;0.0999976938122936;0.199963106952458;0.0960637465578036;0.18342182236623
"Clark & World (1972)";10;20;0.111;30;0;"r";10;20;30;-0.111;-0.23701151;1;1;-0.114083333333333;-0.243595163055556;0.133333204790179;0.133333204790179;0.126223399129344;0.126223399129344
"Fischer et al.";24;17;-1.497;41;0;"o";24;17;41;1.497;1.497301382;0;0;1.52654605263158;1.52685338296053;0.0975543786320915;0.0975543786320915;0.0938146249288592;0.0938146249288592
"Gaertner";10;10;-2.019;20;0;"o";10;10;20;2.019;2.010044588;0;0;2.10807352941176;2.09872302570588;0.199778047887085;0.199778047887085;0.183252071698052;0.183252071698052
"Gertner & Dovidio";16;16;-1.735;32;0;"o";16;16;32;1.735;1.734523226;0;0;1.77987068965517;1.7793815852931;0.124975835210791;0.124975835210791;0.118753960779352;0.118753960779352
"Gottlieb & Schwarz";60;60;-0.377;120;1;"r";60;60;120;0.377;0.393924451;0;0;0.379416666666667;0.39644960773718;0.0333333277794374;0.0333333277794374;0.032910051719761;0.032910051719761
"Horowitz";10;10;-0.595;20;0;"r";10;10;20;0.595;0.435169096;2;1;0.62125;0.454367732588235;0.199980704283678;0.199980704283678;0.183437964016609;0.183437964016609
"Howard & Crano";18;18;0;36;0;"r";18;18;36;0;0;0;0;0;0;0.111111111111111;0.111111111111111;0.106227709190672;0.106227709190672
"Howard & Crano";18;18;-0.12;36;0;"r";18;18;36;0.12;0.120279459;0;0;0.122727272727273;0.123013083068182;0.111111039371029;0.111111039371029;0.106227640603611;0.106227640603611
"Kalafat et al.";81;79;-1.111;160;0;"o";81;79;160;1.111;1.111338445;0;0;1.11630732484076;1.11664738661624;0.0249999847883144;0.0249999847883144;0.02476283212257;0.02476283212257
"Karakashian et al.";41.5;41.5;-0.775;83;0;"o";41.5;41.5;83;0.775;-0.573967382;3;1;0.782265625;-0.57934832620625;0.0481926679305493;0.0481926679305493;0.0473016054604975;0.0473016054604975
"Latane & Darley";12;8;-0.839;20;0;"r";12;8;20;0.839;0.83860165;0;0;0.876014705882353;0.875598781617647;0.19996163727166;0.19996163727166;0.1834204742599;0.1834204742599
"Lewis et al.";49;134;0.89;183;0;"o";49;134;183;-0.89;-0.580654168;3;3;-0.893708333333333;-0.583073560366667;0.0218579177998623;0.0218579177998623;0.02167690062623;0.02167690062623
"Schwartz & Gottlieb";11;13;-1.407;24;0;"o";13;11;24;1.407;1.406924734;0;0;1.45725;1.45717204592857;0.166615477301915;0.166615477301915;0.155322870635792;0.155322870635792
"Valentine";27;27;-0.751;54;0;"r";27;27;54;0.751;0.751196092;0;0;0.762044117647059;0.762243093352941;0.074073527722782;0.074073527722782;0.0719420273451258;0.0719420273451258
"Valentine";28;28;0.671;56;0;"o";28;28;56;-0.671;-0.671116569;0;0;-0.680495283018868;-0.680613501580189;0.0714281947370659;0.0714281947370659;0.0694487568255855;0.0694487568255855
"Voelpel";28;68;-0.268;96;0;"r";29;68;97;0.268;0.267676536;0;0;0.270161290322581;0.269812253042553;0.0416666597920066;0.0412371068065391;0.0410026599015612;0.0405868603802624
