study;a1;a2;a3;a4;a5;a6;yop;n;r;design;task;time;z;zexp;nnew;znew;znewexp;vz;newvz
Ahlum-Heath & di Vesta (1986)a;Ahlum-Heath;di Vesta;;;;NA;1986;20;-0.35;between;visual;no;-0.365443754;-0.365443754;20;-0.365443754;-0.365443754;0.058823529;
Ahlum-Heath & di Vesta (1986)a;Ahlum-Heath;di Vesta;;;;NA;1986;20;0.53;between;visual;no;0.59014516;0.59014516;20;0.59014516;0.59014516;0.058823529;
Allwood (1990);Allwood;;;;;NA;1990;40;0.18;between;nonvisual;no;0.181982689;0.181982689;40;0.181982689;0.181982689;0.027027027;
Alvero & Austin (2006);Alvero ;Austin;;;;NA;2006;9;-0.2;between;visual;no;-0.202732554;-0.202732554;9;-0.202732554;-0.202732554;0.166666667;
Anderson (1985)a;Anderson;;;;;NA;1985;5;-0.78;within;nonvisual;no;-1.045370548;-1.045370548;5;-1.045370548;-1.045370548;0.5;
Anderson (1985)a;Anderson;;;;;NA;1985;5;0.21;within;nonvisual;no;0.213171347;0.213171347;5;0.213171347;0.213171347;0.5;
Anderson (1985)a;Anderson;;;;;NA;1985;5;0.33;within;nonvisual;no;0.342828254;0.342828254;5;0.342828254;0.342828254;0.5;
Bandura et al. (1966);Bandura;Grusec;Menlove;;;NA;1966;48;0.42;between;visual;no;0.447692024;0.447692024;48;0.447692024;0.447692024;0.022222222;
Bannert & Mengelkamp (2008);Bannert;Mengelkamp;;;;NA;2008;46;0.03;within;nonvisual;yes;0.030009005;0.030009005;46;0.030009005;0.030009005;0.023255814;
Berardi-Coletta et al. (1995);Berardi-Coletta;Buyer;Dominowski;Rellinger;;NA;1995;40;0.15;between;visual;no;0.151140436;0.151140436;40;0.151140436;0.151140436;0.027027027;
Berardi-Coletta et al. (1995);Berardi-Coletta;Buyer;Dominowski;Rellinger;;NA;1995;40;0.24;between;visual;no;0.244774113;0.244774113;40;0.244774113;0.244774113;0.027027027;
Berry & Broadbent (1990)a;Berry;Broadbent;;;;NA;1990;48;0.29;between;nonvisual;no;0.298566264;0.298566264;48;0.298566264;0.298566264;0.022222222;
Biggs et al. (1993);Biggs;Rosman;Sergenian;;;NA;1993;15;0.15;within;nonvisual;no;0.151140436;0.151140436;15;0.151140436;0.151140436;0.083333333;
Blackwood & Link (1968);Blackwood;Link;;;;NA;1968;6;-0.5;within;nonvisual;no;-0.549306144;-0.549306144;6;-0.549306144;-0.549306144;0.333333333;
Bower & King (1967)a;Bower;King;;;;NA;1967;36;0.46;between;visual;no;0.497311288;0.497311288;36;0.413371491;0.413371491;0.03030303;
Bowles & Leow (2005);Bowles;Leow;;;;NA;2005;35;0.27;between;nonvisual;no;0.276863823;0.276863823;35;0.276863823;0.276863823;0.03125;
