"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"task";"time";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"Ahlum-Heath & di Vesta (1986)a";"Ahlum-Heath";"di Vesta";"";"";"";NA;NA;1986;20;-0.35;"between";"visual";"no";14;20;-0.35;-0.35;0.0405266447368421;0.0405266447368421;-0.365443754271396;0.0588235294117647;-0.365443754271396;0.0588235294117647
"Ahlum-Heath & di Vesta (1986)a";"Ahlum-Heath";"di Vesta";"";"";"";NA;NA;1986;20;0.53;"between";"visual";"no";14;20;0.53;0.53;0.0272160426315789;0.0272160426315789;0.590145159841189;0.0588235294117647;0.590145159841189;0.0588235294117647
"Allwood (1990)";"Allwood";"";"";"";"";NA;NA;1990;40;0.18;"between";"nonvisual";"no";14;40;0.18;0.18;0.0240064041025641;0.0240064041025641;0.181982688600706;0.027027027027027;0.181982688600706;0.027027027027027
"Alvero & Austin (2006)";"Alvero ";"Austin";"";"";"";NA;NA;2006;9;-0.2;"between";"visual";"no";14;9;-0.2;-0.2;0.1152;0.1152;-0.202732554054082;0.166666666666667;-0.202732554054082;0.166666666666667
"Anderson (1985)a";"Anderson";"";"";"";"";NA;NA;1985;5;-0.78;"within";"nonvisual";"no";14;5;-0.78;-0.78;0.03833764;0.03833764;-1.04537054846688;0.5;-1.04537054846688;0.5
"Anderson (1985)a";"Anderson";"";"";"";"";NA;NA;1985;5;0.21;"within";"nonvisual";"no";14;5;0.21;0.21;0.2284362025;0.2284362025;0.21317134656486;0.5;0.21317134656486;0.5
"Anderson (1985)a";"Anderson";"";"";"";"";NA;NA;1985;5;0.33;"within";"nonvisual";"no";14;5;0.33;0.33;0.1985148025;0.1985148025;0.342828254415394;0.5;0.342828254415394;0.5
"Bandura et al. (1966)";"Bandura";"Grusec";"Menlove";"";"";NA;NA;1966;48;0.42;"between";"visual";"no";14;48;0.42;0.42;0.0144322757446808;0.0144322757446808;0.447692023527421;0.0222222222222222;0.447692023527421;0.0222222222222222
"Bannert & Mengelkamp (2008)";"Bannert";"Mengelkamp";"";"";"";NA;NA;2008;46;0.03;"within";"nonvisual";"yes";14;46;0.03;0.03;0.0221822402222222;0.0221822402222222;0.0300090048631265;0.0232558139534884;0.0300090048631265;0.0232558139534884
"Berardi-Coletta et al. (1995)";"Berardi-Coletta";"Buyer";"Dominowski";"Rellinger";"";NA;NA;1995;40;0.15;"between";"visual";"no";14;40;0.15;0.15;0.0245001602564103;0.0245001602564103;0.151140435936467;0.027027027027027;0.151140435936467;0.027027027027027
"Berardi-Coletta et al. (1995)";"Berardi-Coletta";"Buyer";"Dominowski";"Rellinger";"";NA;NA;1995;40;0.24;"between";"visual";"no";14;40;0.24;0.24;0.0227722502564103;0.0227722502564103;0.244774112659353;0.027027027027027;0.244774112659353;0.027027027027027
"Berry & Broadbent (1990)a";"Berry";"Broadbent";"";"";"";NA;NA;1990;48;0.29;"between";"nonvisual";"no";14;48;0.29;0.29;0.0178483576595745;0.0178483576595745;0.298566263660178;0.0222222222222222;0.298566263660178;0.0222222222222222
"Biggs et al. (1993)";"Biggs";"Rosman";"Sergenian";"";"";NA;NA;1993;15;0.15;"within";"nonvisual";"no";14;15;0.15;0.15;0.0682504464285714;0.0682504464285714;0.151140435936467;0.0833333333333333;0.151140435936467;0.0833333333333333
"Blackwood & Link (1968)";"Blackwood";"Link";"";"";"";NA;NA;1968;6;-0.5;"within";"nonvisual";"no";14;6;-0.5;-0.5;0.1125;0.1125;-0.549306144334055;0.333333333333333;-0.549306144334055;0.333333333333333
"Bower & King (1967)a";"Bower";"King";"";"";"";NA;NA;1967;36;0.46;"between";"visual";"no";14;36;0.46;0.391331621;0.0177592731428571;0.020490603383933;0.497311287572031;0.0303030303030303;0.413371491259238;0.0303030303030303
"Bowles & Leow (2005)";"Bowles";"Leow";"";"";"";NA;NA;2005;35;0.27;"between";"nonvisual";"no";14;35;0.27;0.27;0.0252798355882353;0.0252798355882353;0.2768638226551;0.03125;0.2768638226551;0.03125
"Bowles (2008)";"Bowles";"";"";"";"";NA;NA;2008;68;-0.18;"between";"nonvisual";"no";14;68;-0.18;-0.18;0.0139738770149254;0.0139738770149254;-0.181982688600706;0.0153846153846154;-0.181982688600706;0.0153846153846154
"Bowles (2008)";"Bowles";"";"";"";"";NA;NA;2008;63;-0.16;"between";"nonvisual";"no";14;63;-0.16;-0.16;0.0153137961290323;0.0153137961290323;-0.161386696131526;0.0166666666666667;-0.161386696131526;0.0166666666666667
"Brinkman (1993)";"Brinkman";"";"";"";"";NA;NA;1993;18;0.01;"within";"visual";"no";14;18;0.01;0.01;0.0588117652941176;0.0588117652941176;0.0100003333533347;0.0666666666666667;0.0100003333533347;0.0666666666666667
"Cerda?n & Vidal-Abarca (2008)";"Cerdan";"Vidal-Abarca";"";"";"";NA;NA;2008;25;-0.05;"between";"nonvisual";"no";14;25;-0.05;-0.05;0.04145859375;0.04145859375;-0.0500417292784913;0.0454545454545455;-0.0500417292784913;0.0454545454545455
"Cerda?n & Vidal-Abarca (2008)";"Cerdan";"Vidal-Abarca";"";"";"";NA;NA;2008;25;0.21;"between";"nonvisual";"no";14;25;0.21;0.21;0.0380727004166667;0.0380727004166667;0.21317134656486;0.0454545454545455;0.21317134656486;0.0454545454545455
"Chrysikou & Weisberg (2005)";"Chrysikou";"Weisberg";"";"";"";NA;NA;2005;50;0.17;"between";"visual";"yes";14;50;0.17;0.17;0.0192456165306122;0.0192456165306122;0.171666663500579;0.0212765957446809;0.171666663500579;0.0212765957446809
