study;n;r;pub;type;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Ackerman et al. (2002), exp 2;228;0.47;0;Outlier;0.510070337;0.510070337;228;0.50750636;0.50750636;-0.002563977;0;0;0;0.004444444;
Ackerman et al. (2002), exp 7;228;-0.09;0;Outlier;-0.090244188;-0.090244188;228;-0.091252446;-0.091252446;-0.001008258;0;0;0;0.004444444;
Bailey & Bailey (1974), exp 1;37;0.4;0;Random;0.42364893;0.42364893;37;0.42364893;0.42364893;0.00E+00;0;0;0;0.029411765;
Bailey & Bailey (1974), exp 3;40;0.29;0;Random;0.298566264;0.298566264;40;0.298566264;0.298566264;0.00E+00;0;0;0;0.027027027;
Chamorro-Premuzic & Furnham (2006), exp 2;184;0.41;0;Random;0.435611223;0.435611223;184;0.440429028;0.440429028;0.004817805;0;0;0;0.005524862;
Chamorro-Premuzic et al. (2004), exp 3;83;0.4;0;Random;0.42364893;0.42364893;83;0.42364893;0.42364893;0;0;0;0;0.0125;
DeNisi & Shaw (1977), exp 2;114;0.36;0;Random;0.376885901;0.376885901;114;0.376885901;0.376885901;0.00E+00;0;0;0;0.009009009;
DeNisi & Shaw (1977), exp 6;114;0.35;0;Random;0.365443754;0.365443754;114;0.365443754;0.365443754;0.00E+00;0;0;0;0.009009009;
DeNisi & Shaw (1977), exp 7;114;0.21;0;Random;0.213171347;0.213171347;114;0.213171347;0.213171347;-2.50E-16;0;0;0;0.009009009;
Furnham & Dissou (2007), exp 1;101;0.53;0;Outlier;0.59014516;0.59014516;101;0.59014516;0.59014516;0.00E+00;0;0;0;0.010204082;
Furnham & Dissou (2007), exp 2;101;0.51;0;Outlier;0.562729769;0.562729769;101;0.562729769;0.562729769;0.00E+00;0;0;0;0.010204082;
Furnham (2009), exp 1;187;0.44;0;Outlier;0.472230804;0.472230804;187;0.472230804;0.472230804;0.00E+00;0;0;0;0.005434783;
Furnham (2009), exp 6;187;0.35;0;Random;0.365443754;0.365443754;187;0.365443754;0.365443754;0.00E+00;0;0;0;0.005434783;
Proyer & Ruch (2009), exp 3;167;0.16;0;Outlier;0.161386696;0.161386696;167;0.161386696;0.161386696;-3.04E-07;0;0;0;0.006097561;
Rammstedt & Rammsayer (2002b), exp 6;228;-0.04;0;Outlier;-0.040021354;-0.040021354;228;-0.040021354;-0.040021354;0.00E+00;0;0;0;0.004444444;
Steinmayr & Spinath (2009), exp 7;203;0.3;0;Random;0.309519604;0.309519604;203;0.309519604;0.309519604;0.00E+00;0;0;0;0.005;
Visser et al. (2008), exp 2;200;0.05;0;Outlier;0.050041729;0.050041729;200;0.050041729;0.050041729;0.00E+00;0;0;0;0.005076142;
Westbrook et al. (1994), exp 1;111;0.66;0;Outlier;0.792813632;0.792813632;111;0.792813632;0.792813632;0.00E+00;0;0;0;0.009259259;
Westbrook et al. (1994), exp 2;111;0.59;0;Outlier;0.677666068;0.677666068;111;0.677666068;0.677666068;0.00E+00;0;0;0;0.009259259;
Westbrook et al. (1994), exp 13;99;0.35;0;Random;0.365443754;0.365443754;99;0.365443754;0.365443754;-2.46E-07;0;0;0;0.010416667;
