study;a1;a2;a3;a4;a5;a6;yop;n;r;students;gender;selfassess;ability;test;z;zexp;nnew;znew;znewexp;vz;newvz
Ackerman & Wolman (2007), exp 1;Ackerman;Wolman;;;NA;NA;2007;142;0.25;Yes;Mixed;Mixed scale;Verbal;Test battery;0.255412812;0.255412812;142;0.255412812;0.255412812;0.007194245;0.007194245
Ackerman & Wolman (2007), exp 2;Ackerman;Wolman;;;NA;NA;2007;142;0.48;Yes;Mixed;Mixed scale;Numerical;Test battery;0.522984278;0.522984278;142;0.522984278;0.522984278;0.007194245;0.007194245
Ackerman & Wolman (2007), exp 3;Ackerman;Wolman;;;NA;NA;2007;142;0.34;Yes;Mixed;Mixed scale;Spatial;Test battery;0.354092529;0.354092529;142;0.354092529;0.354092529;0.007194245;0.007194245
Ackerman & Wolman (2007), exp 4;Ackerman;Wolman;;;NA;NA;2007;142;0.27;Yes;Mixed;Mixed scale;General;Test battery;0.276863823;0.276863823;142;0.276863823;0.276863823;0.007194245;0.007194245
Ackerman & Wolman (2007), exp 5;Ackerman;Wolman;;;NA;NA;2007;142;0.25;Yes;Mixed;Mixed scale;Verbal;Test battery;0.255412812;0.255412812;142;0.255412812;0.255412812;0.007194245;0.007194245
Ackerman & Wolman (2007), exp 6;Ackerman;Wolman;;;NA;NA;2007;142;0.49;Yes;Mixed;Mixed scale;Numerical;Test battery;0.536060337;0.536060337;142;0.536060337;0.536060337;0.007194245;0.007194245
Ackerman & Wolman (2007), exp 7;Ackerman;Wolman;;;NA;NA;2007;142;0.39;Yes;Mixed;Mixed scale;Spatial;Test battery;0.411800034;0.411800034;142;0.411800034;0.411800034;0.007194245;0.007194245
Ackerman & Wolman (2007), exp 8;Ackerman;Wolman;;;NA;NA;2007;142;0.29;Yes;Mixed;Mixed scale;General;Test battery;0.298566264;0.298566264;142;0.298566264;0.298566264;0.007194245;0.007194245
Ackerman et al. (1995), exp 1;Ackerman;Kanfer;Goff;;NA;NA;1995;93;0.29;Yes;Mixed;Mixed scale;Spatial;Test battery;0.298566264;0.298566264;93;0.298566264;0.298566264;0.011111111;0.011111111
Ackerman et al. (1995), exp 2;Ackerman;Kanfer;Goff;;NA;NA;1995;93;0.42;Yes;Mixed;Mixed scale;Verbal;Test battery;0.447692024;0.447692024;93;0.447692024;0.447692024;0.011111111;0.011111111
Ackerman et al. (1995), exp 3;Ackerman;Kanfer;Goff;;NA;NA;1995;93;0.58;Yes;Mixed;Mixed scale;Numerical;Test battery;0.662462707;0.662462707;93;0.662462707;0.662462707;0.011111111;0.011111111
Ackerman et al. (2001), exp 1;Ackerman;Bowen;Beier;Kanfer;NA;NA;2001;320;0.51;Yes;Mixed;Mixed scale;Verbal;Test battery;0.562729769;0.562729769;320;0.562729769;0.562729769;0.003154574;0.003154574
Ackerman et al. (2001), exp 2;Ackerman;Bowen;Beier;Kanfer;NA;NA;2001;320;0.4;Yes;Mixed;Mixed scale;Numerical;Test battery;0.42364893;0.42364893;320;0.42364893;0.42364893;0.003154574;0.003154574
Ackerman et al. (2001), exp 3;Ackerman;Bowen;Beier;Kanfer;NA;NA;2001;320;0.16;Yes;Mixed;Mixed scale;Other;Test battery;0.161386696;0.161386696;320;0.161386696;0.161386696;0.003154574;0.003154574
Ackerman et al. (2002), exp 1;Ackerman;Beier;Bowen;;NA;NA;2002;228;-0.05;No;Mixed;Absolute;Verbal;Test battery;-0.050041729;-0.050041729;228;-0.050041729;-0.050041729;0.004444444;0.004444444
Ackerman et al. (2002), exp 2;Ackerman;Beier;Bowen;;NA;NA;2002;228;0.47;No;Mixed;Absolute;Numerical;Test battery;0.510070337;0.510070337;228;0.50750636;0.50750636;0.004444444;0.004444444
Ackerman et al. (2002), exp 3;Ackerman;Beier;Bowen;;NA;NA;2002;228;0.05;No;Mixed;Absolute;Other;Test battery;0.050041729;0.050041729;228;0.050041729;0.050041729;0.004444444;0.004444444
Ackerman et al. (2002), exp 4;Ackerman;Beier;Bowen;;NA;NA;2002;228;-0.09;No;Mixed;Absolute;Other;Test battery;-0.090244188;-0.090244188;228;-0.090244188;-0.090244188;0.004444444;0.004444444
Ackerman et al. (2002), exp 5;Ackerman;Beier;Bowen;;NA;NA;2002;228;0.36;No;Mixed;Absolute;Verbal;Test battery;0.376885901;0.376885901;228;0.376885901;0.376885901;0.004444444;0.004444444
Ackerman et al. (2002), exp 6;Ackerman;Beier;Bowen;;NA;NA;2002;228;0.18;No;Mixed;Absolute;Numerical;Test battery;0.181982689;0.181982689;228;0.181982689;0.181982689;0.004444444;0.004444444
Ackerman et al. (2002), exp 7;Ackerman;Beier;Bowen;;NA;NA;2002;228;-0.09;No;Mixed;Absolute;Other;Test battery;-0.090244188;-0.090244188;228;-0.091252446;-0.091252446;0.004444444;0.004444444
