study;n1;n2;d;n;pub;type;r;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Brand et al. (2006);20;43;0.5;63;0;Outlier;0.226685318;0.230692445;0.230692445;63;0.231172296;0.231172296;0.000479851;0;0;0;0.016666667;
Edens et al. (2007), exp 1;15;13;0.11;28;0;Outlier;0.054777149;0.054832034;0.054832034;28;0.054832034;0.054832034;0;0;2;0;0.04;
Edens et al. (2007), exp 2;15;13;1.46;28;0;Random;0.58862772;0.675563629;0.675563629;28;0.675563629;0.675563629;0;0;2;0;0.04;
Edens et al. (2007), exp 3;15;14.5;1.33;29.5;0;Random;0.553683873;0.623678289;0.623678289;29.5;0.623678289;0.623678289;0;0;2;0;0.037735849;
Edens et al. (2007), exp 4;15;14.5;2.75;29.5;0;Random;0.808695889;1.123248498;1.123248498;29.5;1.123248498;1.123248498;0;0;2;0;0.037735849;
Gothard et al. (1995), exp 1;24;3.5;2.87;27.5;0;Random;0.69121766;0.850283715;0.850283715;27.5;0.853354108;0.853354108;0.003070393;0;0;0;0.040816327;
Gothard et al. (1995), exp 2;15;3.5;6.93;18.5;0;Outlier;0.938339398;1.723970856;1.723970856;18.5;1.724479921;1.724479921;0.000509065;0;0;0;0.064516129;
Gothard et al. (1995), exp 3;24;15;2.96;39;0;Outlier;0.821379726;1.161043703;1.161043703;39;1.163423425;1.163423425;0.002379722;0;0;0;0.027777778;
Gothard et al. (1995), exp 4;15;15;3.76;30;0;Outlier;0.882872389;1.388644863;1.388644863;30;1.38775143;1.38775143;-0.000893433;0;0;0;0.037037037;
Heinze & Purisch (2001);57;57;5.16;114;0;Outlier;0.932411022;1.676539407;1.676539407;114;1.676539407;1.676539407;0;0;2;0;0.009009009;
Rogers et al. (2009), exp 1;138;49;2.42;187;0;Outlier;0.728737209;0.926029213;0.926029213;187;0.906479174;0.906479174;-0.019550039;1;1;0;0.005434783;
Rogers et al. (2009), exp 2;138;79;1.31;217;0;Outlier;0.533234567;0.594654016;0.594654016;217;0.567089313;0.567089313;-0.027564703;1;1;0;0.004672897;
Vagnini et al. (2006);37;53;0.89;90;0;Outlier;0.40113515;0.425001031;0.425001031;90;0.423371121;0.423371121;-0.00162991;0;0;0;0.011494253;
