study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;n;d;id;vd;nnew;effest.exp;effestnew.exp;ncnew;ntnew
Brand et al. (2006);Brand;McNary;Loewenstein;Kolos;Barr;;;2006;20;43;63;0.5;16;0.063491937;63;0.5;0.53919726;20;43
Dearth (2006), exp 1;Dearth;;;;;;;2006;31;18.5;49.5;0.77;16;0.080807291;49.5;0.77;0.77;31;18.5
Dearth (2006), exp 2;Dearth;;;;;;;2006;18;18.5;36.5;1.12;16;0.109583387;36.5;1.12;1.12;18;18.5
Edens et al. (2007), exp 1;Edens;Poythress;Watkins-Clay;;;;;2007;15;13;28;0.11;16;0.142856985;28;0.11;0.11;15;13
Edens et al. (2007), exp 2;Edens;Poythress;Watkins-Clay;;;;;2007;15;13;28;1.46;16;0.142829405;28;1.46;1.46;15;13
Edens et al. (2007), exp 3;Edens;Poythress;Watkins-Clay;;;;;2007;15;14.5;29.5;1.33;16;0.135574537;29.5;1.33;1.33;15;14.5
Edens et al. (2007), exp 4;Edens;Poythress;Watkins-Clay;;;;;2007;15;14.5;29.5;2.75;16;0.135513382;29.5;2.75;2.75;15;14.5
Farkas (2008);Farkas;;;;;;;2008;43;43;86;1.75;16;0.04651118;86;1.75;1.75;43;43
Gothard et al. (1995), exp 1;Gothard;Viglione;Meloy;Sherman;;;;1995;24;3.5;27.5;2.87;16;0.145339418;27.5;2.87;2.933404883;24;3.5
Gothard et al. (1995), exp 2;Gothard;Viglione;Meloy;Sherman;;;;1995;15;3.5;18.5;6.93;16;0.212985262;18.5;6.93;6.933760541;15;3.5
Gothard et al. (1995), exp 3;Gothard;Viglione;Meloy;Sherman;;;;1995;24;15;39;2.96;16;0.102533813;39;2.96;2.969115214;24;15
Gothard et al. (1995), exp 4;Gothard;Viglione;Meloy;Sherman;;;;1995;15;15;30;3.76;16;0.133193849;30;3.76;3.756196528;15;15
Heinze & Purisch (2001);Heinze;Purisch;;;;;;2001;57;57;114;5.16;16;0.035086458;114;5.16;5.16;57;57
Rogers et al. (2009), exp 1;Rogers;Payne;Berry;Granacher;;;;2009;138;49;187;2.42;16;0.021390336;187;2.42;2.355536322;138;49
Rogers et al. (2009), exp 2;Rogers;Payne;Berry;Granacher;;;;2009;138;79;217;1.31;16;0.018433174;217;1.31;1.242770792;138;79
Vagnini et al. (2006);Vagnini;Sollman;Berry;Granacher;Clark;Burton;Saier;2006;37;53;90;0.89;16;0.044444348;90;0.89;0.886384892;37;53
