"study";"n1";"n2";"d";"n";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vd.o";"vd.c"
"Brand et al. (2006)";20;43;0.5;63;0;"o";20;43;63;0.5;0.53919726;0;0;0.0634919365320589;0.0634919158459116
"Edens et al. (2007), exp 1";15;13;0.11;28;0;"o";15;13;28;0.11;0.11;0;2;0.142856985370852;0.142856985370852
"Edens et al. (2007), exp 2";15;13;1.46;28;0;"r";15;13;28;1.46;1.46;0;2;0.142829404595587;0.142829404595587
"Edens et al. (2007), exp 3";15;14.5;1.33;29.5;0;"r";15;14.5;29.5;1.33;1.33;0;2;0.135574537392883;0.135574537392883
"Edens et al. (2007), exp 4";15;14.5;2.75;29.5;0;"r";15;14.5;29.5;2.75;2.75;0;2;0.135513381995134;0.135513381995134
"Gothard et al. (1995), exp 1";24;3.5;2.87;27.5;0;"o";24;3.5;27.5;2.87;2.933404883;1;1;0.14533941794124;0.145334279141772
"Gothard et al. (1995), exp 2";15;3.5;6.93;18.5;0;"o";15;3.5;18.5;6.93;6.933760541;0;0;0.212985261793269;0.212981806777905
"Gothard et al. (1995), exp 3";24;15;2.96;39;0;"o";24;15;39;2.96;2.969115214;0;0;0.102533813440556;0.102533626660295
"Gothard et al. (1995), exp 4";15;15;3.76;30;0;"o";15;15;30;3.76;3.756196528;0;0;0.133193848788398;0.133194130545649
"Heinze & Purisch (2001)";57;57;5.16;114;0;"o";57;57;114;5.16;5.16;0;2;0.0350864581841632;0.0350864581841632
"Rogers et al. (2009), exp 1";138;49;2.42;187;0;"o";138;49;187;2.42;2.355536322;1;1;0.0213903360179019;0.021390338031901
"Rogers et al. (2009), exp 2";138;79;1.31;217;0;"o";138;79;217;1.31;1.242770792;1;1;0.0184331735320362;0.0184331741512215
"Vagnini et al. (2006)";37;53;0.89;90;0;"o";37;53;90;0.89;0.886384892;0;0;0.0444443478618163;0.0444443486448428
