study;n;g;pub;type;d;r;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Amir et al. (2010);57;-0.08;0;Random;-0.081111111;-0.040522245;-0.040544446;-0.040544446;57;-0.03863748;-0.03863748;0.001906966;0;3;0;0.018518519;
Browning, Holmes, Murphy, et al. (2010) ;53;-0.19;0;Random;-0.19285;-0.095979833;-0.096276199;-0.096276199;53;-0.096276199;-0.096276199;0;0;2;0;0.02;
Dandeneau et al. (2007, Study 2b) ;147;0.01;0;Random;0.010052083;0.005025978;0.005026021;0.005026021;147;0.005026021;0.005026021;0;0;2;0;0.006944444;
Hazen et al. (2009) ;23;0.58;0;Random;0.60175;0.288116505;0.296511045;0.296511045;23;0.298008226;0.298008226;0.001497181;0;0;0;0.05;
Koster et al. (2010) ;48;-0.01;0;Random;-0.010166667;-0.005083268;-0.005083311;-0.005083311;48;0.024084528;0.024084528;0.029167839;1;1;0;0.022222222;
Krebs et al. (2010) ;64;-0.31;0;Random;-0.313811475;-0.155009222;-0.156268946;-0.156268946;64;-0.156268946;-0.156268946;0;0;2;0;0.016393443;
Lang et al. (2009);48;0.43;0;Random;0.437166667;0.213541489;0.216879123;0.216879123;48;0.39094385;0.39094385;0.174064727;3;3;0;0.022222222;
Mackintosh et al. (2006, Study 2) ;40;0.76;0;Random;0.775405405;0.361485384;0.378593505;0.378593505;40;0.377279017;0.377279017;-0.001314488;0;0;0;0.027027027;
Murphy et al. (2007) ;44;0.64;0;Random;0.651707317;0.309820094;0.320346388;0.320346388;44;0.314872799;0.314872799;-0.005473589;0;3;0;0.024390244;
Schmidt et al. (2009)a;36;2.1;0;Outlier;2.147727273;0.731827381;0.932650772;0.932650772;36;0.249046209;0.249046209;-0.683604563;3;1;0;0.03030303;
Yiend et al. (2005, Study 2) ;24;0.15;0;Random;0.155357143;0.077445272;0.077600665;0.077600665;24;0.079733696;0.079733696;0.002133031;0;0;0;0.047619048;
