study;a1;a2;a3;a4;a5;a6;a7;yop;n;g;bias;controlgroup;d;r;z;zexp;nnew;znew;znewexp;vz;newvz
Amir et al. (2008);Amir;Weber;Beard;Bomyea;Taylor;;;2008;94;0.15;A;Negative;0.151236264;0.075402859;0.075546251;0.075546251;94;0.075546251;0.075546251;0.010989011;
Amir et al. (2010);Amir;Bomyea;Beard;;;;;2010;57;-0.08;I;No contingency;-0.081111111;-0.040522245;-0.040544446;-0.040544446;57;-0.03863748;-0.03863748;0.018518519;
Amir, Beard, et al. (2009);Amir;Beard;Burns;Bomyea;;;;2009;29;0.56;A;No contingency;0.576153846;0.276819439;0.284234261;0.284234261;29;0.284234261;0.284234261;0.038461538;
Amir, Beard, Taylor, et al. (2009);Amir;Beard;Taylor;Klumpp;Elias;Burns;Chen;2009;44;0.38;A;No contingency;0.38695122;0.189953034;0.192288445;0.192288445;44;0.192288445;0.192288445;0.024390244;
Baert et al. Study 2) (2010);Baert;De Raedt;Schact;Koster;;;;2010;35;0.27;A;No contingency;0.276328125;0.136863919;0.13772822;0.13772822;35;0.13772822;0.13772822;0.03125;
Baert et al.Study 1) (2010);Baert;De Raedt;Schact;Koster;;;;2010;48;-0.15;A;No contingency;-0.1525;-0.076029301;-0.076176306;-0.076176306;48;-0.076176306;-0.076176306;0.022222222;
Beard & Amir (2008);Beard;Amir;;;;;;2008;27;0.51;I;No contingency;0.5259375;0.254322217;0.26002853;0.26002853;27;0.26002853;0.26002853;0.041666667;
Browning, Holmes, Murphy, et al. (2010) ;Browning;Holmes;Murphy;Goodwin;Harmer;;;2010;53;-0.19;A;Negative;-0.19285;-0.095979833;-0.096276199;-0.096276199;53;-0.096276199;-0.096276199;0.02;
Dandeneau et al. (2007, Study 2b) ;Dandeneau;Baldwin;Pruessner;Baccus;Sakellaropoulo;;;2007;147;0.01;A;Other;0.010052083;0.005025978;0.005026021;0.005026021;147;0.005026021;0.005026021;0.006944444;
Dandeneau et al. (2007, Study 3b) ;Dandeneau;Baldwin;Pruessner;Baccus;Sakellaropoulo;;;2007;23;0.52;A;Other;0.5395;0.260440873;0.266581302;0.266581302;23;0.266581302;0.266581302;0.05;
Eldar & Bar-Haim (2010) ;Eldar;Bar-Haim;;;;;;2010;60;0.37;A;No contingency;0.374868421;0.184226067;0.18635373;0.18635373;60;0.18635373;0.18635373;0.01754386;
Hayes et al. (2010) ;Hayes;Hirsch;Mathews;;;;;2010;40;0.11;A;No contingency;0.11222973;0.056026724;0.056085457;0.056085457;40;0.056085457;0.056085457;0.027027027;
Hazen et al. (2009) ;Hazen;Vasey;Schmidt;;;;;2009;23;0.58;A;No contingency;0.60175;0.288116505;0.296511045;0.296511045;23;0.298008226;0.298008226;0.05;
Hirsch et al. (2007) ;Hirsch;Mathews;Clark;;;;;2007;24;0.53;I;Negative;0.548928571;0.264676163;0.271130187;0.271130187;24;0.271130187;0.271130187;0.047619048;
Hirsch et al. (2009) ;Hirsch;Hayes;Mathews;;;;;2009;40;0.35;I;No contingency;0.357094595;0.175767617;0.177611998;0.177611998;40;0.177611998;0.177611998;0.027027027;
Holmes & Mathews (2005, Study 2) ;Holmes;Mathews;;;;;;2005;43;0.1;I;Negative;0.101875;0.050871546;0.050915498;0.050915498;43;0.050915498;0.050915498;0.025;
Hoppitt et al. (2010);Hoppitt;Mathews;Yiend;Mackintosh;;;;2010;95;-0.07;I;Negative;-0.070570652;-0.035263381;-0.035278008;-0.035278008;95;-0.035278008;-0.035278008;0.010869565;
Johnson (2009) ;Johnson;;;;;;;2009;109;-0.17;A;No contingency;-0.17120283;-0.085289502;-0.085497216;-0.085497216;109;-0.085497216;-0.085497216;0.009433962;
Koster et al. (2010) ;Koster;Baert;Bockstaele;De Raedt;;;;2010;48;-0.01;A;No contingency;-0.010166667;-0.005083268;-0.005083311;-0.005083311;48;0.024084528;0.024084528;0.022222222;
Krebs et al. (2010) ;Krebs;Hirsch;Mathews;;;;;2010;64;-0.31;A;Negative;-0.313811475;-0.155009222;-0.156268946;-0.156268946;64;-0.156268946;-0.156268946;0.016393443;
Lang et al. (2009);Lang;Moulds;Holmes;;;;;2009;48;0.43;App;Neutral;0.437166667;0.213541489;0.216879123;0.216879123;48;0.39094385;0.39094385;0.022222222;
Lange et al. (2010, Study 1);Lange;Salemink;Windey;Keijsers;Krans;Becker;Rinck;2010;68;0.05;I;Negative;0.050576923;0.025280379;0.025285767;0.025285767;68;0.025285767;0.025285767;0.015384615;
Lange et al. (2010, Study 2);Lange;Salemink;Windey;Keijsers;Krans;Becker;Rinck;2010;39;0.07;I;Negative;0.071458333;0.035706383;0.035721569;0.035721569;39;0.035721569;0.035721569;0.027777778;
Li et al. (2008) ;Li;Tan;Qian;Liu;;;;2008;22;0.24;A;No contingency;0.249473684;0.123777614;0.124415617;0.124415617;22;0.124415617;0.124415617;0.052631579;
Mackintosh et al. (2006, Study 2) ;Mackintosh;Mathews;Yiend;Ridgeway;Cook;;;2006;40;0.76;I ;Negative;0.775405405;0.361485384;0.378593505;0.378593505;40;0.377279017;0.377279017;0.027027027;
MacLeod et al. (2002, Study 1) ;MacLeod;Rutherford;Campbell;Ebsworthy;Holker;;;2002;64;-0.02;A;Negative;-0.020245902;-0.010122432;-0.010122778;-0.010122778;64;-0.010122778;-0.010122778;0.016393443;
