"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"bias";"controlgroup";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Amir et al. (2008)";"Amir";"Weber";"Beard";"Bomyea";"Taylor";"";"";2008;94;0.15;"A";"Negative";17;94;0.15;0.15;0.151236263736264;0.151236263736264;0.0425531891457243;0.0425531891457243;0.0418603401098225;0.0418603401098225
"Amir et al. (2010)";"Amir";"Bomyea";"Beard";"";"";"";"";2010;57;-0.08;"I";"No contingency";17;57;-0.08;-0.076270736;-0.0811111111111111;-0.0773300517777778;0.0701754336105032;0.0701754340645201;0.0682659875843213;0.0682659880259846
"Amir, Beard, et al. (2009)";"Amir";"Beard";"Burns";"Bomyea";"";"";"";2009;29;0.56;"A";"No contingency";17;29;0.56;0.56;0.576153846153846;0.576153846153846;0.137927279887701;0.137927279887701;0.130301463819143;0.130301463819143
"Amir, Beard, Taylor, et al. (2009)";"Amir";"Beard";"Taylor";"Klumpp";"Elias";"Burns";"Chen";2009;44;0.38;"A";"No contingency";17;44;0.38;0.38;0.386951219512195;0.386951219512195;0.0909087713212897;0.0909087713212897;0.0876719248971784;0.0876719248971784
"Baert et al. Study 2) (2010)";"Baert";"De Raedt";"Schact";"Koster";"";"";"";2010;35;0.27;"A";"No contingency";17;35;0.27;0.27;0.276328125;0.276328125;0.114285307218202;0.114285307218202;0.109110802019872;0.109110802019872
"Baert et al.Study 1) (2010)";"Baert";"De Raedt";"Schact";"Koster";"";"";"";2010;48;-0.15;"A";"No contingency";17;48;-0.15;-0.15;-0.1525;-0.1525;0.0833332982852283;0.0833332982852283;0.0806234544011883;0.0806234544011883
"Beard & Amir (2008)";"Beard";"Amir";"";"";"";"";"";2008;27;0.51;"I";"No contingency";17;27;0.51;0.51;0.5259375;0.5259375;0.148143984337233;0.148143984337233;0.13930159776063;0.13930159776063
"Browning, Holmes, Murphy, et al. (2010) ";"Browning";"Holmes";"Murphy";"Goodwin";"Harmer";"";"";2010;53;-0.19;"A";"Negative";17;53;-0.19;-0.19;-0.19285;-0.19285;0.0754716604058952;0.0754716604058952;0.0732574538628894;0.0732574538628894
"Dandeneau et al. (2007, Study 2b) ";"Dandeneau";"Baldwin";"Pruessner";"Baccus";"Sakellaropoulo";"";"";2007;147;0.01;"A";"Other";17;147;0.01;0.01;0.0100520833333333;0.0100520833333333;0.0272108843520104;0.0272108843520104;0.0269296367889745;0.0269296367889745
"Dandeneau et al. (2007, Study 3b) ";"Dandeneau";"Baldwin";"Pruessner";"Baccus";"Sakellaropoulo";"";"";2007;23;0.52;"A";"Other";17;23;0.52;0.52;0.5395;0.5395;0.173904723144211;0.173904723144211;0.161560491816366;0.161560491816366
"Eldar & Bar-Haim (2010) ";"Eldar";"Bar-Haim";"";"";"";"";"";2010;60;0.37;"A";"No contingency";17;60;0.37;0.37;0.374868421052632;0.374868421052632;0.0666665799221295;0.0666665799221295;0.0649462245960904;0.0649462245960904
"Hayes et al. (2010) ";"Hayes";"Hirsch";"Mathews";"";"";"";"";2010;40;0.11;"A";"No contingency";17;40;0.11;0.11;0.11222972972973;0.11222972972973;0.0999999606390398;0.0999999606390398;0.0960659242067246;0.0960659242067246
"Hazen et al. (2009) ";"Hazen";"Vasey";"Schmidt";"";"";"";"";2009;23;0.58;"A";"No contingency";17;23;0.58;0.584934003;0.60175;0.6068690281125;0.173902692414317;0.173902515564977;0.161558605233217;0.161558440937125
"Hirsch et al. (2007) ";"Hirsch";"Mathews";"Clark";"";"";"";"";2007;24;0.53;"I";"Negative";17;24;0.53;0.53;0.548928571428571;0.548928571428571;0.166659401296267;0.166659401296267;0.155363817617448;0.155363817617448
"Hirsch et al. (2009) ";"Hirsch";"Hayes";"Mathews";"";"";"";"";2009;40;0.35;"I";"No contingency";17;40;0.35;0.35;0.357094594594595;0.357094594594595;0.0999996015123708;0.0999996015123708;0.0960655792082351;0.0960655792082351
"Holmes & Mathews (2005, Study 2) ";"Holmes";"Mathews";"";"";"";"";"";2005;43;0.1;"I";"Negative";17;43;0.1;0.1;0.101875;0.101875;0.0930232315282161;0.0930232315282161;0.0896305742452607;0.0896305742452607
"Hoppitt et al. (2010)";"Hoppitt";"Mathews";"Yiend";"Mackintosh";"";"";"";2010;95;-0.07;"I";"Negative";17;95;-0.07;-0.07;-0.070570652173913;-0.070570652173913;0.0421052626687427;0.0421052626687427;0.0414270681820956;0.0414270681820956
"Johnson (2009) ";"Johnson";"";"";"";"";"";"";2009;109;-0.17;"A";"No contingency";17;109;-0.17;-0.17;-0.171202830188679;-0.171202830188679;0.0366972460452835;0.0366972460452835;0.0361834053005111;0.0361834053005111
"Koster et al. (2010) ";"Koster";"Baert";"Bockstaele";"De Raedt";"";"";"";2010;48;-0.01;"A";"No contingency";17;48;-0.01;0.047813343;-0.0101666666666667;0.04861023205;0.0833333331775639;0.0833333297722642;0.0806234881588901;0.0806234848643244
"Krebs et al. (2010) ";"Krebs";"Hirsch";"Mathews";"";"";"";"";2010;64;-0.31;"A";"Negative";17;64;-0.31;-0.31;-0.313811475409836;-0.313811475409836;0.0624999530422363;0.0624999530422363;0.0609909555036565;0.0609909555036565
"Lang et al. (2009)";"Lang";"Moulds";"Holmes";"";"";"";"";2009;48;0.43;"App";"Neutral";17;48;0.43;0.837913721;0.437166666666667;0.851878949683333;0.0833330453166686;0.0833322396915071;0.0806232096586958;0.0806224302309663
"Lange et al. (2010, Study 1)";"Lange";"Salemink";"Windey";"Keijsers";"Krans";"Becker";"Rinck";2010;68;0.05;"I";"Negative";17;68;0.05;0.05;0.0505769230769231;0.0505769230769231;0.0588235284546607;0.0588235284546607;0.0574892007045795;0.0574892007045795
"Lange et al. (2010, Study 2)";"Lange";"Salemink";"Windey";"Keijsers";"Krans";"Becker";"Rinck";2010;39;0.07;"I";"Negative";17;39;0.07;0.07;0.0714583333333333;0.0714583333333333;0.102564084906276;0.102564084906276;0.098420512962957;0.098420512962957
"Li et al. (2008) ";"Li";"Tan";"Qian";"Liu";"";"";"";2008;22;0.24;"A";"No contingency";17;22;0.24;0.24;0.249473684210526;0.249473684210526;0.181816056403539;0.181816056403539;0.168269434671822;0.168269434671822
"Mackintosh et al. (2006, Study 2) ";"Mackintosh";"Mathews";"Yiend";"Ridgeway";"Cook";"";"";2006;40;0.76;"I ";"Negative";17;40;0.76;0.757728997;0.775405405405405;0.773088368560811;0.0999981211179816;0.0999981323298025;0.0960641570531235;0.0960641678238672
"MacLeod et al. (2002, Study 1) ";"MacLeod";"Rutherford";"Campbell";"Ebsworthy";"Holker";"";"";2002;64;-0.02;"A";"Negative";17;64;-0.02;-0.02;-0.0202459016393443;-0.0202459016393443;0.0624999998045461;0.0624999998045461;0.0609910011369381;0.0609910011369381
"MacLeod et al. (2002, Study 2)";"MacLeod";"Rutherford";"Campbell";"Ebsworthy";"Holker";"";"";2002;64;0.07;"A ";"Negative";17;64;0.07;0.07;0.0708606557377049;0.0708606557377049;0.0624999976056898;0.0624999976056898;0.060990998991171;0.060990998991171
"Mathews et al. (2007) ";"Mathews";"Ridgeway";"Cook";"Yiend";"";"";"";2007;39;0.52;"I";"Other";17;39;0.52;0.52;0.530833333333333;0.530833333333333;0.102563128149451;0.102563128149451;0.0984195948589486;0.0984195948589486
"Murphy et al. (2007) ";"Murphy";"Hirsch";"Mathews";"Smith";"Clark";"";"";2007;44;0.64;"I";"No contingency";17;44;0.64;0.629055067;0.651707317073171;0.640562171884146;0.0909081843833415;0.0909082151237467;0.0876713588574117;0.0876713885032913
"Reese et al. (2010)";"Reese";"McNally";"Najmi";"Amir";"";"";"";2010;41;0.19;"A";"No contingency";17;41;0.19;0.19;0.19375;0.19375;0.097560869333191;0.097560869333191;0.093820866808493;0.093820866808493
"Salemink & van den Hout (2010)";"Salemink";"van den Hout";"";"";"";"";"";2010;82;-0.17;"I";"Negative";17;82;-0.17;-0.17;-0.171613924050633;-0.171613924050633;0.048780482593656;0.048780482593656;0.0478672956228036;0.0478672956228036
"Salemink et al. (2007a) ";"Salemink";"van den Hout";"Kindt";"";"";"";"";2007;118;0.35;"I";"Negative";17;118;0.35;0.35;0.352282608695652;0.352282608695652;0.0338982999638693;0.0338982999638693;0.0334604363147411;0.0334604363147411
"Salemink et al. (2007b) ";"Salemink";"van den Houdt";"Kindt";"";"";"";"";2007;81;0.23;"I";"Negative";17;81;0.23;0.23;0.232211538461538;0.232211538461538;0.0493827060282361;0.0493827060282361;0.0484465622132791;0.0484465622132791
"Schmidt et al. (2009)a FOUT";"Schmidt";"Richey";"Buckner";"Timpano";"";"";"";2009;36;2.1;"A";"No contingency";17;36;2.1;0.494836189;2.14772727272727;0.506082466022727;0.111089145040173;0.111109891229183;0.106206708542111;0.106226542923308
"Standage et al. (2009) ";"Standage";"Ashwin";"Fox";"";"";"";"";2009;48;0.2;"I";"Negative";17;48;0.2;0.2;0.203333333333333;0.203333333333333;0.0833332710256114;0.0833332710256114;0.0806234280280035;0.0806234280280035
"Steinman & Teachman (2010) ";"Steinman";"Teachman";"";"";"";"";"";2010;50;0.16;"I";"No contingency";17;50;0.16;0.16;0.162553191489362;0.162553191489362;0.079999966177883;0.079999966177883;0.0775066145278665;0.0775066145278665
"Teachman & Addison (2008)";"Teachman";"Addison";"";"";"";"";"";2008;61;0.12;"I";"No contingency";17;61;0.12;0.12;0.121551724137931;0.121551724137931;0.0655737619550479;0.0655737619550479;0.0639102247798732;0.0639102247798732
"Wadlinger (2009) [Dissertation] ";"Wadlinger";"";"";"";"";"";"";2009;69;0.03;"A";"Neutral";17;69;0.03;0.03;0.0303409090909091;0.0303409090909091;0.0579710141678528;0.0579710141678528;0.0566756133967747;0.0566756133967747
"Wells & Beevers (2010) ";"Wells";"Beevers";"";"";"";"";"";2010;31;0.33;"A";"No contingency";17;31;0.33;0.33;0.338839285714286;0.338839285714286;0.129031263512781;0.129031263512781;0.122387007145885;0.122387007145885
"Wilson et al. (2006) ";"Wilson";"MacLeod";"Mathews";"Rutherford";"";"";"";2006;48;-0.35;"I";"Negative";17;48;-0.35;-0.35;-0.355833333333333;-0.355833333333333;0.083333142516229;0.083333142516229;0.0806233036975073;0.0806233036975073
"Yiend et al. (2005, Study 1) ";"Yiend";"Mackintosh";"Mathews";"";"";"";"";2005;20;0.72;"I ";"Negative";17;20;0.72;0.72;0.751764705882353;0.751764705882353;0.199971746483219;0.199971746483219;0.183429747220474;0.183429747220474
"Yiend et al. (2005, Study 2) ";"Yiend";"Mackintosh";"Mathews";"";"";"";"";2005;24;0.15;"I ";"Negative";17;24;0.15;0.154610186;0.155357142857143;0.160131978357143;0.166666084689488;0.166666048366238;0.155370048033958;0.155370014172569
"Yiend et al. (2005, Study 3)";"Yiend";"Mackintosh";"Mathews";"";"";"";"";2005;19;0.22;"I ";"Negative";17;19;0.22;0.22;0.2303125;0.2303125;0.210523059643358;0.210523059643358;0.192092326197192;0.192092326197192
