"study";"nc";"nt";"n";"g";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Amir et al. (2010)";NA;NA;57;-0.08;0;"r";28;29;57;-0.08;-0.076270736;0;3;-0.0811111111111111;-0.0773300517777778;0.0701754336105032;0.0701754340645201;0.0682659875843213;0.0682659880259846
"Browning, Holmes, Murphy, et al. (2010) ";NA;NA;53;-0.19;0;"r";26;27;53;-0.19;-0.19;0;2;-0.19285;-0.19285;0.0754716604058952;0.0754716604058952;0.0732574538628894;0.0732574538628894
"Dandeneau et al. (2007, Study 2b) ";NA;NA;147;0.01;0;"r";73.5;73.5;147;0.01;0.01;0;2;0.0100520833333333;0.0100520833333333;0.0272108843520104;0.0272108843520104;0.0269296367889745;0.0269296367889745
"Hazen et al. (2009) ";NA;NA;23;0.58;0;"r";12;11;23;0.58;0.584934003;0;0;0.60175;0.6068690281125;0.173902692414317;0.173902515564977;0.161558605233217;0.161558440937125
"Koster et al. (2010) ";NA;NA;48;-0.01;0;"r";25;23;48;-0.01;0.047813343;1;1;-0.0101666666666667;0.04861023205;0.0833333331775639;0.0833333297722642;0.0806234881588901;0.0806234848643244
"Krebs et al. (2010) ";NA;NA;64;-0.31;0;"r";32;32;64;-0.31;-0.31;0;2;-0.313811475409836;-0.313811475409836;0.0624999530422363;0.0624999530422363;0.0609909555036565;0.0609909555036565
"Lang et al. (2009)";NA;NA;48;0.43;0;"r";24;24;48;0.43;0.837913721;3;3;0.437166666666667;0.851878949683333;0.0833330453166686;0.0833322396915071;0.0806232096586958;0.0806224302309663
"Mackintosh et al. (2006, Study 2) ";NA;NA;40;0.76;0;"r";20;20;40;0.76;0.757728997;0;0;0.775405405405405;0.773088368560811;0.0999981211179816;0.0999981323298025;0.0960641570531235;0.0960641678238672
"Murphy et al. (2007) ";NA;NA;44;0.64;0;"r";22;22;44;0.64;0.629055067;0;3;0.651707317073171;0.640562171884146;0.0909081843833415;0.0909082151237467;0.0876713588574117;0.0876713885032913
"Schmidt et al. (2009)a";NA;NA;36;2.1;0;"o";18;18;36;2.1;0.494836189;3;1;2.14772727272727;0.506082466022727;0.111089145040173;0.111109891229183;0.106206708542111;0.106226542923308
"Yiend et al. (2005, Study 2) ";NA;NA;24;0.15;0;"r";12;12;24;0.15;0.154610186;0;0;0.155357142857143;0.160131978357143;0.166666084689488;0.166666048366238;0.155370048033958;0.155370014172569
