study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;n;d;age;r;z;zexp;nnew;znew;znewexp;vz;newvz
Acevedo et al.;Acevedo;Piper;Crayton;Benice;Raber;;;2010;12;38;50;0.27;9;0.114553355;0.115058411;0.115058411;50;0.115058411;0.115058411;0.021276596;
Alexander et al.;Alexander;Williams;Gatt;Dobson-Stone;Kuan;Todd;Gordon;2007;50;174;224;0.1;16.9;0.041604032;0.041628061;0.041628061;224;0.041628061;0.041628061;0.004524887;
Bloss et al.;Bloss;Delis;Salmon;Bondi;;;;2008;24;84;108;-0.15;13.4;-0.062240052;-0.062320608;-0.062320608;108;-0.062320608;-0.062320608;0.00952381;
Bloss et al.;Bloss;Delis;Salmon;Bondi;;;;2010;32;113;145;0.01;13.3;0.004147081;0.004147104;0.004147104;129;-0.017318056;-0.017318056;0.007042254;
Deary et al.;Deary;Whalley;St Clair;Breen;Leaper;Lemmon;Starr;2003;42;131;173;-0.2;11;-0.085438429;-0.085647237;-0.085647237;173;-0.085647237;-0.085647237;0.005882353;
Filbey et al.;Filbey;Slack;Sunderland;Cohen;;;;2006;8;8;16;-0.07;25.5;-0.034978582;-0.034992858;-0.034992858;16;-0.034992858;-0.034992858;0.076923077;
Filippini et al.;Filippini;MacIntosh;Hough;Goodwin;Frisoni;Smith;Mackay;2009;18;18;36;0.06;28.5;0.029986509;0.029995502;0.029995502;36;0.01237005;0.01237005;0.03030303;
Jorm et al.;Jorm;Mather;Butterworth;Anstey;Christensen;Easteal;;2007;573;1524;2097;0.01;22.6;0.004456224;0.004456254;0.004456254;1335;0.005411363;0.005411363;0.000477555;
Luciano et al.;Luciano;Gow;Harris;Hayward;Allerhand;Starr;Deary;2009;279;668;947;0.03;11;0.0136748;0.013675653;0.013675653;992;-0.017856892;-0.017856892;0.001059322;
Marchant et al.;Marchant;King;Tabet;Rusted;;;;2010;27;32;59;0.37;20.3;0.18128033;0.183306206;0.183306206;59;0.183306206;0.183306206;0.017857143;
Montadori et al.;Mondadori;deq Uervain;Buchmann;Mustovic;Wollmer;Schmidt;Henke;2007;87;253;340;0.06;22.8;0.026172393;0.026178371;0.026178371;340;0.026178371;0.026178371;0.002967359;
Puttonen et al.;Puttonen;Elovainio;Kivimaki;Lehtimaki;Keltikangas-Jarvinen;;;2003;20;37;57;0.29;28;0.137094149;0.137962853;0.137962853;57;0.137962853;0.137962853;0.018518519;
Reiman et al.;Reiman;Chen;Alexander;Caselli;Bandy;Osborne;Hardy;2004;12;14;26;-0.04;31;-0.019936777;-0.019939419;-0.019939419;26;-0.019939419;-0.019939419;0.043478261;
Richter-Schmidinger et al.;Richter-Schmidinger;Alexopoulos;Horn;Maus;Reichel;Rhein;Kornhuber;2011;18;117;135;0.04;24.6;0.013596129;0.013596966;0.013596966;135;-0.013595876;-0.013595876;0.007575758;
Ruiz et al.;Ruiz;Castillo;Labayen;Moreno;Fuentes;Lamuno;Ortega;2010;76;336;412;-0.06;15.4;-0.023265527;-0.023269726;-0.023269726;412;-0.022745817;-0.022745817;0.002444988;
Scarmeas et al.;Scarmeas;Habeck;Hilton;Anderson;Flynn;Park;Stern;2005;4;16;20;-0.25;23.5;-0.099503719;-0.099834079;-0.099834079;18;-0.107726935;-0.107726935;0.058823529;
Schultz et al.;Schultz;Lyons;Franz;Grant;Boake;Jacobson;Kremen;2008;188;437;625;0.25;19.9;0.113905276;0.114401765;0.114401765;625;0.114258954;0.114258954;0.001607717;
Taylor et al.;Taylor;Guthrie;Smith;Golding;Sattar;Hingorani;Day;2011;1486;3824;5310;0.01;10;0.004489205;0.004489235;0.004489235;5310;0.004489235;0.004489235;0.00018843;
Turic et al.;Turic;Fisher;Plomin;Owen;;;;2001;52;143;195;-0.01;10;-0.004422123;-0.004422152;-0.004422152;195;-0.02217175;-0.02217175;0.005208333;
Yu et al.;Yu;Lin;Chen;Hong;Tsai;;;2000;26;97;123;0.33;20;0.13352873;0.134330932;0.134330932;123;0.141002545;0.141002545;0.008333333;
