"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"age";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Acevedo et al.";"Acevedo";"Piper";"Crayton";"Benice";"Raber";"";"";2010;12;38;50;0.27;9;18;50;0.27;0.27;12;38;0.274308510638298;0.274308510638298;0.0799999036863124;0.0799999036863124;0.077506553983965;0.077506553983965
"Alexander et al.";"Alexander";"Williams";"Gatt";"Dobson-Stone";"Kuan";"Todd";"Gordon";2007;50;174;224;0.1;16.9;18;224;0.1;0.1;50;174;0.100339366515837;0.100339366515837;0.0178571428251509;0.0178571428251509;0.0177365546984835;0.0177365546984835
"Bloss et al.";"Bloss";"Delis";"Salmon";"Bondi";"";"";"";2008;24;84;108;-0.15;13.4;18;108;-0.15;-0.15;24;84;-0.151071428571429;-0.151071428571429;0.0370370356950151;0.0370370356950151;0.0365135506072278;0.0365135506072278
"Bloss et al.";"Bloss";"Delis";"Salmon";"Bondi";"";"";"";2010;32;113;145;0.01;13.3;18;113;0.01;-0.030383416;113;32;0.0100528169014085;-0.0305438917887324;0.0275862068947228;0.0353982300835371;0.0272970958045247;0.0350272468262306
"Deary et al.";"Deary";"Whalley";"St Clair";"Breen";"Leaper";"Lemmon";"Starr";2003;42;131;173;-0.2;11;18;173;-0.2;-0.2;42;131;-0.200882352941176;-0.200882352941176;0.0231213869228334;0.0231213869228334;0.0229187168681751;0.0229187168681751
"Filbey et al.";"Filbey";"Slack";"Sunderland";"Cohen";"";"";"";2006;8;8;16;-0.07;25.5;18;16;-0.07;-0.07;8;8;-0.0740384615384616;-0.0740384615384616;0.249999330849717;0.249999330849717;0.223470476237235;0.223470476237235
"Filippini et al.";"Filippini";"MacIntosh";"Hough";"Goodwin";"Frisoni";"Smith";"Mackay";2009;18;18;36;0.06;28.5;18;36;0.06;0.024190937;18;18;0.0613636363636364;0.0247407310227273;0.111111093176082;0.111111093176082;0.106227692043899;0.106227692043899
"Jorm et al.";"Jorm";"Mather";"Butterworth";"Anstey";"Christensen";"Easteal";"";2007;573;1524;2097;0.01;22.6;18;1335;0.01;0.028837851;1524;573;0.0100035816618911;0.0288481797431948;0.00190748688602762;0.00299625468164769;0.00190612122515423;0.00299410951996118
"Luciano et al.";"Luciano";"Gow";"Harris";"Hayward";"Allerhand";"Starr";"Deary";2009;279;668;947;0.03;11;18;992;0.03;-0.039153532;668;279;0.0300238347457627;-0.0391846391493644;0.00422386483631627;0.00403225806450868;0.00421716117674082;0.00402585850239381
"Marchant et al.";"Marchant";"King";"Tabet";"Rusted";"";"";"";2010;27;32;59;0.37;20.3;18;59;0.37;0.37;27;32;0.374955357142857;0.374955357142857;0.067796517349725;0.067796517349725;0.0660163801847465;0.0660163801847465
