study;a1;a2;a3;a4;a5;a6;yop;n;g;sample;sex;pub;maleauthor;stereotype;country;femalemanager;age;leaderdomain;leaderstatus;male;d;r;z;zexp;nnew;znew;znewexp;vz;newvz
Butterfield & Powell (1981);Butterfield;Powell;;NA;NA;NA;1981;128;2.36;1;n;1;100;1;US;25;20;2;2;59;2.37416;0.764798915;1.007675601;1.007675601;128;1.005047416;1.005047416;0.008;
Cann & Siegfried (1987);Cann;Siegfried;;NA;NA;NA;1987;110;0.79;1;y;1;100;2;US;33;21;3;1;53;0.795537383;0.369602653;0.387962806;0.387962806;110;0.387962806;0.387962806;0.009345794;
Huddy & Terkildsen (1993), exp 1;Huddy;Terkildsen;;NA;NA;NA;1993;133;0.48;1;y;1;0;2;US;37;21;2;2;54;0.482769231;0.234645406;0.23909992;0.23909992;133;0.23909992;0.23909992;0.007692308;
Huddy & Terkildsen (1993), exp 2;Huddy;Terkildsen;;NA;NA;NA;1993;149;0.2;1;y;1;0;2;US;37;21;2;1;50;0.201027397;0.100009769;0.100345215;0.100345215;149;0.100345215;0.100345215;0.006849315;
Huddy & Terkildsen (1993), exp 3;Huddy;Terkildsen;;NA;NA;NA;1993;153;0.75;1;y;1;0;2;US;37;21;2;2;51;0.75375;0.352661189;0.36847968;0.36847968;153;0.36847968;0.36847968;0.006666667;
Huddy & Terkildsen (1993), exp 4;Huddy;Terkildsen;;NA;NA;NA;1993;139;1;1;y;1;0;2;US;37;21;2;2;56;1.005514706;0.449183333;0.483676715;0.483676715;139;0.483676715;0.483676715;0.007352941;
Inderlied & Powell (1979), exp 1;Inderlied;Powell;;NA;NA;NA;1979;41;2.65;4;y;1;50;1;US;22;43;3;1;63;2.702302632;0.80379979;1.109257548;1.109257548;41;1.100484731;1.100484731;0.026315789;
Inderlied & Powell (1979), exp 2;Inderlied;Powell;;NA;NA;NA;1979;51;2.14;4;y;1;50;1;US;22;37;3;1;0;2.1734375;0.735857202;0.941383389;0.941383389;51;0.941383389;0.941383389;0.020833333;
Inderlied & Powell (1979), exp 3;Inderlied;Powell;;NA;NA;NA;1979;154;1.41;4;y;1;50;1;US;22;28;3;1;69;1.417003311;0.578108794;0.659617484;0.659617484;154;0.659617484;0.659617484;0.006622517;
Inderlied & Powell (1979), exp 4;Inderlied;Powell;;NA;NA;NA;1979;259;1.22;4;y;1;50;1;US;22;22;3;1;58;1.223574219;0.521869795;0.578905947;0.578905947;259;0.578773324;0.578773324;0.00390625;
Maier (1993), exp 1;Maier;;;NA;NA;NA;1993;60;0.72;1;y;1;100;1;US;37;20;3;1;50;0.729473684;0.342656016;0.357098792;0.357098792;60;0.357098792;0.357098792;0.01754386;
Maier (1993), exp 2;Maier;;;NA;NA;NA;1993;59;1.79;1;y;1;100;1;US;37;20;3;1;50;1.813973214;0.671818947;0.814051027;0.814051027;59;0.814051027;0.814051027;0.017857143;
Marongiu & Ekehammar (2000);Marongiu;Ekehammar;;NA;NA;NA;2000;87;0.65;1;y;1;50;1;SE;27;41;3;1;48;0.655803571;0.311578925;0.32229315;0.32229315;88;0.32229315;0.32229315;0.011904762;
Powell & Butterfield (1979), exp 1;Powell;Butterfield;;NA;NA;NA;1979;110;2.35;2;y;1;100;1;US;22;20;3;1;82;2.366471963;0.763768002;1.005196671;1.005196671;110;1.02933533;1.02933533;0.009345794;
Powell & Butterfield (1979), exp 2;Powell;Butterfield;;NA;NA;NA;1979;574;1.98;2;y;1;100;1;US;22;27;3;1;70;1.982600701;0.704010834;0.875208607;0.875208607;575;0.862351695;0.862351695;0.001751313;
Powell & Butterfield (1984);Powell;Butterfield;;NA;NA;NA;1984;627;2.47;1;n;1;100;1;US;28;20;3;1;62;2.47296875;0.777541097;1.039121953;1.039121953;627;1.037138949;1.037138949;0.001602564;
Powell & Butterfield (1987), exp 1;Powell;Butterfield;;NA;NA;NA;1987;50;1.53;2;y;1;100;1;US;33;20;2;2;46;1.554414894;0.613659993;0.714771168;0.714771168;50;0.707880156;0.707880156;0.021276596;
Powell & Butterfield (1987), exp 2;Powell;Butterfield;;NA;NA;NA;1987;44;0.81;2;y;1;100;1;US;33;20;2;2;46;0.824817073;0.381258662;0.401531561;0.401531561;44;0.401531561;0.401531561;0.024390244;
Powell & Butterfield (1989), exp 1;Powell;Butterfield;;NA;NA;NA;1989;199;2.56;2;y;1;100;1;US;35;20;3;1;43;2.569795918;0.7891632;1.069209466;1.069209466;199;1.069209466;1.069209466;0.005102041;
Powell & Butterfield (1989), exp 2;Powell;Butterfield;;NA;NA;NA;1989;126;1.97;2;y;1;100;1;US;35;27;3;1;60;1.982012195;0.703905411;0.874999617;0.874999617;126;0.874999617;0.874999617;0.008130081;
Powell & Kido (1994), exp 1;Powell;Kido;;NA;NA;NA;1994;88;-1.18;2;y;1;10;1;JP;8;21;3;1;77;-1.190411765;-0.511463421;-0.564709632;-0.564709632;88;-0.567685038;-0.567685038;0.011764706;
Powell & Kido (1994), exp 2;Powell;Kido;;NA;NA;NA;1994;86;0.27;2;y;1;10;1;JP;8;21;3;1;23;0.272439759;0.134973362;0.135802079;0.135802079;86;0.135802079;0.135802079;0.012048193;
Powell (1992), exp 1;Powell;;;NA;NA;NA;1992;87;1.46;2;y;1;100;1;US;37;21;3;1;47;1.473035714;0.593029816;0.682326551;0.682326551;87;0.682326551;0.682326551;0.011904762;
Powell (1992), exp 2;Powell;;;NA;NA;NA;1992;79;1.63;2;y;1;100;1;US;37;21;3;1;44;1.646085526;0.635483327;0.750560679;0.750560679;79;0.750560679;0.750560679;0.013157895;
Powell et al. (2002), exp 1;Powell;Butterfield;Parent;NA;NA;NA;2002;123;1.49;2;y;1;67;1;US;45;32;3;1;65;1.4993125;0.599823956;0.692872158;0.692872158;123;0.635386941;0.635386941;0.008333333;
Powell et al. (2002), exp 2;Powell;Butterfield;Parent;NA;NA;NA;2002;206;1.08;2;y;1;67;1;US;45;21;3;1;57;1.083990148;0.476506363;0.518454568;0.518454568;206;0.518454568;0.518454568;0.004926108;
Rosenwasser & Dean (1989), exp 1;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.44;9;n;1;0;1;US;35;21;2;1;54;2.606363636;0.793343514;1.080389557;1.080389557;14.78;1.0506924;1.0506924;0.090909091;
Rosenwasser & Dean (1989), exp 2;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.66;9;n;1;0;1;US;35;21;2;2;54;2.841363636;0.817735724;1.149944599;1.149944599;14;1.149944599;1.149944599;0.090909091;
Rosenwasser & Dean (1989), exp 3;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.31;9;n;1;0;1;US;35;21;2;2;54;2.4675;0.776859805;1.03740134;1.03740134;14.78;1.009881181;1.009881181;0.090909091;
Rosenwasser & Dean (1989), exp 4;Rosenwasser;Dean;;NA;NA;NA;1989;14;1.4;9;n;1;0;1;US;35;21;2;2;54;1.495454545;0.598834458;0.691328007;0.691328007;14;0.691328007;0.691328007;0.090909091;
Rosenwasser & Dean (1989), exp 5;Rosenwasser;Dean;;NA;NA;NA;1989;14;1.01;9;n;1;0;1;US;35;21;1;1;54;1.078863636;0.474761702;0.516199818;0.516199818;14.78;0.500969704;0.500969704;0.090909091;
Rosenwasser & Dean (1989), exp 6;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.4;9;n;1;0;1;US;35;21;2;1;54;2.563636364;0.788448067;1.067316504;1.067316504;14.78;1.037459576;1.037459576;0.090909091;
