study;a1;a2;a3;a4;a5;a6;a7;yop;n;g;sample;sex;pub;maleauthor;stereotype;country;femalemanager;age;leaderdomain;leaderstatus;male;id;d;vd;vg;nnew;effest.exp;effestnew.exp
Butterfield & Powell (1981);Butterfield;Powell;;NA;NA;NA;NA;1981;128;2.36;1;n;1;100;1;US;25;20;2;2;59;19;2.37416;0.031249832;0.030878182;128;2.36;2.351898144
Cann & Siegfried (1987);Cann;Siegfried;;NA;NA;NA;NA;1987;110;0.79;1;y;1;100;2;US;33;21;3;1;53;19;0.795537383;0.036363602;0.035859142;110;0.79;0.79
Huddy & Terkildsen (1993), exp 1;Huddy;Terkildsen;;NA;NA;NA;NA;1993;133;0.48;1;y;1;0;2;US;37;21;2;2;54;19;0.482769231;0.030075182;0.029731141;133;0.48;0.48
Huddy & Terkildsen (1993), exp 2;Huddy;Terkildsen;;NA;NA;NA;NA;1993;149;0.2;1;y;1;0;2;US;37;21;2;1;50;19;0.201027397;0.026845637;0.026571936;149;0.2;0.2
Huddy & Terkildsen (1993), exp 3;Huddy;Terkildsen;;NA;NA;NA;NA;1993;153;0.75;1;y;1;0;2;US;37;21;2;2;51;19;0.75375;0.026143783;0.025884293;153;0.75;0.75
Huddy & Terkildsen (1993), exp 4;Huddy;Terkildsen;;NA;NA;NA;NA;1993;139;1;1;y;1;0;2;US;37;21;2;2;56;19;1.005514706;0.028776957;0.02846217;139;1;1
Inderlied & Powell (1979), exp 1;Inderlied;Powell;;NA;NA;NA;NA;1979;41;2.65;4;y;1;50;1;US;22;43;3;1;63;19;2.702302632;0.097540306;0.093801092;41;2.65;2.621179024
Inderlied & Powell (1979), exp 2;Inderlied;Powell;;NA;NA;NA;NA;1979;51;2.14;4;y;1;50;1;US;22;37;3;1;0;19;2.1734375;0.078425787;0.076031248;51;2.14;2.14
Inderlied & Powell (1979), exp 3;Inderlied;Powell;;NA;NA;NA;NA;1979;154;1.41;4;y;1;50;1;US;22;28;3;1;69;19;1.417003311;0.025973997;0.025717887;154;1.41;1.41
Inderlied & Powell (1979), exp 4;Inderlied;Powell;;NA;NA;NA;NA;1979;259;1.22;4;y;1;50;1;US;22;22;3;1;58;19;1.223574219;0.015444013;0.015353917;259;1.22;1.219689971
Maier (1993), exp 1;Maier;;;NA;NA;NA;NA;1993;60;0.72;1;y;1;100;1;US;37;20;3;1;50;19;0.729473684;0.066666338;0.064945989;60;0.72;0.72
Maier (1993), exp 2;Maier;;;NA;NA;NA;NA;1993;59;1.79;1;y;1;100;1;US;37;20;3;1;50;19;1.813973214;0.067794438;0.066014355;59;1.79;1.79
Marongiu & Ekehammar (2000);Marongiu;Ekehammar;;NA;NA;NA;NA;2000;87;0.65;1;y;1;50;1;SE;27;41;3;1;48;19;0.655803571;0.045976951;0.045166801;87;0.65;0.65
Powell & Butterfield (1979), exp 1;Powell;Butterfield;;NA;NA;NA;NA;1979;110;2.35;2;y;1;100;1;US;22;20;3;1;82;19;2.366471963;0.03636333;0.035858874;110;2.35;2.981564783
Powell & Butterfield (1979), exp 2;Powell;Butterfield;;NA;NA;NA;NA;1979;574;1.98;2;y;1;100;1;US;22;27;3;1;70;19;1.982600701;0.006968641;0.00695037;575;1.98;2.515893363
Powell & Butterfield (1984);Powell;Butterfield;;NA;NA;NA;NA;1984;627;2.47;1;n;1;100;1;US;28;20;3;1;62;19;2.47296875;0.006379585;0.006364277;627;2.47;2.463705482
Powell & Butterfield (1987), exp 1;Powell;Butterfield;;NA;NA;NA;NA;1987;50;1.53;2;y;1;100;1;US;33;20;2;2;46;19;1.554414894;0.079996907;0.077503651;50;1.53;1.512855262
Powell & Butterfield (1987), exp 2;Powell;Butterfield;;NA;NA;NA;NA;1987;44;0.81;2;y;1;100;1;US;33;20;2;2;46;19;0.824817073;0.090907639;0.087670833;44;0.81;0.81
Powell & Butterfield (1989), exp 1;Powell;Butterfield;;NA;NA;NA;NA;1989;199;2.56;2;y;1;100;1;US;35;20;3;1;43;19;2.569795918;0.020100469;0.019947517;199;2.56;2.56
Powell & Butterfield (1989), exp 2;Powell;Butterfield;;NA;NA;NA;NA;1989;126;1.97;2;y;1;100;1;US;35;27;3;1;60;19;1.982012195;0.031745907;0.031362274;126;1.97;1.97
Powell & Kido (1994), exp 1;Powell;Kido;;NA;NA;NA;NA;1994;88;-1.18;2;y;1;10;1;JP;8;21;3;1;77;19;-1.190411765;0.045454356;0.044662714;88;-1.18;-1.186869809
