"study";"nc";"nt";"n";"g";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Butterfield & Powell (1981)";NA;NA;128;2.36;0;"o";64;64;128;2.36;2.351898144;0;0;2.37416;2.366009532864;0.0312498320160685;0.0312498331674569;0.0308781822149296;0.0308781833526247
"Huddy & Terkildsen (1993), exp 1";NA;NA;133;0.48;0;"o";72;72;133;0.48;0.48;0;2;0.482769230769231;0.482769230769231;0.0300751820110741;0.0300751820110741;0.0297311408142992;0.0297311408142992
"Huddy & Terkildsen (1993), exp 2";NA;NA;149;0.2;0;"o";76.5;76.5;149;0.2;0.2;0;2;0.201027397260274;0.201027397260274;0.0268456369279658;0.0268456369279658;0.0265719363845973;0.0265719363845973
"Huddy & Terkildsen (1993), exp 3";NA;NA;153;0.75;0;"o";76.5;76.5;153;0.75;0.75;0;2;0.75375;0.75375;0.0261437825553916;0.0261437825553916;0.02588429252285;0.02588429252285
"Inderlied & Powell (1979), exp 1";NA;NA;41;2.65;0;"o";20.5;20.5;41;2.65;2.621179024;0;0;2.70230263157895;2.67291282052632;0.0975403060842058;0.0975407531435536;0.0938010918530486;0.093801521774346
"Inderlied & Powell (1979), exp 4";NA;NA;259;1.22;0;"o";129.5;129.5;259;1.22;1.219689971;0;0;1.22357421875;1.22326328146191;0.0154440127823621;0.0154440127837147;0.0153539166433066;0.0153539166446513
"Marongiu & Ekehammar (2000)";NA;NA;87;0.65;0;"o";44;44;88;0.65;0.65;0;2;0.655803571428571;0.655735294117647;0.0459769514377604;0.045454488093657;0.0451668007545827;0.0446628430639168
"Powell & Butterfield (1984)";NA;NA;627;2.47;0;"o";313.5;313.5;627;2.47;2.463705482;0;0;2.47296875;2.46666666647356;0.006379585010393;0.00637958501200439;0.00636427707347182;0.00636427707507933
"Powell & Butterfield (1987), exp 1";NA;NA;50;1.53;0;"r";25;25;50;1.53;1.512855262;0;0;1.55441489361702;1.53699656937234;0.0799969073763119;0.0799969762954677;0.077503651059685;0.0775037178308438
"Powell & Kido (1994), exp 1";NA;NA;88;-1.18;0;"o";44;44;88;-1.18;-1.186869809;0;0;-1.19041176470588;-1.19734218966765;0.0454543564153271;0.0454543542078048;0.0446627136789247;0.0446627115098491
"Powell et al. (2002), exp 1";NA;NA;123;1.49;0;"r";24;99;123;1.49;1.7027575;2;3;1.4993125;1.713399734375;0.0325202466339644;0.0325202225942269;0.0321175230056513;0.0321174992636167
"Powell & Butterfield (1979), exp 1";NA;NA;110;2.35;0;"o";23;87;110;2.35;2.981564783;3;3;2.36647196261682;3.00246360157243;0.0363633303658261;0.0363631437926061;0.0358588740894671;0.0358586901045147
"Powell & Butterfield (1979), exp 2";NA;NA;574;1.98;0;"o";105;470;575;1.98;2.515893363;3;3;1.98260070052539;2.51919217422771;0.00696864082530632;0.00695652127467807;0.00695037041806785;0.00693831446562447
"Rosenwasser & Dean (1989), exp 5";NA;NA;14;1.01;0;"r";7.39;7.39;14.78;1.01;0.981865377;0;0;1.07886363636364;1.04437802833701;0.285472103261205;0.270453262686571;0.25019193839461;0.239045550298088
"Rosenwasser & Dean (1989), exp 1";NA;NA;14;2.44;0;"r";7.39;7.39;14.78;2.44;2.359699376;1;1;2.60636363636364;2.50993490503226;0.28430660921596;0.269583970519832;0.249170482318741;0.238277208950294
"Rosenwasser & Dean (1989), exp 3";NA;NA;14;2.31;0;"r";7.39;7.39;14.78;2.31;2.238493837;1;1;2.4675;2.38101254478862;0.284451966618673;0.269688900482589;0.249297875678475;0.238369953406179
"Rosenwasser & Dean (1989), exp 6";NA;NA;14;2.4;0;"r";7.39;7.39;14.78;2.4;2.319978373;1;1;2.56363636363636;2.46768497569525;0.284352166009101;0.269618958054595;0.249210408960444;0.23830813338588
"Rosenwasser & Dean (1989), exp 9";NA;NA;14;1.98;0;"r";7.39;7.39;14.78;1.98;1.921932457;1;1;2.115;2.04429657777674;0.284785779251173;0.269937187637381;0.249590433965718;0.238589406996642
"Sumer (2006)";NA;NA;369;1.29;0;"o";184.5;184.5;369;1.29;1.284558887;0;0;1.29264344262295;1.28719117980123;0.0108401076800728;0.0108401076861424;0.0107958171944884;0.0107958172005331
"Willemsen (2002)";NA;NA;139;1.19;0;"o";69.5;69.5;139;1.19;2.076788268;3;1;1.1965625;2.08824114447794;0.0287769477340345;0.0287768849648203;0.0284621612472193;0.0284620991646276
