"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c"
"Althay";"Athay";"";"";"";"";"";NA;1973;150;0.24;20;150;0.24;0.24;0.00596052187919463;0.00596052187919463
"Buckley et al.";"Buckley";"Karasu";"Charles";"";"";"";NA;1981;71;0.06;20;71;0.06;0.056367393;0.0141830422857143;0.0141950789877141
"Fretz";"Fretz";"";"";"";"";"";NA;1966;17;0.25;20;17;0.25;0.155535427;0.054931640625;0.0595126674621378
"Fuertes et al.";"Fuertes";"Mislowach";"Brown";"Gur-Arie";"Wilkinson";"Gelso";NA;2007;59;0.34;20;59;0.34;0.34;0.0134855751724138;0.0134855751724138
"Garfield & Bergin";"Garfield";"Bergin";"";"";"";"";NA;1971;38;-0.26;20;38;-0.26;-0.038435284;0.02349648;0.0269472335193906
"Hansen et al.";"Hansen";"Moore";"Carkhuff";"";"";"";NA;1968;70;0.69;20;70;0.69;0.40239015;0.00397784362318841;0.0101794452021756
"Jones & Zoppel";"Jones";"Zoppel";"";"";"";"";NA;1982;99;-0.02;20;99;-0.02;-0.052407445;0.01019592;0.010148106764293
"Maramarosh et al.";"Marmarosh";"Gelso";"Majors";"Markin";"Mallery";"Choi";NA;2009;31;0.41;20;31;0.41;0.430504745;0.023068587;0.0221226714989385
"Melnick & Pierce";"Melnick";"Pierce";"";"";"";"";NA;1971;18;0.42;20;18;0.42;0.398539181;0.0399009976470588;0.0416212421412303
"Ritter et al.";"Ritter";"Bowden";"Murray";"Ross";"Greeley";"Pead";NA;2002;37;0.21;20;37;0.21;0.204787499;0.0253818002777778;0.0254967486005369
"Rothman";"Rothman";"";"";"";"";"";NA;2007;44;0.5;20;44;0.5;0.5;0.0130813953488372;0.0130813953488372
"Staples et al.";"Staples";"Sloane";"";"";"";"";NA;1976;17;0.16;20;17;0.16;0.157;0.05934096;0.0594568483250625
"Truax";"Truax";"";"";"";"";"";NA;1966;63;0.38;20;63;0.38;0.405046358;0.01180728;0.0112708293024673
"Truax";"Truax";"";"";"";"";"";NA;1971;34;-0.02;20;34;-0.02;-0.02;0.0302787927272727;0.0302787927272727
"Truax";"Truax";"";"";"";"";"";NA;1971;72;0.28;20;72;0.28;0.28;0.0119626276056338;0.0119626276056338
"Truax";"Truax";"";"";"";"";"";NA;1971;43;0.11;20;43;0.11;0.11;0.0232368192857143;0.0232368192857143
