"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c"
"Buckley et al.";NA;NA;71;0.06;0;"o";NA;NA;71;0.06;0.056367393;0;3;0.0141830422857143;0.0141950789877141
"Fretz";NA;NA;17;0.25;0;"r";NA;NA;17;0.25;0.155535427;2;3;0.054931640625;0.0595126674621378
"Garfield & Bergin";NA;NA;38;-0.26;0;"o";NA;NA;38;-0.26;-0.038435284;3;3;0.02349648;0.0269472335193906
"Hansen et al.";NA;NA;70;0.69;0;"o";NA;NA;70;0.69;0.40239015;3;3;0.00397784362318841;0.0101794452021756
"Jones & Zoppel";NA;NA;99;-0.02;0;"o";NA;NA;99;-0.02;-0.052407445;1;3;0.01019592;0.010148106764293
"Maramarosh et al.";NA;NA;31;0.41;0;"r";NA;NA;31;0.41;0.430504745;0;3;0.023068587;0.0221226714989385
"Melnick & Pierce";NA;NA;18;0.42;0;"r";NA;NA;18;0.42;0.398539181;0;3;0.0399009976470588;0.0416212421412303
"Ritter et al.";NA;NA;37;0.21;0;"r";NA;NA;37;0.21;0.204787499;0;3;0.0253818002777778;0.0254967486005369
"Staples et al.";NA;NA;17;0.16;0;"r";NA;NA;17;0.16;0.157;0;0;0.05934096;0.0594568483250625
"Truax (1966)";NA;NA;63;0.38;0;"r";NA;NA;63;0.38;0.405046358;1;3;0.01180728;0.0112708293024673
