study;n;r;pub;type;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Braungart-Rieker (2001);86;0.11;0;Random;0.110446916;0.110446916;86;0.110446916;0.110446916;0;0;2;0;0.012048193;
Cox (1992);33;0.43;0;Random;0.459896681;0.459896681;33;0.459896681;0.459896681;2.13E-10;0;0;0;0.033333333;
Easterbrooks (1984);75;0;0;Random;0;0;75;0;0;0;0;0;0;0.013888889;
Eiden (2002);220;0.14;0;Random;0.140925576;0.140925576;220;0.140925576;0.140925576;7.05E-11;0;0;0;0.004608295;
Goossens (1990);75;0.26;0;Random;0.266108407;0.266108407;75;0.266108407;0.266108407;0;0;2;0;0.013888889;
Hazen (2010);105;0;0;Random;0;0;105;0;0;0;0;0;0;0.009803922;
Kochanska (2005);100;0;0;Random;0;0;100;0;0;0;0;0;0;0.010309278;
Schneider Rosen (1993);62;0;0;Random;0;0;62;0;0;0;0;0;0;0.016949153;
Schoppe-Sullivan (2006);91;0.17;0;Random;0.171666664;0.171666664;91;0.171666664;0.171666664;0;0;2;0;0.011363636;
Volling (2002);62;0;0;Random;0;0;62;0;0;0;0;0;0;0.016949153;
Wong (2009) ;62;0.24;0;Random;0.244774113;0.244774113;62;0.151140436;0.151140436;-0.093633677;3;1;0;0.016949153;
