"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"age";"secure";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c"
"Belsky (1983)";"Belsky";"";"";"";"";"";NA;1983;51;0.11;"P";13;63;21;51;0.11;0.11;0.0195189282;0.0195189282
"Braungart-Rieker (2001)";"Braungart-Rieker";"Garwood";"Powers";"Wang";"";"";NA;2001;86;0.11;"C";20.5;66;21;86;0.11;0.11;0.0114817224705882;0.0114817224705882
"Caldera (1995) ";"Caldera";"Huston";"Obrien";"";"";"";NA;1995;90;0.16;"C";15;64;21;90;0.16;0.16;0.010668037752809;0.010668037752809
"Cox (1992)";"Cox";"Owen";"Henderson";"Margand";"";"";NA;1992;33;0.43;"P";12.5;63;21;33;0.43;0.43;0.0207621253125;0.0207621253125
"Easterbrooks (1984)";"Easterbrooks";"Goldberg";"";"";"";"";NA;1984;75;0;"P";18;41;21;75;0;0;0.0135135135135135;0.0135135135135135
"Eiden (2002)";"Eiden";"Edwards";"Leonard";"";"";"";NA;2002;220;0.14;"P";13;80;21;220;0.14;0.14;0.00438896876712329;0.00438896876712329
"Goossens (1990)";"Goossens";"Van Ijzerdoorn";"";"";"";"";NA;1990;75;0.26;"C";21.5;69;21;75;0.26;0.26;0.01174824;0.01174824
"Grossmann (1992)";"Grossmann";"Grossmann";"";"";"";"";NA;1992;46;0.03;"P";18;68;21;46;0.03;0.03;0.0221822402222222;0.0221822402222222
"Hazen (2010)";"Hazen";"McFarland";"Jacobvitz";"Boyd-Soisson";"";"";NA;2010;105;0;"P";13;68;21;105;0;0;0.00961538461538462;0.00961538461538462
"Kochanska (2005)";"Kochanska";"Aksan";"Carlson";"";"";"";NA;2005;100;0;"C";12.5;60;21;100;0;0;0.0101010101010101;0.0101010101010101
"Lucassen (2010)";"Lucassen";"Tharner";"Van Ijzerdoorn";"";"";"";NA;2010;84;0.2;"C";13.5;61;21;84;0.2;0.2;0.0111036144578313;0.0111036144578313
"Schneider Rosen (1993)";"Schneider Rosen";"Rothbaum";"";"";"";"";NA;1993;62;0;"P";15;66;21;62;0;0;0.0163934426229508;0.0163934426229508
"Schoppe-Sullivan (2006)";"Schoppe-Sullivan";"Diener";"Mangelsdorf";"Brown";"McHale";"Frosch";NA;2006;91;0.17;"C";12;64;21;91;0.17;0.17;0.010478169;0.010478169
"Volling (1992)";"Volling";"Belsky";"";"";"";"";NA;1992;113;0.16;"P";13;64;21;113;0.16;0.16;0.00847728;0.00847728
"Volling (2002)";"Volling";"McElwain";"Notaro";"Herrera";"";"";NA;2002;62;0;"P";13.5;59;21;62;0;0;0.0163934426229508;0.0163934426229508
"Wong (2009) ";"Wong";"Mangelsdorf";"Brown";"Neff";"Schoppe-Sullivan";"";NA;2009;62;0.24;"C";14;68;21;62;0.24;0.15;0.0145593075409836;0.0156640368852459
