"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"d";"id";"nnew";"effest.exp";"effestnew.exp";"vd.o";"vd.c"
"Beck-Sander et al.";"Beck-Sander";"Griffiths";"Friel";"";"";"";NA;1998;10;0.31;23;10;0.31;0.253609997;0.399923134773497;0.39994855219358
"Colosetti";"Colosetti";"";"";"";"";"";NA;1997;5;1.01;23;5;1.01;1.01;0.787152413173153;0.787152413173153
"Condelli et al.";"Condelli";"Bradigan";"Holanchock";"";"";"";NA;1997;49;1.14;23;49;1.14;1.14;0.081630849604295;0.081630849604295
"Feldman";"Feldman";"";"";"";"";"";NA;1982;15;1.49;23;15;1.49;1.49;0.266316297000906;0.266316297000906
"Hodel and West";"Hodel";"West";"";"";"";"";NA;2003;13;0.89;23;13;0.89;0.89;0.307470598578849;0.307470598578849
"Kinzie et al.";"Kinzie";"Hancey";"Wilson";"Harter";"";"";NA;1996;5;2.54;23;5;2.54;2.54;0.725146334530308;0.725146334530308
"Lamberti";"Lamberti";"Weisman";"Schwarzkopf";"Price";"Ashton";"Trompeter";NA;2001;44;1.24;23;41;1.24;1.24;0.0909058091479117;0.0975566227111307
"Lovell et al.";"Lovell";"Allen";"Johnson";"Jemelka";"";"";NA;2001;150;0.67;23;150;0.67;0.669929317;0.0266666595729402;0.0266666595744368
"Nelson et al.";"Nelson";"Brusman";"Holcomb";"Soutullo";"Beckman";"Welge";NA;2001;16;0.75;23;16;0.75;0.75;0.249931354303322;0.249931354303322
"Storms";"Storms";"";"";"";"";"";NA;2001;57;0.32;23;57;0.32;0.32;0.0701753609914309;0.0701753609914309
"Thaut ";"Thaut";"";"";"";"";"";NA;1989;150;1.22;23;150;1.22;1.22;0.0266666431462924;0.0266666431462924
"Valentine";"Vallentine";"Smith";"";"";"";"";NA;2000;56;0.78;23;56;0.78;0.78;0.0714280765210259;0.0714280765210259
"Wilson ";"Wilson";"";"";"";"";"";NA;1990;5;1.4;23;5;1.4;1.4;0.775674837108284;0.775674837108284
"Zaylor et al.";"Zaylor";"Nelson";"Cook";"";"";"";NA;2001;45;0.26;23;45;0.26;0.26;0.0888887570067495;0.0888887570067495
"Zlotnick et al.";"Zlotnick";"Najavits";"Rohsenow";"Johnson";"";"";NA;2003;17;1.74;23;18;1.74;1.74;0.235004478095712;0.221991734507752
