study;a1;a2;a3;a4;a5;a6;a7;yop;n;g;d;researcherallegiance;r;z;zexp;nnew;znew;znewexp;vz;newvz
Arntz et al.;Arntz;Tiesema;Kindt;;;;;2007;71;0.06;0.060661765;-3;0.03031694;0.030326234;0.030326234;71;0.030326234;0.030326234;0.014705882;
Bryant et al. (2003);Bryant;Moulds;Guthrie;Dang;Nixon;;;2003;40;-0.96;-0.979459459;-2.5;-0.439819506;-0.472007;-0.472007;30;-0.472974453;-0.472974453;0.027027027;
Bryant et al. (2008) exp 1;Bryant;Moulds;Guthrie;Dang;Mastrodo-menico;Nixon;Creamer;2008;59;-0.27;-0.273616071;-0.25;-0.135545452;-0.136384831;-0.136384831;59;-0.136384831;-0.136384831;0.017857143;
Bryant et al. (2008) exp 2;Bryant;Moulds;Guthrie;Dang;Mastrodo-menico;Nixon;Creamer;2008;62;-0.24;-0.243050847;-0.25;-0.120637873;-0.121228271;-0.121228271;62;-0.121228271;-0.121228271;0.016949153;
Bryant et al. (2008) exp 3;Bryant;Moulds;Guthrie;Dang;Mastrodo-menico;Nixon;Creamer;2008;59;0.01;0.010133929;0;0.005066899;0.005066943;0.005066943;59;0.005066943;0.005066943;0.017857143;
Bryant et al. (2008) exp 4;Bryant;Moulds;Guthrie;Dang;Mastrodo-menico;Nixon;Creamer;2008;59;-0.63;-0.6384375;-1.75;-0.304100533;-0.314031814;-0.314031814;47;-0.316824777;-0.316824777;0.017857143;
Bryant et al. (2008) exp 5;Bryant;Moulds;Guthrie;Dang;Mastrodo-menico;Nixon;Creamer;2008;56;-0.31;-0.314386792;-1.75;-0.155286557;-0.156553122;-0.156553122;46;-0.156058402;-0.156058402;0.018867925;
Bryant et al. (2008) exp 6;Bryant;Moulds;Guthrie;Dang;Mastrodo-menico;Nixon;Creamer;2008;59;-0.3;-0.304017857;-1.75;-0.150282576;-0.151429529;-0.151429529;59;-0.151429529;-0.151429529;0.017857143;
Cloitre et al.;Cloitre;Stovall-McClough;Nooner;Zorbas;Cherry;Jackson;Petkova;2010;66;0.46;0.46547619;2.75;0.22667977;0.230686596;0.230686596;48;0.225966548;0.225966548;0.015873016;
Devilly and Spence;Devilly;Spence;;;;;;1999;23;-0.65;-0.674375;-1;-0.319512793;-0.331104414;-0.331104414;23;-0.332148822;-0.332148822;0.05;
Devilly et al.;Devilly;Spence;Rapee;;;;;1998;35;0.31;0.317265625;0.5;0.156673762;0.15797492;0.15797492;35;0.15797492;0.15797492;0.03125;
Foa et al.;Foa;Dancu;Hembree;Jaycox;Meadows;Street;;1999;55;0.22;0.223173077;-0.5;0.110898247;0.111356255;0.111356255;55;0.111356255;0.111356255;0.019230769;
Foa et al.;Foa;Hembree;Cahill;Rauch;Riggs;Feeney;Yadin;2005;127;0;0;-0.25;0;0;0;96;0;0;0.008064516;
Ironson et al.;Ironson;Freud;Strauss;Williams;;;;2002;22;-0.62;-0.644473684;-1.75;-0.306706374;-0.31690571;-0.31690571;22;-0.31690571;-0.31690571;0.052631579;
Johnson and Lubin exp 1;Johnson;Lubin;;;;;;2006;26;-0.51;-0.526630435;0;-0.25463558;-0.260363591;-0.260363591;18;-0.264675759;-0.264675759;0.043478261;
Johnson and Lubin exp 2;Johnson;Lubin;;;;;;2006;26;0.7;0.722826087;-3;0.339895651;0.353974545;0.353974545;26;0.353974545;0.353974545;0.043478261;
Johnson and Lubin exp 3;Johnson;Lubin;;;;;;2006;26;1.24;1.280434783;-3;0.539183574;0.603003826;0.603003826;18;0.613135239;0.613135239;0.043478261;
Lee et al.;Lee;Gavriel;Drummond;Richards;Greenwald;;;2002;27;-0.35;-0.3609375;0;-0.177599801;-0.179503221;-0.179503221;27;-0.179503221;-0.179503221;0.041666667;
Marks et al.;Marks;Lovell;Noshirvani;Livanou;Thrasher;;;1998;42;-0.14;-0.142692308;0.25;-0.071165258;-0.071285764;-0.071285764;42;-0.071285764;-0.071285764;0.025641026;
Marks et al.;Marks;Lovell;Noshirvani;Livanou;Thrasher;;;1998;47;0.28;0.284772727;-0.25;0.140964584;0.14190958;0.14190958;47;0.128626408;0.128626408;0.022727273;
Marks et al.;Marks;Lovell;Noshirvani;Livanou;Thrasher;;;1998;43;0.4;0.4075;-0.75;0.199648039;0.202365955;0.202365955;43;0.174101922;0.174101922;0.025;
Paunovic and Ost;Paunovic;Ost;;;;;;2001;20;-0.12;-0.125294118;-1;-0.062524485;-0.062606153;-0.062606153;20;-0.062606153;-0.062606153;0.058823529;
Power et al.;Power;McGoldrick;Brown;Buchanan;Sharp;Swanson;Karatzias;2002;76;0.6;0.606164384;0.25;0.290052877;0.298623996;0.298623996;48;0.298165227;0.298165227;0.01369863;
Resick et al.;Resick;Galovski;Uhlmansiek;Scher;Clum;;;2008;107;-0.09;-0.090649038;1.75;-0.045278035;-0.045309015;-0.045309015;80;-0.045692698;-0.045692698;0.009615385;
Resick et al.;Resick;Nishith;Weaver;Astin;Feuer;;;2002;121;0.42;0.422669492;3.25;0.206767811;0.209792428;0.209792428;80;0.212656764;0.212656764;0.008474576;
Rogers et al.;Rogers;Silver;Goss;Obenchain;Willis;;;1999;12;1.04;1.126666667;0;0.490812684;0.53713036;0.53713036;12;0.536479966;0.536479966;0.111111111;
Rothbaum et al.;Rothbaum;Astin;Marsteller;;;;;2005;49;-0.35;-0.355706522;-3.25;-0.175105374;-0.176928726;-0.176928726;49;-0.176928726;-0.176928726;0.02173913;
