"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"d";"researcherallegiance";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz";"vd"
"Arntz et al.";"Arntz";"Tiesema";"Kindt";"";"";"";"";2007;71;0.06;0.060661765;-3;0.0303169404826287;0.0303262338787824;0.0303262338787824;71;0.030326234;0.030326234;0.0147058823529412;0.0147058823529412;0.0563639426037529
"Bryant et al. (2003)";"Bryant";"Moulds";"Guthrie";"Dang";"Nixon";"";"";2003;40;-0.96;-0.979459459;-2.5;-0.43981950616732;-0.472006999780375;-0.472006999780375;30;-0.472974453;-0.472974453;0.027027027027027;0.037037037037037;0.111991760397807
"Bryant et al. (2008) exp 1";"Bryant";"Moulds";"Guthrie";"Dang";"Mastrodo-menico";"Nixon";"Creamer";2008;59;-0.27;-0.273616071;-0.25;-0.135545451818392;-0.13638483043513;-0.13638483043513;59;-0.136384831;-0.136384831;0.0178571428571429;0.0178571428571429;0.0684310657144871
"Bryant et al. (2008) exp 2";"Bryant";"Moulds";"Guthrie";"Dang";"Mastrodo-menico";"Nixon";"Creamer";2008;62;-0.24;-0.243050847;-0.25;-0.120637872522239;-0.121228270853952;-0.121228270853952;62;-0.121228271;-0.121228271;0.0169491525423729;0.0169491525423729;0.0649925299534469
"Bryant et al. (2008) exp 3";"Bryant";"Moulds";"Guthrie";"Dang";"Mastrodo-menico";"Nixon";"Creamer";2008;59;0.01;0.010133929;0;0.00506689945630173;0.00506694281860021;0.00506694281860021;59;0.005066943;0.005066943;0.0178571428571429;0.0178571428571429;0.0677974804789574
"Bryant et al. (2008) exp 4";"Bryant";"Moulds";"Guthrie";"Dang";"Mastrodo-menico";"Nixon";"Creamer";2008;59;-0.63;-0.6384375;-1.75;-0.304100532649499;-0.314031814332729;-0.314031814332729;47;-0.316824777;-0.316824777;0.0178571428571429;0.0227272727272727;0.0712508681475106
"Bryant et al. (2008) exp 5";"Bryant";"Moulds";"Guthrie";"Dang";"Mastrodo-menico";"Nixon";"Creamer";2008;56;-0.31;-0.314386792;-1.75;-0.155286556446254;-0.156553121607508;-0.156553121607508;46;-0.156058402;-0.156058402;0.0188679245283019;0.0232558139534884;0.072311062990929
"Bryant et al. (2008) exp 6";"Bryant";"Moulds";"Guthrie";"Dang";"Mastrodo-menico";"Nixon";"Creamer";2008;59;-0.3;-0.304017857;-1.75;-0.150282575856468;-0.151429528640234;-0.151429528640234;59;-0.151429529;-0.151429529;0.0178571428571429;0.0178571428571429;0.0685798886218209
"Cloitre et al.";"Cloitre";"Stovall-McClough";"Nooner";"Zorbas";"Cherry";"Jackson";"Petkova";2010;66;0.46;0.46547619;2.75;0.226679769592179;0.230686595880015;0.230686595880015;48;0.225966548;0.225966548;0.0158730158730159;0.0222222222222222;0.0622474854807342
"Devilly and Spence";"Devilly";"Spence";"";"";"";"";"";1999;23;-0.65;-0.674375;-1;-0.319512792895234;-0.331104414249777;-0.331104414249777;23;-0.332148822;-0.332148822;0.05;0.05;0.183799600883152
