"study";"yop";"nc";"nt";"n";"g";"researcherallegiance";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.c";"d.o";"vd.o";"vd.c";"vg.o";"vg.c"
"Bryant et al. (2003)";2003;NA;NA;40;-0.96;-2.5;"o";15;15;30;-0.96;-0.955084276;0;3;-0.981614394777778;-0.979459459459459;0.0999970021497715;0.133323859035411;0.0960630821055478;0.126214551723808
"Bryant et al. (2008) exp 4";2008;NA;NA;59;-0.63;-1.75;"o";24;23;47;-0.63;-0.63364868;0;3;-0.644449509772727;-0.6384375;0.0677963410674496;0.0851057147395644;0.0660162085311252;0.0822769145711041
"Bryant et al. (2008) exp 5";2008;NA;NA;56;-0.31;-1.75;"r";24;22;46;-0.31;-0.308304464;0;3;-0.31368186744186;-0.31438679245283;0.0714284910267336;0.0869563451408933;0.0694490449043919;0.0840005392538184
"Cloitre et al.";2010;NA;NA;66;0.46;2.75;"o";20;28;48;0.46;0.454676419;0;3;0.462254359316667;0.46547619047619;0.0606059692560646;0.0833330068069497;0.0591883348194867;0.0806231724012413
"Devilly and Spence";1999;NA;NA;23;-0.65;-1;"r";12;11;23;-0.65;-0.652742293;0;3;-0.6772201289875;-0.674375;0.173900043306156;0.173900043306156;0.161556144165975;0.161556144165975
"Foa et al.";2005;NA;NA;127;0;-0.25;"r";44;52;96;0;0;0;0;0;0;0.031496062992126;0.0416666666666667;0.0311184912232114;0.0410026666666667
"Johnson and Lubin exp 1";2006;NA;NA;26;-0.51;0;"r";9;9;18;-0.51;-0.510051112;0;3;-0.5355536676;-0.526630434782609;0.153841298783961;0.222201088763932;0.144278421374786;0.20154293765436
"Johnson and Lubin exp 3";2006;NA;NA;26;1.24;-3;"o";9;9;18;1.24;1.242438708;0;3;1.3045606434;1.2804347826087;0.153817457242087;0.222097348579594;0.144256061839005;0.201448842249065
"Marks et al.";1998;NA;NA;47;0.28;-0.25;"r";24;23;47;0.28;0.253696799;0;0;0.258021176255682;0.284772727272727;0.0851062500267874;0.0851062500267874;0.0822774320660955;0.0822774320660955
"Marks et al.";1998;NA;NA;43;0.4;-0.75;"r";24;19;43;0.4;0.345870708;1;1;0.352355783775;0.4075;0.0930228672436767;0.0930228672436767;0.0896302232465702;0.0896302232465702
"Power et al.";2002;NA;NA;76;0.6;0.25;"o";21;27;48;0.6;0.599990165;0;0;0.609990001083333;0.606164383561644;0.0526314908392918;0.0833327795970499;0.0515664629120526;0.0806229525797849
"Resick et al.";2002;NA;NA;121;0.42;3.25;"r";40;40;80;0.42;0.424392741;0;3;0.428526436529221;0.422669491525424;0.033057844572366;0.0499999651075441;0.0326415904496841;0.0490399881097389
"Resick et al.";2008;NA;NA;107;-0.09;1.75;"o";38;42;80;-0.09;-0.090648743;0;0;-0.0915316853019481;-0.0906490384615385;0.0373831770685815;0.0499999983950688;0.0368497735304563;0.049040020758158
"Rogers et al.";1999;NA;NA;12;1.04;0;"o";6;6;12;1.04;1.038622078;0;0;1.12517391783333;1.12666666666667;0.332844322700584;0.332844322700584;0.283606996857302;0.283606996857302
"Tarrier et al.";1999;NA;NA;72;-0.15;0.25;"r";29;33;62;-0.15;-0.147523695;0;3;-0.149398996207627;-0.151630434782609;0.0555555487111977;0.0645161165843634;0.0543672290775324;0.0629066302985365
"Taylor et al.";2003;NA;NA;41;-1.1;-2.5;"o";15;15;30;-1.1;-1.1;0;2;-1.13055555555556;-1.12171052631579;0.097557413557437;0.133320907483999;0.0938175435101363;0.126211757559724
