study;n;r;pub;type;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Beiser&Hou;647;0.02;0;Outlier;0.020002667;0.020002667;647;0.020002667;0.020002667;0;0;0;0;0.001552795;
Bhadha;360;0.07;1;Outlier;0.070114671;0.070114671;360;0.069817604;0.069817604;-0.000297066;0;0;0;0.00280112;
Blash & Unger;68;0.2;0;Random;0.202732554;0.202732554;68;0.234189467;0.234189467;0.031456913;1;1;0;0.015384615;
Carlson et al.;685;0.31;0;Outlier;0.320545409;0.320545409;685;0.319512101;0.319512101;-0.001033309;0;0;0;0.001466276;
Carter et al.;59;0.2;0;Random;0.202732554;0.202732554;59;0.192855946;0.192855946;-0.009877054;0;0;0;0.017857143;
Gamst et al. 2002;204;0.13;0;Random;0.13073985;0.13073985;204;0.125657214;0.125657214;-0.005082636;0;3;0;0.004975124;
Lamborn & Nguyen;158;0.23;0;Random;0.234189467;0.234189467;158;0.146029224;0.146029224;-0.088160243;2;3;0;0.006451613;
Laurent;193;0.41;1;Outlier;0.435611223;0.435611223;193;0.467075482;0.467075482;0.031464259;1;1;0;0.005263158;
Lee;84;0.36;0;Random;0.376885901;0.376885901;84;0.361650109;0.361650109;-0.015235792;0;0;0;0.012345679;
Lee & Yoo;323;0.23;0;Random;0.234189467;0.234189467;323;0.230672783;0.230672783;-0.003516684;0;0;0;0.003125;
Lorendo-Hernandez & Ouellete;206;0.46;0;Outlier;0.497311288;0.497311288;203;0.497311288;0.497311288;0;0;0;3;0.004926108;
Phinny & Chavira;64;0.48;0;Outlier;0.522984278;0.522984278;64;0.510070337;0.510070337;-0.012913941;0;3;0;0.016393443;
Rivas-Drake et al.;84;0.25;0;Random;0.255412812;0.255412812;84;0.354092529;0.354092529;0.098679717;3;1;0;0.012345679;
Roberts et al;1992;0.12;0;Outlier;0.120581028;0.120581028;1992;0.117146067;0.117146067;-0.003434962;0;0;0;0.000502765;
Romero & Roberts;881;0.26;0;Outlier;0.266108407;0.266108407;881;0.266108407;0.266108407;0;0;0;0;0.001138952;
Tovar-Murray;196;0.31;1;Outlier;0.320545409;0.320545409;196;0.320176679;0.320176679;-0.00036873;0;0;0;0.005181347;
Umana-Taylor;1061;0.16;0;Random;0.161386696;0.161386696;1062;0.156423518;0.156423518;-0.004963178;0;0;-1;0.00094518;
White & Burke;73;0.23;0;Random;0.234189467;0.234189467;73;0.234189467;0.234189467;0;0;0;0;0.014285714;
Yasui et al.;82;0.49;0;Outlier;0.536060337;0.536060337;82;0.534745221;0.534745221;-0.001315115;0;0;0;0.012658228;
Yoo & Lee;147;0.24;0;Random;0.244774113;0.244774113;147;0.248314201;0.248314201;0.003540088;0;0;0;0.006944444;
Yoon;241;0.15;0;Random;0.151140436;0.151140436;241;0.155690317;0.155690317;0.004549881;0;3;0;0.004201681;
