study;a1;a2;a3;a4;a5;a6;a7;yop;n;r;z;zexp;nnew;znew;znewexp;vz;newvz
Adams;Adams;;;;;;;1997;73;0.31;0.320545409;0.320545409;73;0.320545409;0.320545409;0.014285714;
Adelabu;Adelabu;;;;;;;2008;661;0.39;0.411800034;0.411800034;661;0.411800034;0.411800034;0.001519757;
Ali;Ali;;;;;;;2006;300;0.24;0.244774113;0.244774113;300;0.244774113;0.244774113;0.003367003;
Asner;Asner;;;;;;;1999;86;0.01;0.010000333;0.010000333;86;0.010000333;0.010000333;0.012048193;
Bacho;Bacho;;;;;;;1997;120;-0.1;-0.100335348;-0.100335348;120;-0.100335348;-0.100335348;0.008547009;
Barry;Barry;;;;;;;2000;150;-0.1;-0.100335348;-0.100335348;150;-0.100335348;-0.100335348;0.006802721;
Basurto;Basurto;;;;;;;1995;99;0.17;0.171666664;0.171666664;99;0.171666664;0.171666664;0.010416667;
Beiser&Hou;Beiser;Hou;;;;;;2006;647;0.02;0.020002667;0.020002667;647;0.020002667;0.020002667;0.001552795;
Bhadha;Bhadha;;;;;;;2001;360;0.07;0.070114671;0.070114671;360;0.069817604;0.069817604;0.00280112;
Bhargava;Bhargava;;;;;;;2007;147;-0.03;-0.030009005;-0.030009005;147;-0.030009005;-0.030009005;0.006944444;
Biggs;Biggs;;;;;;;1998;213;0.24;0.244774113;0.244774113;213;0.244774113;0.244774113;0.004761905;
Blash & Unger;Blash;Unger;;;;;;1995;68;0.2;0.202732554;0.202732554;68;0.234189467;0.234189467;0.015384615;
Bosarge;Bosarge;;;;;;;2007;105;-0.1;-0.100335348;-0.100335348;105;-0.100335348;-0.100335348;0.009803922;
Bracey et al.;Bracey;Bamaca;Umana-Taylor;;;;;2004;1531;0.21;0.213171347;0.213171347;1531;0.213171347;0.213171347;0.00065445;
Bruner;Bruner;;;;;;;2004;281;0.33;0.342828254;0.342828254;281;0.342828254;0.342828254;0.003597122;
Byers;Byers;;;;;;;2005;197;0.17;0.171666664;0.171666664;197;0.171666664;0.171666664;0.005154639;
Canabal;Canabal;;;;;;;1995;101;0.24;0.244774113;0.244774113;101;0.244774113;0.244774113;0.010204082;
Carlson et al.;Carlson;Uppal;Prosser;;;;;2000;685;0.31;0.320545409;0.320545409;685;0.319512101;0.319512101;0.001466276;
Carter et al.;Carter;Sbrocco;Miller;Suchday;Lewis;Freedman;;2005;191;0.13;0.13073985;0.13073985;191;0.13073985;0.13073985;0.005319149;
Carter et al.;Carter;Sbrocco;Lewis;Friedman;;;;2001;59;0.2;0.202732554;0.202732554;59;0.192855946;0.192855946;0.017857143;
Chang;Chang;;;;;;;1999;120;0.37;0.3884231;0.3884231;120;0.3884231;0.3884231;0.008547009;
Chapell;Chapell;;;;;;;1999;314;0.39;0.411800034;0.411800034;314;0.411800034;0.411800034;0.003215434;
Charlot-Swilley;Charlot-Swilley;;;;;;;1997;99;0.45;0.484700279;0.484700279;99;0.484700279;0.484700279;0.010416667;
Chatman;Chatman;;;;;;;2006;172;0.33;0.342828254;0.342828254;172;0.342828254;0.342828254;0.00591716;
Chow;Chow;;;;;;;2003;178;0.21;0.213171347;0.213171347;178;0.213171347;0.213171347;0.005714286;
Christensen;Christensen;;;;;;;1999;96;-0.1;-0.100335348;-0.100335348;96;-0.100335348;-0.100335348;0.010752688;
Cislo;Cislo;;;;;;;2008;291;0.12;0.120581028;0.120581028;291;0.120581028;0.120581028;0.003472222;
