"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz";"vr"
"Adams";"Adams";"";"";"";"";"";"";1997;73;0.31;0.320545409301946;0.320545409301946;73;0.320545409;0.320545409;0.0142857142857143;0.0142857142857143;0.01134771125
"Adelabu";"Adelabu";"";"";"";"";"";"";2008;661;0.39;0.41180003447869;0.41180003447869;661;0.411800034;0.411800034;0.00151975683890578;0.00151975683890578;0.00108929456060606
"Ali";"Ali";"";"";"";"";"";"";2006;300;0.24;0.244774112659353;0.244774112659353;300;0.244774113;0.244774113;0.00336700336700337;0.00336700336700337;0.00297029351170569
"Asner";"Asner";"";"";"";"";"";"";1999;86;0.01;0.0100003333533347;0.0100003333533347;86;0.010000333;0.010000333;0.0120481927710843;0.0120481927710843;0.0117623530588235
"Bacho";"Bacho";"";"";"";"";"";"";1997;120;-0.1;-0.100335347731076;-0.100335347731076;120;-0.100335348;-0.100335348;0.00854700854700855;0.00854700854700855;0.00823613445378151
"Barry";"Barry";"";"";"";"";"";"";2000;150;-0.1;-0.100335347731076;-0.100335347731076;150;-0.100335348;-0.100335348;0.00680272108843537;0.00680272108843537;0.00657785234899329
"Basurto";"Basurto";"";"";"";"";"";"";1995;99;0.17;0.171666663500579;0.171666663500579;99;0.171666664;0.171666664;0.0104166666666667;0.0104166666666667;0.00962280826530612
"Beiser&Hou";"Beiser";"Hou";"";"";"";"";"";2006;647;0.02;0.0200026673068496;0.0200026673068496;647;0.020002667;0.020002667;0.0015527950310559;0.0015527950310559;0.00154674947368421
"Bhadha";"Bhadha";"";"";"";"";"";"";2001;360;0.07;0.0701146706543252;0.0701146706543252;360;0.069817604;0.069817604;0.00280112044817927;0.00280112044817927;0.00275828415041783
"Bhargava";"Bhargava";"";"";"";"";"";"";2007;147;-0.03;-0.0300090048631265;-0.0300090048631265;147;-0.030009005;-0.030009005;0.00694444444444444;0.00694444444444444;0.00683699184931507
"Biggs";"Biggs";"";"";"";"";"";"";1998;213;0.24;0.244774112659353;0.244774112659353;213;0.244774113;0.244774113;0.00476190476190476;0.00476190476190476;0.00418923471698113
"Blash & Unger";"Blash";"Unger";"";"";"";"";"";1995;68;0.2;0.202732554054082;0.202732554054082;68;0.234189467;0.234189467;0.0153846153846154;0.0153846153846154;0.013755223880597
"Bosarge";"Bosarge";"";"";"";"";"";"";2007;105;-0.1;-0.100335347731076;-0.100335347731076;105;-0.100335348;-0.100335348;0.00980392156862745;0.00980392156862745;0.00942403846153846
"Bracey et al.";"Bracey";"Bamaca";"Umana-Taylor";"";"";"";"";2004;1531;0.21;0.21317134656486;0.21317134656486;1531;0.213171347;0.213171347;0.000654450261780105;0.000654450261780105;0.000597218830065359
"Bruner";"Bruner";"";"";"";"";"";"";2004;281;0.33;0.342828254415394;0.342828254415394;281;0.342828254;0.342828254;0.00359712230215827;0.00359712230215827;0.00283592575
"Byers";"Byers";"";"";"";"";"";"";2005;197;0.17;0.171666663500579;0.171666663500579;197;0.171666664;0.171666664;0.00515463917525773;0.00515463917525773;0.00481140413265306
"Canabal";"Canabal";"";"";"";"";"";"";1995;101;0.24;0.244774112659353;0.244774112659353;101;0.244774113;0.244774113;0.0102040816326531;0.0102040816326531;0.0088811776
"Carlson et al.";"Carlson";"Uppal";"Prosser";"";"";"";"";2000;685;0.31;0.320545409301946;0.320545409301946;685;0.319512101;0.319512101;0.00146627565982405;0.00146627565982405;0.00119449592105263
"Carter et al.";"Carter";"Sbrocco";"Miller";"Suchday";"Lewis";"Freedman";"";2005;191;0.13;0.130739850028878;0.130739850028878;191;0.13073985;0.13073985;0.00531914893617021;0.00531914893617021;0.00508676636842105
"Carter et al.";"Carter";"Sbrocco";"Lewis";"Friedman";"";"";"";2001;59;0.2;0.202732554054082;0.202732554054082;59;0.192855946;0.192855946;0.0178571428571429;0.0178571428571429;0.0158896551724138
"Chang";"Chang";"";"";"";"";"";"";1999;120;0.37;0.388423099718296;0.388423099718296;120;0.3884231;0.3884231;0.00854700854700855;0.00854700854700855;0.00626001352941176
