"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"vz.o";"vz.c";"z.o";"z.c"
"Beiser&Hou";NA;NA;647;0.02;0;"o";NA;NA;647;0.02;0.02;0;0;0.00154674947368421;0.00154674947368421;0.0015527950310559;0.0015527950310559;0.0200026673068496;0.0200026673068496
"Bhadha";NA;NA;360;0.07;1;"o";180;180;360;0.07;0.069704383;0;0;0.00275828415041783;0.00275851310572891;0.00280112044817927;0.00280112044817927;0.0701146706543252;0.069817604167095
"Blash & Unger";NA;NA;68;0.2;0;"r";NA;NA;68;0.2;0.23;1;1;0.013755223880597;0.0133880359701493;0.0153846153846154;0.0153846153846154;0.202732554054082;0.234189466759367
"Carlson et al.";NA;NA;685;0.31;0;"o";NA;NA;685;0.31;0.309065693;0;0;0.00119449592105263;0.00119602510435985;0.00146627565982405;0.00146627565982405;0.320545409301946;0.319512100252398
"Carter et al.";NA;NA;59;0.2;0;"r";NA;NA;59;0.2;0.1905;0;0;0.0158896551724138;0.0160126979697425;0.0178571428571429;0.0178571428571429;0.202732554054082;0.192855946404614
"Gamst et al. 2002";NA;NA;204;0.13;0;"r";NA;NA;204;0.13;0.125;0;3;0.00476101285714286;0.00477337015086207;0.00497512437810945;0.00497512437810945;0.130739850028878;0.125657214140453
"Lamborn & Nguyen";NA;NA;158;0.23;0;"r";NA;NA;158;0.23;0.145;2;3;0.00571336566878981;0.00610440796576433;0.00645161290322581;0.00645161290322581;0.234189466759367;0.14602922352579
"Laurent";NA;NA;193;0.41;1;"o";NA;NA;193;0.41;0.435833333;1;1;0.00360446671875;0.00341760353073837;0.00526315789473684;0.00526315789473684;0.435611223236224;0.46707548139633
"Lee";NA;NA;84;0.36;0;"r";NA;NA;84;0.36;0.346666667;0;0;0.00912766457831325;0.00932635111216116;0.0123456790123457;0.0123456790123457;0.37688590118819;0.361650109744181
"Lee & Yoo";NA;NA;323;0.23;0;"r";NA;NA;323;0.23;0.226666667;0;0;0.00278570934782609;0.00279467118076749;0.003125;0.003125;0.234189466759367;0.230672783602697
"Lorendo-Hernandez & Ouellete";NA;NA;206;0.46;0;"o";NA;NA;203;0.46;0.46;0;0;0.00303207102439024;0.00307710178217822;0.00492610837438424;0.005;0.497311287572031;0.497311287572031
"Phinny & Chavira";NA;NA;64;0.48;0;"o";NA;NA;64;0.48;0.47;0;3;0.00940133587301587;0.00963487;0.0163934426229508;0.0163934426229508;0.522984277591344;0.510070336613307
"Rivas-Drake et al.";NA;NA;84;0.25;0;"r";NA;NA;84;0.25;0.34;2;1;0.0105892319277108;0.00942365493975904;0.0123456790123457;0.0123456790123457;0.255412811882995;0.354092528962243
"Roberts et al";NA;NA;1992;0.12;0;"o";NA;NA;1992;0.12;0.116613119;0;0;0.000487899226519337;0.000488692960023663;0.000502765208647562;0.000502765208647562;0.120581028408444;0.117146066696023
"Romero & Roberts";NA;NA;881;0.26;0;"o";NA;NA;881;0.26;0.26;0;0;0.000987920181818182;0.000987920181818182;0.00113895216400911;0.00113895216400911;0.266108406873654;0.266108406873654
"Tovar-Murray";NA;NA;196;0.31;1;"o";NA;NA;196;0.31;0.309666667;0;0;0.00418992415384615;0.00419183929961659;0.00518134715025907;0.00518134715025907;0.320545409301946;0.320176679450126
"Umana-Taylor";NA;NA;1061;0.16;0;"r";NA;NA;1062;0.16;0.155160075;0;0;0.000895712603773585;0.000897672281781711;0.000945179584120983;0.000944287063267233;0.161386696131526;0.156423517442311
"White & Burke";NA;NA;73;0.23;0;"r";NA;NA;73;0.23;0.23;0;0;0.01245831125;0.01245831125;0.0142857142857143;0.0142857142857143;0.234189466759367;0.234189466759367
"Yasui et al.";NA;NA;82;0.49;0;"o";NA;NA;82;0.49;0.489;0;0;0.00712898777777778;0.00714736855112346;0.0126582278481013;0.0126582278481013;0.536060336610567;0.534745221240152
"Yoo & Lee";NA;NA;147;0.24;0;"r";NA;NA;147;0.24;0.243333333;0;0;0.00608299835616438;0.00606221735453441;0.00694444444444444;0.00694444444444444;0.244774112659353;0.248314200726894
"Yoon";NA;NA;241;0.15;0;"r";NA;NA;241;0.15;0.154444444;0;3;0.00398127604166667;0.00397026165483442;0.00420168067226891;0.00420168067226891;0.151140435936467;0.155690316163466
