study;a1;a2;a3;a4;a5;a6;yop;n;r;age;reliability;z;zexp;nnew;znew;znewexp;vz;newvz
Alloway et al. (2004);Alloway;Gathercole;Willis;Adams;;;2004;633;0.16;5;n;0.161386696;0.161386696;633;0.160360592;0.160360592;0.001587302;
Alloway et al. (2006) exp 1;Alloway;Gathercole;Pickering;;;;2006;285;0.43;7.5;n;0.459896681;0.459896681;285;0.453778526;0.453778526;0.003546099;
Alloway et al. (2006) exp 2;Alloway;Gathercole;Pickering;;;;2006;210;0.36;10;n;0.376885901;0.376885901;210;0.376885901;0.376885901;0.004830918;
Alloway et al. (2006) exp 3;Alloway;Gathercole;Pickering;;;;2006;213;0.37;4.96;y;0.3884231;0.3884231;213;0.3884231;0.3884231;0.004761905;
Anderson (2007) exp 1;Andersson;Lyxell;;;;;2007;47;0.31;10.25;n;0.320545409;0.320545409;47;0.320545409;0.320545409;0.022727273;
Anderson (2007) exp 2;Andersson;Lyxell;;;;;2007;50;0.4;9.42;n;0.42364893;0.42364893;50;0.42364893;0.42364893;0.021276596;
Cantor et al. (1991);Cantor;Engle;Hamilton;;;;1991;49;0.32;20.43;n;0.331647109;0.331647109;49;0.3884231;0.3884231;0.02173913;
Conway et al. (2002);Conway;Cowan;Bunting;Therriault;Minkoff;;2002;120;0.43;20.43;y;0.459896681;0.459896681;120;0.463993386;0.463993386;0.008547009;
de Jonge (1996);de Jonge;de Jong;;;;;1996;289;0.27;7.25;n;0.276863823;0.276863823;289;0.276863823;0.276863823;0.003496503;
Dougherty & Hunter (2003) exp 1;Dougherty;Hunter;;;;;2003;64;0.56;20.43;n;0.632833187;0.632833187;64;0.627024571;0.627024571;0.016393443;
Dougherty & Hunter (2003) exp 2;Dougherty;Hunter;;;;;2003;95;0.34;20.43;n;0.354092529;0.354092529;95;0.354092529;0.354092529;0.010869565;
Engle et al. (1999);Engle;Tuholski;Laughlin;Conway;;;1999;133;0.34;20.43;y;0.354092529;0.354092529;133;0.357866417;0.357866417;0.007692308;
Friedman & Miyake (2004a) exp 1;Friedman;Miyake;;;;;2004;84;0.55;20.43;y;0.618381314;0.618381314;84;0.618381314;0.618381314;0.012345679;
Friedman & Miyake (2004a) exp 2;Friedman;Miyake;;;;;2004;84;0.48;20.43;y;0.522984278;0.522984278;;0.522984278;0.522984278;0.012345679;
Gathercole & Pickering (2000);Gathercole;Pickering;;;;;2000;87;0.25;7.25;n;0.255412812;0.255412812;87;0.207946366;0.207946366;0.011904762;
Gathercole et al. (2004) exp 1;Gathercole;Pickering;Ambridge;Wearing;;;2004;184;0.24;6.5;n;0.244774113;0.244774113;184;0.244774113;0.244774113;0.005524862;
Gathercole et al. (2004) exp 2;Gathercole;Pickering;Ambridge;Wearing;;;2004;154;0.39;8.5;n;0.411800034;0.411800034;154;0.411800034;0.411800034;0.006622517;
Gathercole et al. (2004) exp 3;Gathercole;Pickering;Ambridge;Wearing;;;2004;132;0.29;11;n;0.298566264;0.298566264;132;0.298566264;0.298566264;0.007751938;
Gathercole et al. (2004) exp 4;Gathercole;Pickering;Ambridge;Wearing;;;2004;105;0.38;14;n;0.40005965;0.40005965;105;0.40005965;0.40005965;0.009803922;
Haarmann et al. (2003) exp 1;Haarmann;Davelaar;Usher;;;;2003;66;0.38;20.43;n;0.40005965;0.40005965;66;0.40005965;0.40005965;0.015873016;
Haarmann et al. (2003) exp 2;Haarmann;Davelaar;Usher;;;;2003;60;0.56;20.43;n;0.632833187;0.632833187;60;0.632833187;0.632833187;0.01754386;
Handley et al. (2002);Handley;Capon;Copp;Harper;;;2002;70;0.42;20.43;n;0.447692024;0.447692024;70;0.447692024;0.447692024;0.014925373;
Jarvis & Gathercole (2003) exp 1;Jarvis;Gathercole;;;;;2003;55;0.64;11.5;n;0.758173745;0.758173745;55;0.758173745;0.758173745;0.019230769;
Jarvis & Gathercole (2003) exp 2;Jarvis;Gathercole;;;;;2003;73;0.34;14.42;n;0.354092529;0.354092529;73;0.354092529;0.354092529;0.014285714;
Kane et al. (2004);Kane;Hambrick;Tuholski;Wilhelm;Payne;Engle;2004;250;0.51;20.43;y;0.562729769;0.562729769;250;0.562729769;0.562729769;0.004048583;
Leather & Henry (1994);Leather;Henry;;;;;1994;71;0.27;10.7;n;0.276863823;0.276863823;71;0.276863823;0.276863823;0.014705882;
Passolunghi et al. (2007);Passolunghi;Vercelloni;Schadee;;;;2007;170;0.23;8.01;y;0.234189467;0.234189467;170;0.234189467;0.234189467;0.005988024;
Passolunghi et al. (2008);Passolunghi;Mammarella;Altoe;;;;2008;72;0.18;7;y;0.181982689;0.181982689;72;0.181982689;0.181982689;0.014492754;
Radvansky & Copeland (2004);Radvansky;Copeland;;;;;2004;160;0.54;20.43;n;0.604155603;0.604155603;159;0.604155603;0.604155603;0.006369427;
Swanson (2008);Swanson;;;;;;2008;205;0.3;7.6;y;0.309519604;0.309519604;205;0.309519604;0.309519604;0.004950495;
