study;a1;a2;a3;a4;a5;a6;yop;n;r;design;pub;race;mode;lab;partner;struct;race.1;z;zexp;nnew;znew;znewexp;vz;newvz
Apfelbaum et al. exp 1;Apfelbaum;Sommers;Norton;;;NA;2008;101;0.26;b;p;majW;f2f;l;confP;1;n;0.266108407;0.266108407;101;0.25774395;0.25774395;0.010204082;
Apfelbaum et al. exp 2;Apfelbaum;Sommers;Norton;;;NA;2008;47;0;b;p;majW;f2f;l;confP;1;n;0;0;47;0;0;0.022727273;
Avery et al. exp 1;Avery;Richeson;Hebl;Ambady;;NA;2009;46;0.19;b;p;majW;vid;l;confP;0;n;0.192337169;0.192337169;46;0.282825957;0.282825957;0.023255814;
Avery et al. exp 2;Avery;Richeson;Hebl;Ambady;;NA;2009;56;0.12;b;p;majW;f2f;l;NaiveP;0;n;0.120581028;0.120581028;58;0.376999207;0.376999207;0.018867925;
Babbit & Sommers;Babbit;Sommers;;;;NA;2011;176;0.02;b;u;majW;f2f;l;NaiveP;1;y;0.020002667;0.020002667;172;-0.017768371;-0.017768371;0.005780347;
Bishop;Bishop;;;;;NA;1979;63;0;b;p;majW;f2f;l;ConfP;0;n;0;0;63;0;0;0.016666667;
Colliver et al exp 2;Colliver;Swartz;Robbs;;;NA;2001;1248;0.07;m;p;majW;f2f;f;ConfO;1;n;0.070114671;0.070114671;1248;0.070114671;0.070114671;0.000803213;
Colliver et al. exp 1;Colliver;Swartz;Robbs;;;NA;2001;114;0.05;m;p;minB;f2f;f;ConfO;1;n;0.050041729;0.050041729;114;0.045359801;0.045359801;0.009009009;
Conley et al.;Conley;Hardin;Rabinowitz;;;NA;2010;61;0.01;b;u;all;f2f;l;NaiveP;1;n;0.010000333;0.010000333;61;0.010000333;0.010000333;0.017241379;
Dovidio et al. ;Dovidio;Kawakami;Johnson;Johnson;Howard;NA;1997;33;0.16;w;p;majW;f2f;l;ConfP;0;n;0.161386696;0.161386696;33;-0.062266612;-0.062266612;0.033333333;
Feldman & Donohoe exp 1;Feldman;Donohoe;;;;NA;1978;36;0.61;b;p;majW;f2f;l;ConfP;1;n;0.708921359;0.708921359;36;1.317879195;1.317879195;0.03030303;
Feldman & Donohoe exp 2;Feldman;Donohoe;;;;NA;1978;20;0.06;b;p;minB;f2f;l;ConfO;1;n;0.060072156;0.060072156;20;0.060072156;0.060072156;0.058823529;
Feldman & Donohoe exp 3;Feldman;Donohoe;;;;NA;1978;20;0.49;b;p;majW;f2f;l;ConfO;1;n;0.536060337;0.536060337;20;0.606032681;0.606032681;0.058823529;
Grossman (1996);Grossman;;;;;NA;1996;120;0;b;u;majW;vid;l;ConfP;1;n;0;0;120;0;0;0.008547009;
Heider & Skowronski (2007);Heider;Skowronksi;;;;NA;2007;55;0.45;w;p;majW;f2f;l;ConfP;0;n;0.484700279;0.484700279;55;0.484700279;0.484700279;0.019230769;
Heider & Skowronski (2010);Heider;Skowronksi;;;;NA;2007;74;0.18;w;u;majW;f2f;l;ConfP;1;n;0.181982689;0.181982689;74;0.181982689;0.181982689;0.014084507;
Hofmann et al. exp 1;Hofmann;Gschwendner;Castelli;Schmitt;;NA;2008;86;-0.04;w;p;majW;f2f;l;ConfO;0;n;-0.040021354;-0.040021354;86;-0.040021354;-0.040021354;0.012048193;
Hofmann et al. exp 2;Hofmann;Gschwendner;Castelli;Schmitt;;NA;2008;77;0.01;w;p;majW;f2f;l;ConfO;0;n;0.010000333;0.010000333;77;0.010000333;0.010000333;0.013513514;
Holloway;Holloway;Waldrip;Ickes;;;NA;2009;63;-0.06;b;p;all;f2f;l;NaiveP;0;n;-0.060072156;-0.060072156;63;-0.147244192;-0.147244192;0.016666667;
"Littleford et al (2005); Sayoc-Parial (2001)";Littleford;Wright;Sayoc-Parial;;;NA;2001;123;-0.13;b;p;majW;f2f;l;NaiveP;1;y;-0.13073985;-0.13073985;123;-0.13073985;-0.13073985;0.008333333;
